"","L1EGH020933","L1EGH020934","L1EGH020935","L1EGH020936","L1EGH020937","L1EGH020938","L1EGH020939","L1EGH020941","L1HGH010557","L1HGH010558","L1HGH010559","L1HGH010560","L1HGH010561","L1HGH010562","L1HGH010563","L1HGH010564","L1HGH010565","L1HGH010566","L1EGH020932","L1EHE1100144","L1EHE1100145","L1EHE1100146","L1EHE1100147","L1EHE1100148","L1EHE1100149","L1EHE1100150","L1EHE1100151","L1EHE1100152","L1EHE1100153"
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Alphabaculovirus.s__Mythimna_unipuncta_nucleopolyhedrovirus",0,0,0,0,0.00010594567105988,0,0.000105237310134353,0,0,0,0,0,0,0,0,0,0.00168655941878568,0,0,0,0,0,0.000292397660818713,0.00120336943441637,2.98107020420331e-05,0.000674308833445718,0,0,0
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Alphabaculovirus.s__Operophtera_brumata_nucleopolyhedrovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223813786929275,0,0,0,0,0,0,0,0,0
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Alphabaculovirus.s__Orgyia_pseudotsugata_multiple_nucleopolyhedrovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223813786929275,0,0,0,0.00160449257922182,0,0,0,0,0
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Alphabaculovirus.s__Peridroma_alphabaculovirus",0,0,3.50518884789116e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.116600790513834,0,0,0,0.000895255147717099,0.0427236315086782,0,0,0.00762133975130365,0,7.49232037161909e-05,0.00839748075577327,0,0
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Alphabaculovirus.s__Perigonia_lusca_nucleopolyhedrovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044762757385855,0,0,0,0.000401123144805455,0,0,0,0,0
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Alphabaculovirus.s__Spodoptera_exigua_multiple_nucleopolyhedrovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133511348464619,0,0,0,0,0,0,0.00455788514129444,0
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Alphabaculovirus.s__Spodoptera_litura_nucleopolyhedrovirus_II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000401123144805455,0,0,0,0,0
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Alphabaculovirus.s__Thysanoplusia_orichalcea_nucleopolyhedrovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044762757385855,0,0,0,0.000401123144805455,0,7.49232037161909e-05,0,0,0
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Betabaculovirus.s__Adoxophyes_orana_granulovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000401123144805455,0,0,0,0,0
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Betabaculovirus.s__Agrotis_segetum_granulovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000401123144805455,0,0,0,0,0
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Betabaculovirus.s__Choristoneura_fumiferana_granulovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000292397660818713,0,0,0,0,0,0
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Betabaculovirus.s__Phthorimaea_operculella_granulovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000911577028258888,0
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Betabaculovirus.s__Xestia_c.nigrum_granulovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147080453007795,0,0,0,0,0,0,0,0,0,0
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Hytrosaviridae.g__Glossinavirus.s__Glossina_hytrosavirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000699790062981106,0,0
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Nudiviridae.g__Alphanudivirus.s__Drosophila_innubila_nudivirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000441241359023386,0.000671441360787825,0,0,0,0,0,0.000524462426013336,0,0.000911577028258888,0
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Nudiviridae.g__Alphanudivirus.s__Drosophila_melanogaster_nudivirus_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00886075949367089,0,0,0,0,0,0,0
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Nudiviridae.g__Alphanudivirus.s__Gryllus_bimaculatus_nudivirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355731225296443,0,0.00285143997718848,0,0.000895255147717099,0.0226969292389853,0,0.000292397660818713,0.0108303249097473,0,0,0.00559832050384884,0,0
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Nudiviridae.g__Betanudivirus.s__Heliothis_zea_nudivirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223813786929275,0,0,0,0,0,0,0,0,0
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Nudiviridae.g__Deltanudivirus.s__Tipula_oleracea_nudivirus",0.000804593497421644,0.000371099882960806,0.000147217931611429,0,0,0,0,5.44540707140562e-05,0,0,0,0,0,0,0,0,0,0,0.00191204588910134,0.000671441360787825,0.00400534045393859,0,0.00146198830409357,0,0.000208674914294232,0.000299692814864764,0.0111966410076977,0.00273473108477666,0
"k__Viruses.f__Alphasatellitidae.g__Colecusatellite.s__Tomato_leaf_curl_Pakistan_alphasatellite",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000699790062981106,0,0
"k__Viruses.f__Bicaudaviridae.g__Bicaudavirus.s__Acidianus_two.tailed_virus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000401123144805455,0,0,0,0,0
"k__Viruses.f__Bicaudaviridae.s__Sulfolobus_monocaudavirus_SMV1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49053510210165e-05,0,0,0,0
"k__Viruses.f__Bicaudaviridae.s__Sulfolobus_monocaudavirus_SMV3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000292397660818713,0,0,0,0,0,0
"k__Viruses.f__Bicaudaviridae.s__Sulfolobus_monocaudavirus_SMV4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98107020420331e-05,0,0,0,0
"k__Viruses.f__Bicaudaviridae.s__Sulfolobus_virus_STSV1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000588321812031181,0,0.00801068090787717,0,0,0,0,0,0,0.00182315405651778,0.00288184438040346
"k__Viruses.f__Bicaudaviridae.s__Sulfolobus_virus_STSV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00855431993156544,0.000588321812031181,0.00044762757385855,0,0.00126582278481013,0.00380116959064327,0.00320898515844364,0,0.000299692814864764,0.00139958012596221,0.00364630811303555,0.00720461095100865
"k__Viruses.f__Pithoviridae.g__Pithovirus.s__Pithovirus_sibericum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000401123144805455,0,0,0,0,0
"k__Viruses.f__Polydnaviridae.g__Bracovirus.s__Cotesia_congregata_bracovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237154150197628,0,0.00342172797262618,0.000441241359023386,0,0.0320427236315087,0,0,0.00401123144805455,0,7.49232037161909e-05,0.00209937018894332,0,0
"k__Viruses.f__Polydnaviridae.g__Ichnovirus.s__Campoletis_sonorensis_ichnovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044762757385855,0,0,0.00204678362573099,0,5.96214040840662e-05,0,0,0,0
"k__Viruses.f__Polydnaviridae.g__Ichnovirus.s__Glypta_fumiferanae_ichnovirus",0,0,0,0,5.29728355299402e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147080453007795,0,0,0,0,0,0,0,0,0,0
"k__Viruses.f__Polydnaviridae.g__Ichnovirus.s__Hyposoter_fugitivus_ichnovirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0553359683794466,0.00168655941878568,0.00285143997718848,0,0,0.0333778371161549,0,0.000584795321637427,0.00160449257922182,0,0.000149846407432382,0.00979706088173548,0,0
"k__Viruses.f__Tolecusatellitidae.g__Betasatellite.s__Alternanthera_yellow_vein_betasatellite",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126582278481013,0,0,0,0,0,0,0
"k__Viruses.g__Pandoravirus.s__Pandoravirus_dulcis",0,0.000513830607176501,0,0,9.00538204008984e-05,0,0.000447258568071,7.62356989996787e-05,0,0,0,0,0,0.00833912439193885,0.00321174581325992,0,0,0,0.00441241359023386,0.000223813786929275,0.00267022696929239,0.00126582278481013,0.00175438596491228,0.0036101083032491,2.98107020420331e-05,0.000374616018580955,0.00279916025192442,0.00364630811303555,0
"k__Viruses.g__Pandoravirus.s__Pandoravirus_inopinatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000441241359023386,0,0.00133511348464619,0,0,0.00762133975130365,0,0,0,0,0.00144092219020173
"k__Viruses.g__Pandoravirus.s__Pandoravirus_macleodensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223813786929275,0,0.00126582278481013,0.000292397660818713,0,1.49053510210165e-05,7.49232037161909e-05,0,0,0
"k__Viruses.g__Pandoravirus.s__Pandoravirus_neocaledonia",0,0,0,0,0,0,0,0,0,0,0,0,0.0280649926144756,0,0,0,0.0014270887389725,0,0,0.00290957923008057,0.00400534045393859,0.00126582278481013,0.000584795321637427,0,0,7.49232037161909e-05,0,0.00273473108477666,0.00432276657060519
"k__Viruses.g__Pandoravirus.s__Pandoravirus_quercus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000294160906015591,0,0,0.00126582278481013,0,0.00160449257922182,5.96214040840662e-05,0.000149846407432382,0,0.000911577028258888,0.00144092219020173
"k__Viruses.g__Pandoravirus.s__Pandoravirus_salinus",0,0,0,0,0.000217188625672755,0,0.000157855965201529,0,0,0,0,0,0,0,0,0,0.0027244421380384,0,0.000147080453007795,0.00134288272157565,0,0,0.00233918128654971,0.000401123144805455,0,0.000749232037161909,0.000699790062981106,0.00182315405651778,0.00144092219020173
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Algavirales.f__Phycodnaviridae.g__Chlorovirus.s__Paramecium_bursaria_Chlorella_virus_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00267022696929239,0,0.000584795321637427,0,1.49053510210165e-05,0,0,0,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Algavirales.f__Phycodnaviridae.g__Chlorovirus.s__Paramecium_bursaria_Chlorella_virus_A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133511348464619,0.00126582278481013,0.000292397660818713,0.00240673886883273,2.98107020420331e-05,0,0,0,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Algavirales.f__Phycodnaviridae.g__Chlorovirus.s__Paramecium_bursaria_Chlorella_virus_AR158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126582278481013,0,0,0,0,0,0,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Algavirales.f__Phycodnaviridae.g__Chlorovirus.s__Paramecium_bursaria_Chlorella_virus_NY2A",0,0,0,0.00369218810726778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147080453007795,0,0,0,0.00087719298245614,0.000401123144805455,0,0,0,0,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Algavirales.f__Phycodnaviridae.g__Prasinovirus.s__Micromonas_sp._RCC1109_virus_MpV1",0,0,0,0,0,0,0.000350791033781177,0.000103462734356707,0,0,0,0,0,0,0,0,0,0,0.0030886895131637,0.00044762757385855,0.00133511348464619,0,0.00321637426900585,0.00160449257922182,0,0.000224769611148573,0,0.00455788514129444,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Algavirales.f__Phycodnaviridae.g__Prasinovirus.s__Ostreococcus_lucimarinus_virus_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00400534045393859,0,0,0,0,0,0,0.0072926162260711,0.00576368876080692
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Algavirales.f__Phycodnaviridae.g__Prymnesiovirus.s__Phaeocystis_globosa_virus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223813786929275,0.00534045393858478,0.00253164556962025,0,0.00120336943441637,0,7.49232037161909e-05,0,0.00273473108477666,0.00288184438040346
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Algavirales.f__Phycodnaviridae.g__Raphidovirus.s__Heterosigma_akashiwo_virus_01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000441241359023386,0,0,0,0.000584795321637427,0.000802246289610911,0,0,0,0.00182315405651778,0.00144092219020173
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Algavirales.f__Phycodnaviridae.s__Aureococcus_anophagefferens_virus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49053510210165e-05,0.000224769611148573,0,0,0.00144092219020173
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Algavirales.f__Phycodnaviridae.s__Chrysochromulina_ericina_virus",0,0,6.77669843925625e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000735402265038976,0.000671441360787825,0,0,0,0.00200561572402728,0.000134148159189149,0,0.000699790062981106,0,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Algavirales.f__Phycodnaviridae.s__Orpheovirus_IHUMI.LCC2",0.000585158907215741,0.00054237675201964,0.000133197176219864,0,0,0,0,6.53448848568675e-05,0,0,0,0,0,0,0,0,0,0,0.000882482718046772,0.000895255147717099,0,0.00253164556962025,0.000292397660818713,0.00120336943441637,0.000119242808168132,0.000149846407432382,0.0167949615115465,0.00638103919781222,0.00288184438040346
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Imitervirales.f__Mimiviridae.g__Cafeteriavirus.s__Cafeteria_roenbergensis_virus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126582278481013,0,0.000401123144805455,0,0,0.000699790062981106,0,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Imitervirales.f__Mimiviridae.g__Mimivirus.s__Acanthamoeba_polyphaga_mimivirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00534045393858478,0,0.000292397660818713,0,0,0,0,0,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Imitervirales.f__Mimiviridae.g__Mimivirus.s__Megavirus_chiliensis",0.00215777347035804,0,0,0,0,0,0,0,0,0,0,0,0.0590841949778434,0,0,0,0,0,0.00102956317105457,0.000895255147717099,0.00400534045393859,0.0506329113924051,0.00380116959064327,0.000802246289610911,7.45267551050827e-05,0,0,0.00182315405651778,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Imitervirales.f__Mimiviridae.s__Moumouvirus",0.000585158907215741,0,3.73886810441724e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147080453007795,0.000671441360787825,0.00400534045393859,0.0126582278481013,0.00146198830409357,0,0.000223580265315248,0.000149846407432382,0.00209937018894332,0.000911577028258888,0.00432276657060519
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Pimascovirales.f__Iridoviridae.g__Chloriridovirus.s__Invertebrate_iridescent_virus_22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126582278481013,0,0,0,0,0,0,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Pimascovirales.f__Iridoviridae.g__Chloriridovirus.s__Invertebrate_iridescent_virus_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126582278481013,0,0,0,0,0,0,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Pimascovirales.f__Iridoviridae.g__Chloriridovirus.s__Invertebrate_iridovirus_25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00267022696929239,0,0,0,0,0,0,0,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Pimascovirales.f__Iridoviridae.g__Lymphocystivirus.s__Lymphocystis_disease_virus_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000292397660818713,0.000401123144805455,0,0,0,0.000911577028258888,0.00144092219020173
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Pimascovirales.f__Iridoviridae.g__Lymphocystivirus.s__Lymphocystis_disease_virus_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000223813786929275,0.00400534045393859,0.00379746835443038,0.000292397660818713,0.00160449257922182,0,0,0.00139958012596221,0.000911577028258888,0.00288184438040346
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Pimascovirales.f__Iridoviridae.g__Lymphocystivirus.s__Lymphocystis_disease_virus_Sa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00144092219020173
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Pimascovirales.f__Marseilleviridae.g__Marseillevirus.s__Brazilian_marseillevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00160449257922182,0,0,0,0.000911577028258888,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Pimascovirales.f__Marseilleviridae.g__Marseillevirus.s__Golden_Marseillevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49053510210165e-05,0,0,0,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Pimascovirales.f__Marseilleviridae.g__Marseillevirus.s__Melbournevirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000401123144805455,0,0,0,0,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Pimascovirales.f__Marseilleviridae.g__Marseillevirus.s__Tokyovirus_A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000147080453007795,0,0.00133511348464619,0,0.00175438596491228,0,0,0,0,0.00182315405651778,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Pokkesviricetes.o__Asfuvirales.f__Asfarviridae.g__Asfivirus.s__African_swine_fever_virus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00400534045393859,0,0,0.000802246289610911,0,0,0,0,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Pokkesviricetes.o__Chitovirales.f__Poxviridae.g__Alphaentomopoxvirus.s__Anomala_cuprea_entomopoxvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120336943441637,0,7.49232037161909e-05,0,0,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Pokkesviricetes.o__Chitovirales.f__Poxviridae.g__Avipoxvirus.s__Flamingopox_virus_FGPVKD09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126582278481013,0,0,1.49053510210165e-05,0,0,0,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Pokkesviricetes.o__Chitovirales.f__Poxviridae.g__Avipoxvirus.s__Fowlpox_virus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000735402265038976,0,0,0,0,0.000802246289610911,0,0,0,0,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Pokkesviricetes.o__Chitovirales.f__Poxviridae.g__Avipoxvirus.s__Penguinpox_virus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000911577028258888,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Pokkesviricetes.o__Chitovirales.f__Poxviridae.g__Avipoxvirus.s__Pigeonpox_virus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000699790062981106,0,0
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Pokkesviricetes.o__Chitovirales.f__Poxviridae.g__Avipoxvirus.s__Turkeypox_virus",0,0,0,0,0,0,0,0,0,0,0.000505534269902086,0,0,0,0,0,0,0,0,0.000223813786929275,0.00267022696929239,0.00253164556962025,0,0.000802246289610911,0,0.000224769611148573,0,0.00182315405651778,0.00144092219020173
"k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Pokkesviricetes.o__Chitovirales.f__Poxviridae.g__Betaentomopoxvirus.s__Adoxophyes_honmai_entomopoxvirus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000238485616336265,0,0.00139958012596221,0,0
