"IMG_name","Contig_number","Source","Viruse_type","Bacteria_Host"
"IMGVR_UViG_2037747006_000006|2037747006|CBMLargeContigs4fn_contig00060|33079-77547","NODE_25150_length_1484_cov_4.202939||full","Environmental;Aquatic;Freshwater;Groundwater","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_329_length_15215_cov_161.486280||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_7596_length_1891_cov_109.808824||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_362_length_15302_cov_16.295402||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_1092_length_10438_cov_5.892806||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_66_length_27723_cov_49.353983||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_154_length_15186_cov_16.708281||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_12057_length_1523_cov_2.791553||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_4602_length_3876_cov_21.721015||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_184_length_29038_cov_5.708553||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_11_length_49016_cov_6.834440||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_2776_length_7823_cov_4.618692||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_1768_length_9957_cov_6.328519||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_9_length_44459_cov_6.709486||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_4_length_95655_cov_51.618358||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_3608_length_2526_cov_7.838932||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_756_length_10439_cov_5.229295||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_828_length_6270_cov_15.138375||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_554_length_16986_cov_6.118540||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_4641_length_2619_cov_4.862324||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_55_length_22748_cov_9.385758||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_85_length_28193_cov_17.395551||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_216_length_20062_cov_45.209227||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_1_length_95980_cov_68.000125||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_3_length_80294_cov_8.158339||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_7701_length_3835_cov_6.656349||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_3924_length_5083_cov_4.684169||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_11032_length_1598_cov_2.671419||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000011|2124908002|TmanCon_contig15361","NODE_794_length_6312_cov_7.817005||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000011|2124908002|TmanCon_contig15361","NODE_1065_length_6244_cov_339.820165||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000011|2124908002|TmanCon_contig15361","NODE_16210_length_1020_cov_2.984456||lt2gene","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000011|2124908002|TmanCon_contig15361","NODE_3077_length_6693_cov_51.968063||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000011|2124908002|TmanCon_contig15361","NODE_5084_length_4134_cov_3.842854||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000011|2124908002|TmanCon_contig15361","NODE_137_length_22563_cov_6.395104||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000011|2124908002|TmanCon_contig15361","NODE_1725_length_10370_cov_5.201648||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000011|2124908002|TmanCon_contig15361","NODE_607_length_11699_cov_4.452679||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000011|2124908002|TmanCon_contig15361","NODE_3335_length_3643_cov_2.290412||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000011|2124908002|TmanCon_contig15361","NODE_5473_length_2320_cov_3.890066||lt2gene","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000011|2124908002|TmanCon_contig15361","NODE_1621_length_6693_cov_43.939590||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000011|2124908002|TmanCon_contig15361","NODE_7348_length_3997_cov_5.304921||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000012|2124908002|TmanCon_contig15362","NODE_4515_length_5920_cov_7.948167||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000034|2124908002|TmanCon_contig15359","NODE_14513_length_1760_cov_3.121408||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2124908002_000034|2124908002|TmanCon_contig15359","NODE_14889_length_1167_cov_2.525180||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2124908002_000034|2124908002|TmanCon_contig15359","NODE_9693_length_2358_cov_4.858880||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000001|2149837006|meta_HC09__1083553","NODE_22596_length_1903_cov_4.960498||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000005|2149837006|meta_HC09__1083973","NODE_18634_length_1918_cov_11.522276||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000005|2149837006|meta_HC09__1083973","NODE_6737_length_3095_cov_5.233224||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000005|2149837006|meta_HC09__1083973","NODE_7506_length_2557_cov_4.121902||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000005|2149837006|meta_HC09__1083973","NODE_14693_length_2270_cov_9.816253||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000005|2149837006|meta_HC09__1083973","NODE_20451_length_1405_cov_4.845185||lt2gene","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000005|2149837006|meta_HC09__1083973","NODE_8288_length_2243_cov_2.823583||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000005|2149837006|meta_HC09__1083973","NODE_2470_length_3714_cov_5.116152||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000005|2149837006|meta_HC09__1083973","NODE_23911_length_1544_cov_4.105440||lt2gene","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000005|2149837006|meta_HC09__1083973","NODE_2645_length_4514_cov_5.622113||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000005|2149837006|meta_HC09__1083973","NODE_5501_length_2859_cov_4.231455||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000005|2149837006|meta_HC09__1083973","NODE_12946_length_2484_cov_3.391931||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000005|2149837006|meta_HC09__1083973","NODE_3181_length_3744_cov_4.416373||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000005|2149837006|meta_HC09__1083973","NODE_2846_length_6511_cov_5.921314||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000005|2149837006|meta_HC09__1083973","NODE_31595_length_1256_cov_3.953372||lt2gene","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000005|2149837006|meta_HC09__1083973","NODE_14126_length_1403_cov_3.522255||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000011|2149837006|meta_HC09__1084617","NODE_7754_length_4095_cov_3.095297||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;"
"IMGVR_UViG_2149837006_000015|2149837006|meta_HC09__1084879","NODE_5160_length_3900_cov_5.049415||full_1","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000015|2149837006|meta_HC09__1084879","NODE_1248_length_10822_cov_9.302870||full_1","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000015|2149837006|meta_HC09__1084879","NODE_468_length_8211_cov_5.165890||full_1","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000015|2149837006|meta_HC09__1084879","NODE_239_length_26922_cov_6.869766||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000015|2149837006|meta_HC09__1084879","NODE_51166_length_1072_cov_2.516224||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000015|2149837006|meta_HC09__1084879","NODE_3017_length_2572_cov_2.232022||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000015|2149837006|meta_HC09__1084879","NODE_1238_length_12404_cov_8.797069||full_1","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000015|2149837006|meta_HC09__1084879","NODE_2764_length_4142_cov_3.984830||full_1","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000015|2149837006|meta_HC09__1084879","NODE_13471_length_1241_cov_2.259696||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000015|2149837006|meta_HC09__1084879","NODE_31951_length_1249_cov_2.835846||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000015|2149837006|meta_HC09__1084879","NODE_4950_length_2881_cov_4.581387||full_1","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000015|2149837006|meta_HC09__1084879","NODE_5585_length_2293_cov_2.871761||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000016|2149837006|meta_HC09__1084943","NODE_7861_length_1914_cov_2.594944||lt2gene","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000016|2149837006|meta_HC09__1084943","NODE_7211_length_3944_cov_7.014914||lt2gene","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000016|2149837006|meta_HC09__1084943","NODE_39366_length_1122_cov_29.221181||lt2gene","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000016|2149837006|meta_HC09__1084943","NODE_23673_length_1073_cov_2.972495||lt2gene","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000016|2149837006|meta_HC09__1084943","NODE_8081_length_2485_cov_27.560905||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000016|2149837006|meta_HC09__1084943","NODE_9643_length_1923_cov_7.771413||lt2gene","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000016|2149837006|meta_HC09__1084943","NODE_31633_length_1229_cov_4.693356||lt2gene","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000016|2149837006|meta_HC09__1084943","NODE_25487_length_1204_cov_4.698869||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000016|2149837006|meta_HC09__1084943","NODE_22119_length_1122_cov_8.500469||lt2gene","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000016|2149837006|meta_HC09__1084943","NODE_37667_length_1122_cov_6.320525||lt2gene","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000016|2149837006|meta_HC09__1084943","NODE_20914_length_1195_cov_4.151754||lt2gene","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000016|2149837006|meta_HC09__1084943","NODE_7738_length_3837_cov_3.448969||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000016|2149837006|meta_HC09__1084943","NODE_32905_length_1122_cov_5.565136||lt2gene","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000016|2149837006|meta_HC09__1084943","NODE_8534_length_2596_cov_9.560409||full","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
"IMGVR_UViG_2149837006_000016|2149837006|meta_HC09__1084943","NODE_6269_length_3176_cov_4.645306||lt2gene","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;",";;;;;;"
