"","L1EGH020933","L1EGH020934","L1EGH020935","L1EGH020936","L1EGH020937","L1EGH020938","L1EGH020939","L1EGH020941","L1HGH010557","L1HGH010558","L1HGH010559","L1HGH010560","L1HGH010561","L1HGH010562","L1HGH010563","L1HGH010564","L1HGH010565","L1HGH010566","L1EGH020932","L1EHE1100144","L1EHE1100145","L1EHE1100146","L1EHE1100147","L1EHE1100148","L1EHE1100149","L1EHE1100150","L1EHE1100151","L1EHE1100152","L1EHE1100153"
"k__Bacteria.p__Acidobacteria.c__Holophagae.o__Thermotomaculales.f__Thermotomaculaceae.g__Thermotomaculum",1.34625383452868e-05,3.98767012397666e-05,1.83489306039367e-05,0,2.53137436009388e-06,1.91455744924787e-06,1.3260489046836e-05,1.61117481557999e-05,1.35126743134986e-05,0,3.16134080923646e-05,2.72742728148534e-06,1.58218529675204e-05,1.88201639236278e-06,8.762218109951e-07,1.78310132584728e-05,5.06277604984176e-06,1.14380202278901e-05,7.94719407425421e-06,2.18177234256088e-05,2.55597898254997e-05,6.49681114852793e-06,3.19981077598995e-05,0.000112354339638059,1.76237348869695e-05,1.04348358414814e-05,1.91407524804023e-06,7.0532764830852e-05,4.09129601820877e-05
"k__Bacteria.p__Acidobacteria.c__Vicinamibacteria.f__Vicinamibacteraceae.g__Luteitalea",1.24426490767044e-05,2.19321856818717e-05,1.83489306039367e-05,1.03725418073276e-05,2.25798592920374e-05,1.70714705891269e-05,1.35653278754989e-05,9.52057845569992e-06,1.06376372255202e-05,3.46153324405072e-05,1.58067040461823e-05,2.03041808732798e-05,1.90448230164597e-05,5.95971857581546e-06,1.86927319678955e-06,1.78310132584728e-05,1.51883281495253e-05,8.95149409139227e-06,1.72851471115029e-05,8.88870213635916e-06,2.6776922674333e-05,2.16560371617598e-05,2.63664407941572e-05,2.45688850805583e-05,2.71134382876454e-06,2.71305731878516e-05,7.17778218015085e-06,1.66885559644427e-05,2.25438760187014e-05
"k__Bacteria.p__Actinobacteria.c__Acidimicrobiia.o__Acidimicrobiales.f__Acidimicrobiaceae.g__Acidimicrobium",5.50740205034459e-06,6.64611687329444e-06,7.7473262549955e-06,0,2.83513928330514e-06,4.94594007722368e-06,5.48709891593216e-06,4.94337727507496e-06,4.31255563196765e-06,7.01662144064336e-06,6.23362976469161e-06,3.33352223292653e-06,1.11338965326995e-05,8.31223906626893e-06,2.6286654329853e-06,1.44876982725091e-05,6.0120465591871e-06,6.7136205685442e-06,1.47023090373703e-05,2.82822340702337e-06,1.33884613371665e-05,1.37154902024479e-05,3.83977293118794e-06,4.41687821672959e-06,2.16907506301163e-06,8.81163915502873e-06,9.09185742819107e-06,7.87196036058616e-06,8.76706289616165e-06
"k__Bacteria.p__Actinobacteria.c__Acidimicrobiia.o__Acidimicrobiales.f__Iamiaceae.g__Actinomarinicola",1.32585604915703e-05,2.59198558058483e-05,1.95721926441991e-05,2.15429714459882e-05,2.66300582681876e-05,1.40400879611511e-05,1.67661355764594e-05,1.00698425973749e-05,1.49501928574879e-05,1.91787652710918e-05,1.42482966050094e-05,3.95476955815375e-05,1.6407847521873e-05,1.48992964395387e-05,6.36721182656439e-06,2.00598899157819e-05,4.12932671565219e-05,6.7136205685442e-06,3.67557725934257e-05,1.37370851198278e-05,1.94741255813331e-05,2.02123013509758e-05,5.14529572779184e-05,1.76675128669184e-05,6.77835957191135e-06,2.20290978875718e-05,1.24414891122615e-05,1.35397718202082e-05,1.46117714936028e-05
"k__Bacteria.p__Actinobacteria.c__Acidimicrobiia.o__Acidimicrobiales.f__Iamiaceae.g__Aquihabitans",3.3248390155784e-05,3.19013609918134e-05,3.91443852883983e-05,2.79260740966513e-05,6.79420878249196e-05,4.6906657506573e-05,4.32871136701314e-05,4.65043639951496e-05,2.35753041214232e-05,4.93502374658583e-05,4.29675194494815e-05,0.0001022785230557,4.5414577962327e-05,3.31705389153939e-05,2.13213974008807e-05,5.90652314186911e-05,8.85985808722309e-05,3.65519342065185e-05,4.96699629640888e-05,3.71709362065928e-05,7.42451037788323e-05,3.46496594588156e-05,6.88599278993038e-05,5.07940994923902e-05,2.41309600760044e-05,0.000104116473173892,3.66066891187694e-05,4.91210326500576e-05,5.09324606348439e-05
"k__Bacteria.p__Actinobacteria.c__Acidimicrobiia.o__Acidimicrobiales.f__Iamiaceae.g__Iamia",1.95818739567808e-05,3.38951960538016e-05,2.44652408052489e-05,2.3138747108654e-05,5.01212123298587e-05,3.14306514584859e-05,2.33201703927117e-05,1.77595405808249e-05,1.23626594783073e-05,0.000161616180516152,2.13724449075141e-05,7.59133926680088e-05,3.22297004893934e-05,1.4036705593039e-05,5.95830831476668e-06,2.2288766573091e-05,3.38573148333168e-05,3.0086966251624e-05,2.6821780000608e-05,1.5353212780984e-05,2.3125524127833e-05,3.10403199318557e-05,4.83811389329681e-05,2.98139279629247e-05,2.06062130986105e-05,7.42032770949788e-05,4.49807683289453e-05,4.09341938750481e-05,5.4272294119096e-05
"k__Bacteria.p__Actinobacteria.c__Acidimicrobiia.o__Acidimicrobiales.f__Ilumatobacteraceae.g__Ilumatobacter",1.34625383452868e-05,9.30456362261222e-06,2.07954546844616e-05,8.77676614466185e-06,3.77681054526006e-05,1.64332847727109e-05,1.08217784175329e-05,9.88675455014992e-06,2.73128523357951e-05,0.00022219301228704,3.87375563948693e-05,7.81862487359132e-05,3.13507086578644e-05,4.70504098090694e-06,3.32964288178138e-06,1.89454515871273e-05,2.61049390069966e-05,7.70823102314334e-06,1.09273918520995e-05,1.05048297975154e-05,1.58227270348331e-05,1.37154902024479e-05,4.42853811397009e-05,4.27885077245679e-05,1.57257942068343e-05,8.85801620321309e-05,3.4214095058719e-05,2.42456379106054e-05,3.29808556569891e-05
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Acidothermales.f__Acidothermaceae.g__Acidothermus",5.09944634291166e-06,1.39568454339183e-05,0,0,1.72133456486384e-06,2.55274326566383e-06,8.84032603122403e-06,4.76028922784996e-06,3.45004450557412e-06,3.97608548303124e-06,3.78470378570562e-06,2.12133233004416e-06,6.44594009787867e-06,5.41079712804298e-06,2.04451755898857e-06,0,3.1642350311511e-06,4.72439965934592e-06,9.13927318539234e-06,6.46451064462484e-06,6.08566424416659e-06,1.58810939186238e-05,1.4335152276435e-05,5.52109777091199e-06,5.69382204040553e-05,4.86959005935798e-06,5.02444752610559e-06,1.00761092615503e-05,8.34958371063015e-06
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Actinomycetales.f__Actinomycetaceae.g__Actinobaculum",4.07955707432933e-06,2.59198558058483e-05,1.14171123757828e-05,0,3.54392410413143e-06,4.46730071491171e-06,8.38306778822968e-06,7.50660993622494e-06,6.32508159355256e-06,7.25050882199814e-06,5.56574086133179e-06,3.48504597078683e-06,1.08408992555232e-05,2.82302458854417e-06,1.69402883459053e-06,1.67165749298182e-05,1.53465399010828e-05,8.20553625044291e-06,1.49009888892266e-05,3.23225532231242e-06,1.58227270348331e-05,9.3842827700959e-06,1.38231825522766e-05,1.15943053189152e-05,1.05742409321817e-05,1.34493439734649e-05,8.85259802218605e-06,1.07058660903972e-05,1.29418547514767e-05
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces",0.000268638833344586,0.000652648676957514,0.000364124333984788,0.000394954476509783,0.000693090299793703,0.000312232410681507,0.000531791336602425,0.000431538527309322,0.000245815671022156,0.000613252713912229,0.000476872676998908,0.00100551152444093,0.000554643845694742,0.00034229173136098,0.000174017651663627,0.000704325023709675,0.000934715028202036,0.00040530376024915,0.000691803244163829,0.000422617383392349,0.000836170267148489,0.000307515727696989,0.00110790248307876,0.0006586669640698,0.000314515884136686,0.000913627849231926,0.000413440253576689,0.000559224064016041,0.000614111881916847
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Actinomycetales.f__Actinomycetaceae.g__Actinotignum",7.54718058750925e-06,3.32305843664722e-05,7.33957224157468e-06,1.35640931326592e-05,7.29035815707036e-06,4.94594007722368e-06,1.37177472898304e-05,1.13514589279499e-05,9.20011868153099e-06,7.71828358470769e-06,9.57307428149068e-06,1.10612328638017e-05,2.3146784896928e-05,9.88058605990458e-06,1.67650439837062e-05,2.67465198877092e-05,1.50301163979677e-05,3.10815767062232e-05,1.60930680003648e-05,1.37370851198278e-05,2.3125524127833e-05,6.49681114852793e-06,3.94216687601962e-05,2.78815437431055e-05,6.23609080615844e-06,2.01740159601974e-05,1.19629703002514e-05,3.02283277846509e-05,2.46312719463589e-05
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Actinomycetales.f__Actinomycetaceae.g__Arcanobacterium",3.3656345863217e-05,6.18088869216383e-05,4.97459896373395e-05,1.59577566266579e-05,2.37949189848824e-05,3.12711050043819e-05,3.30750129099244e-05,3.99131942950497e-05,2.41503115390188e-05,6.78273405928858e-05,3.65112600503366e-05,1.77282773296547e-05,4.21916079133876e-05,7.60648291913289e-06,0,2.67465198877092e-05,1.23405166214893e-05,2.80977453424257e-05,3.75504920008511e-05,3.39386808842804e-05,4.9902446802166e-05,3.60933952695996e-05,6.45081852439574e-05,7.31545454645839e-05,0.000132584713226586,5.75075397486086e-05,2.05763089164324e-05,4.81763974067873e-05,4.71751479650603e-05
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Actinomycetales.f__Actinomycetaceae.g__Boudabousia",5.50740205034459e-06,2.12675739945422e-05,6.11631020131223e-06,0,1.49857362117557e-05,6.70095107236756e-06,9.75484251721272e-06,1.19007230696249e-05,0,0.00014828459977893,5.34311122687852e-06,3.77294107272139e-05,6.15294282070237e-06,1.3330949445903e-06,0,0,0,3.97844181839656e-06,1.94706254819228e-05,3.63628723760147e-06,2.6776922674333e-05,4.33120743235195e-06,2.32946224492068e-05,3.20223670712895e-05,1.97928099499811e-05,5.40292611347814e-05,2.17726059464576e-05,2.10968537663709e-05,2.25438760187014e-05
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Actinomycetales.f__Actinomycetaceae.g__Fannyhessea",7.75115844122572e-06,1.99383506198833e-05,2.07954546844616e-05,0,6.30818490535394e-05,4.13225316129333e-05,4.63355019567604e-05,4.13778986728497e-05,1.40876817310943e-05,7.06339891691431e-05,1.02409631848505e-05,4.591169257167e-05,6.15294282070237e-06,1.81144077764917e-05,2.34827445346687e-05,1.89454515871273e-05,6.72399944119609e-05,0,2.00666650374919e-05,1.05048297975154e-05,1.58227270348331e-05,1.08280185808799e-05,5.58046999332647e-05,8.83375643345918e-05,3.17227227965451e-05,0.00016278343912711,3.25392792166838e-05,1.98373401086771e-05,1.33593339370082e-05
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Actinomycetales.f__Actinomycetaceae.g__Flaviflexus",2.12136967865125e-05,3.85474778651078e-05,2.36497327784073e-05,1.27662053013263e-05,5.0829997150685e-05,2.64847113812623e-05,4.40492107417886e-05,4.66874520423746e-05,1.69627188190728e-05,2.47920624236065e-05,2.00366671007945e-05,6.71250158721116e-05,2.69557495002199e-05,1.89769986229913e-05,9.98892864534414e-06,2.11743282444364e-05,7.73655465116445e-05,1.19353254551897e-05,4.25174882972601e-05,2.22217553408979e-05,6.81594395346658e-05,9.3842827700959e-06,9.82981870384113e-05,7.06700514676735e-05,2.79268414362748e-05,7.58264737814314e-05,1.62696396083419e-05,2.0467096937524e-05,4.00780018110247e-05
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Actinomycetales.f__Actinomycetaceae.g__Mobiluncus",8.97502556352452e-06,5.44981583610144e-05,3.87366312749775e-05,1.99471957833224e-05,9.72047754276048e-06,7.97732270519947e-06,2.94169469659696e-05,3.47867289727497e-05,9.77512609912668e-06,1.42671302626415e-05,1.46935558739159e-05,7.72771063087514e-06,3.77966487557431e-05,1.07431769064042e-05,4.14744990537681e-06,4.68064098034911e-05,1.48719046464102e-05,3.68005868201682e-05,2.34442225190499e-05,2.3433851086765e-05,8.51992994183322e-05,1.66029618240158e-05,6.09243971748487e-05,8.4748850783499e-05,1.68103317383401e-05,3.2695818969975e-05,1.96192712924123e-05,4.84912758212108e-05,4.84275855216549e-05
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Actinomycetales.f__Actinomycetaceae.g__Nanchangia",5.71137990406106e-06,1.92737389325539e-05,0,8.77676614466185e-06,9.82173251716424e-06,8.93460142982341e-06,5.02984067293781e-06,3.66176094449997e-06,5.75007417595687e-06,4.28013907879245e-05,8.01466684031778e-06,1.39401838831473e-05,1.17198910870521e-05,4.54820628154338e-06,1.86927319678955e-06,0,3.1642350311511e-06,6.7136205685442e-06,9.53663288910505e-06,4.04031915289052e-06,1.21713284883332e-05,1.15498864862719e-05,8.19151558653428e-06,1.1042195541824e-05,4.06701574314681e-06,2.179721264665e-05,9.80963564620616e-06,7.24220353173927e-06,1.25243755659452e-05
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Actinomycetales.f__Actinomycetaceae.g__Pauljensenia",2.1417674640229e-05,5.51627700483439e-05,4.48529414762897e-05,3.031973759065e-05,4.93111725346287e-05,2.47297003861184e-05,4.64879213710919e-05,2.81955592726498e-05,1.15001483519137e-05,2.2219301228704e-05,4.27448898150282e-05,4.62147400473906e-05,3.13507086578644e-05,3.23079480688943e-05,1.40779637633213e-05,4.56919714748365e-05,5.55323247967019e-05,1.2681283296139e-05,6.69551100755917e-05,2.66661064090775e-05,6.45080409881658e-05,2.38216408779357e-05,5.73406091057399e-05,4.36166723902047e-05,4.4194904408862e-05,4.56813924615963e-05,2.96681663446235e-05,4.62871269202467e-05,4.04954809965562e-05
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Actinomycetales.f__Actinomycetaceae.g__Schaalia",7.58797615825255e-05,0.000192072777638209,0.000100307487301521,0.000112502184217938,0.000129808877185614,8.44000742210105e-05,0.000164765386892296,0.000147935142157799,6.06632825563451e-05,0.000125831411168871,0.000113095854302262,0.000156220973733966,0.000127160818294516,5.95187684084728e-05,3.59835090381987e-05,0.000206171090801092,0.000181943514291188,8.42932360272772e-05,0.000197090413041504,6.54531702768264e-05,0.000132667480522831,4.54776780396956e-05,0.000269552059769393,0.000401383807945301,0.000139634207181374,0.000208696716829628,8.35015326957548e-05,0.000216636349123331,0.000184525800004926
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Actinomycetales.f__Actinomycetaceae.g__Trueperella",8.97502556352452e-05,0.000176786708829632,0.000123957220079928,0.000132449380001261,0.000149047322322327,8.05709593225147e-05,0.000164308128649302,0.000178693934091599,7.38884531610457e-05,0.00058588789029372,0.000113986372840075,0.000261833019022593,0.000254614633866207,8.66511713983696e-05,8.03787474619505e-05,0.00017385237927011,0.00017213438569462,0.000130542622166137,0.000145234971706996,0.000208076436373862,0.000372442651742995,0.000130658090875951,0.00024216167952692,0.000374882538644924,0.000195759024436799,0.00032950892734989,0.000123936372310605,0.000155864815139606,0.000194545300457682
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Actinopolysporales.f__Actinopolysporaceae.g__Actinopolyspora",1.63182282973173e-05,2.06029623072128e-05,1.1009358362362e-05,1.11704296386605e-05,3.74643405293894e-06,8.61550852161543e-06,1.72233938194537e-05,1.84918927697249e-05,6.03757788475471e-06,1.28638059745128e-05,1.53614447772757e-05,2.27285606790445e-06,1.87518257392834e-05,5.01871037963407e-06,1.92768798418922e-06,0,6.32847006230221e-06,4.72439965934592e-06,1.35102299262322e-05,1.09088617128044e-05,2.43426569766663e-05,1.87685655401918e-05,1.53590917247518e-05,1.6563293312736e-05,1.22010472294404e-05,1.02029506005596e-05,1.22022297062564e-05,1.4799285477902e-05,1.46117714936028e-05
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium",0.000842224557995289,0.00449343961803437,0.00231481953418997,0.0027894158583398,0.00488676757467402,0.00615929086068452,0.00337502309154127,0.0025780627929752,0.0150189062438905,0.266625299785151,0.0053413301898029,0.232256191487215,0.00425812942920322,0.016421141944813,0.0687383159472428,0.0177217983022647,0.0858479113596513,0.00147848844076162,0.00412419636483422,0.0014468382886501,0.00213971954824897,0.00118386336484287,0.0158231922797013,0.0162165683727227,0.00851551756300079,0.0537505350751935,0.0124041646449247,0.00735178121995863,0.00682703712099674
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Gardnerella",3.67160136689639e-05,3.38951960538016e-05,9.62299471673125e-05,1.83514201206566e-05,1.65045608278121e-05,1.80287493137508e-05,2.28629121497173e-05,4.00962823422746e-05,1.32251706047008e-05,1.52026797880606e-05,1.04635928193038e-05,1.13642803395223e-05,2.98857222719829e-05,6.58705737326972e-06,5.49099001556929e-06,3.34331498596365e-05,1.72450809197735e-05,7.70823102314334e-06,3.71531322971384e-05,2.3433851086765e-05,3.16454540696662e-05,2.74309804048957e-05,3.45579563806914e-05,4.25124528360223e-05,2.16907506301163e-05,6.56235231808718e-05,2.72755722845732e-05,2.20414890096412e-05,1.58642090501972e-05
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Parascardovia",2.46813202996924e-05,7.7759567417545e-05,2.07954546844616e-05,3.19155132533158e-05,2.66300582681876e-05,1.29232627824232e-05,2.6825816922335e-05,2.83786473198748e-05,7.18759271994609e-06,4.28013907879245e-05,3.0277630285645e-05,2.51529404848093e-05,5.47904908319687e-05,1.29388626974941e-05,5.89989352736701e-06,4.68064098034911e-05,3.11677150568384e-05,3.53086711382695e-05,4.8080524149238e-05,6.02007553780688e-05,5.59881110463326e-05,2.38216408779357e-05,6.42522003818782e-05,6.5425008585307e-05,1.43701222924521e-05,5.14785234846415e-05,3.63674297127643e-05,4.1563950703895e-05,4.30003561097453e-05
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Scardovia",0,5.11750999243672e-05,2.69117648857738e-05,1.11704296386605e-05,4.0501989761502e-06,2.71228971976782e-06,1.4937102604482e-05,8.97131431402493e-06,3.73754821437197e-06,9.35549525419115e-06,1.11314817226636e-05,3.18199849506624e-06,1.6407847521873e-05,1.96043374204456e-06,2.51183585818595e-06,1.44876982725091e-05,6.0120465591871e-06,1.06920623869408e-05,2.06627045930609e-05,8.88870213635916e-06,3.77311183138328e-05,2.88747162156797e-06,4.40293962776217e-05,2.87097084087423e-05,1.62680629725872e-05,1.71595078282138e-05,8.13481980417096e-06,3.08580846134978e-05,2.75536262450795e-05
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Candidatus_Nanopelagicales.f__Candidatus_Nanopelagicaceae.g__Candidatus_Nanopelagicus",1.24426490767044e-05,9.30456362261222e-06,3.87366312749775e-05,0,4.961493745784e-06,7.33913688878352e-06,3.35322711529187e-06,0,0,2.57276119490256e-06,5.34311122687852e-06,3.78809344650742e-06,4.39495915764455e-06,0,0,9.69561345929458e-05,7.7523758263202e-06,1.06920623869408e-05,1.1722111259525e-05,1.85854681032964e-05,0.000125364683429831,9.3842827700959e-06,1.12633339314846e-05,2.73294339660143e-05,4.88041889177617e-06,1.60000816236048e-05,7.17778218015085e-06,7.55708194616272e-06,9.60202126722467e-06
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Candidatus_Nanopelagicales.f__Candidatus_Nanopelagicaceae.g__Candidatus_Planktophila",4.63029727936379e-05,6.24734986089678e-05,4.48529414762897e-05,2.87239619279842e-05,1.71120906742346e-05,1.83478422219588e-05,1.87475879627682e-05,2.81955592726498e-05,2.50128226654124e-05,1.94126526524466e-05,3.74017785881497e-05,1.25764702424046e-05,4.98095371199715e-05,8.9395778637232e-06,5.0236717163719e-06,0.000193912269185892,2.59467272554391e-05,3.92871129566661e-05,1.70864672596466e-05,4.92918936652644e-05,0.000165530067441331,2.52653766887197e-05,5.93884880023735e-05,7.20503259104014e-05,0.000147225969901915,3.84929499930203e-05,2.08155683224375e-05,2.0467096937524e-05,1.37768131225398e-05
