"Contig_number","lca","Sample_id","Virulent","Temperate","Code","GD","Diet","num_seqs","Group","Group_f","bac_result","Phacts_result","Probability","Standard_deviation","Bact_Viru","Viruse_Pro_Number","Lineage","Mapped.Reads.Number","Contig_Abundance","seqname","length","covrage","viruse_family","Contig_Abundance2"
"NODE_10005_length_2482_cov_3.190770||full",2832643,"L1EGH020942",0.811878201654615,0.188121798345387,2,"D14","FUC",6297602,"FUC14","D14_FUC14","Lytic","Temperate",0.503296703296703,0.0210255893403817,1,4,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",109,17.3081753975561,"NODE_10005_length_2482_cov_3.190770",2482,3.19077,"Caudoviricetes",2.09204376279888
"NODE_10008_length_1872_cov_2.397909||full",2832643,"L1HGH010565",0.846256822065377,0.153743177934624,1,"D10","CON",12598477,"CON10","D10_CON10","Lytic","Temperate",0.513486513486513,0.0223963458133712,0.666666666666667,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",58,4.60373107003331,"NODE_10008_length_1872_cov_2.397909",1872,2.397909,"Caudoviricetes",0.73777741506944
"NODE_10019_length_3076_cov_15.886461||full",2827813,"L1HGH010577",0.811878201654615,0.188121798345387,1,"D18","CON",7933325,"CON18","D18_CON18","Lytic","Temperate",0.500799200799201,0.0181700129639032,1,3,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Siphoviridae_sp._ctDhw1",547,68.9496522580381,"NODE_10019_length_3076_cov_15.886461",3076,15.886461,"Siphoviridae",6.72460847770202
"NODE_10027_length_3161_cov_4.082743||full",2832643,"L1EHE1100147",0.811878201654615,0.188121798345387,1,"D0","HFD",8310904,"HFD0","D0_HFD0","Lytic","Lytic",0.503596403596404,0.0173000323257483,0.8,4,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",143,17.2063111305341,"NODE_10027_length_3161_cov_4.082743",3161,4.082743,"Caudoviricetes",1.63299378018355
"NODE_10031_length_1995_cov_3.542784||full",2832643,"L1EGH020933",0.811878201654615,0.188121798345387,2,"D0","FUC",11806630,"FUC0","D0_FUC0","Lytic","Lytic",0.516183816183816,0.0190442712850394,0.5,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",102,8.63921372991277,"NODE_10031_length_1995_cov_3.542784",1995,3.542784,"Caudoviricetes",1.29912988419741
"NODE_10034_length_2316_cov_3.325520||full",2832643,"L1HGH010566",0.811878201654615,0.188121798345387,1,"D10","CON",14405965,"CON10","D10_CON10","Lytic","Lytic",0.503396603396603,0.0312910651680402,0.75,3,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",100,6.94156899589857,"NODE_10034_length_2316_cov_3.325520",2316,3.32552,"Caudoviricetes",0.899166968380644
"NODE_10035_length_2248_cov_5.287278||full",2832643,"L1EGH020935",0.811878201654615,0.188121798345387,2,"D0","FUC",6954542,"FUC0","D0_FUC0","Lytic","Lytic",0.513886113886114,0.0185620730076348,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",166,23.8692929023939,"NODE_10035_length_2248_cov_5.287278",2248,5.287278,"Caudoviricetes",3.18540385708103
"NODE_1004_length_6412_cov_8.266321||full",2832643,"L1HGH010558",0,1,1,"D0","CON",2217375,"CON0","D0_CON0","Temperate","Lytic",0.507692307692308,0.0223776223776224,0.666666666666667,4,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",550,248.041039517447,"NODE_1004_length_6412_cov_8.266321",6412,8.266321,"Caudoviricetes",11.6051640447964
"NODE_10049_length_2908_cov_2.698563||full",2832643,"L1EGH020932",0.811878201654615,0.188121798345387,2,"D0","FUC",5671704,"FUC0","D0_FUC0","Lytic","Temperate",0.505294705294705,0.0187525021176461,1,1,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",90,15.8682470030171,"NODE_10049_length_2908_cov_2.698563",2908,2.698563,"Caudoviricetes",1.63702685725761
"NODE_10051_length_1248_cov_3.919531||full",2832643,"L1EHE1100154",0.811878201654615,0.188121798345387,1,"D14","HFD",10257673,"HFD14","D14_HFD14","Lytic","Temperate",0.507092907092907,0.0211458095690394,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",49,4.77691187855179,"NODE_10051_length_1248_cov_3.919531",1248,3.919531,"Caudoviricetes",1.14829612465187
"NODE_10053_length_2472_cov_3.488209||lt2gene",2827836,"L1EGH020942",0.811878201654615,0.188121798345387,2,"D14","FUC",6297602,"FUC14","D14_FUC14","Lytic","Lytic",0.506493506493506,0.0165364089482986,1,1,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Siphoviridae_sp._ctJLl6",93,14.7675257979148,"NODE_10053_length_2472_cov_3.488209",2472,3.488209,"Siphoviridae",1.79217546091199
"NODE_10054_length_1824_cov_3.310345||full",2832643,"L1EHE1100158",0.811878201654615,0.188121798345387,1,"D18","HFD",5825360,"HFD18","D18_HFD18","Lytic","Lytic",0.507192807192807,0.0174756658473286,0.666666666666667,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",61,10.4714558413557,"NODE_10054_length_1824_cov_3.310345",1824,3.310345,"Caudoviricetes",1.72227892127561
"NODE_1006_length_3788_cov_4.317171||full",2832643,"L1EGH020950",0.811878201654615,0.188121798345387,2,"D18","FUC",10324923,"FUC18","D18_FUC18","Lytic","Lytic",0.5000999000999,0.0290130254704754,1,3,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",191,18.4989273043489,"NODE_1006_length_3788_cov_4.317171",3788,4.317171,"Caudoviricetes",1.4650681603233
"NODE_10064_length_1409_cov_1.914328||full",2832643,"L1HGH010558",0.811878201654615,0.188121798345387,1,"D0","CON",2217375,"CON0","D0_CON0","Lytic","Lytic",0.502897102897103,0.0219698468130266,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",29,13.0785275381927,"NODE_10064_length_1409_cov_1.914328",1409,1.914328,"Caudoviricetes",2.78464035589624
"NODE_10064_length_2209_cov_4.099814||full",10239,"L1EHE1100144",0.811878201654615,0.188121798345387,1,"D0","HFD",7682661,"HFD0","D0_HFD0","Lytic","Lytic",0.504595404595405,0.0151073924009533,1,2,"Viruses",96,12.4956704454355,"NODE_10064_length_2209_cov_4.099814",2209,4.099814,NA,1.69701273591247
"NODE_10072_length_2077_cov_5.810584||full",38018,"L1EHE1100160",0.811878201654615,0.188121798345387,1,"D18","HFD",5476939,"HFD18","D18_HFD18","Lytic","Lytic",0.501698301698302,0.0232653584737753,1,1,"Viruses;unclassified_bacterial_viruses;Bacteriophage_sp.",89,16.2499527564576,"NODE_10072_length_2077_cov_5.810584",2077,5.810584,NA,2.347128467471
"NODE_10072_length_2120_cov_3.366586||full",2832643,"L1EGH020947",0.811878201654615,0.188121798345387,2,"D18","FUC",6254490,"FUC18","D18_FUC18","Lytic","Lytic",0.5004995004995,0.0163238108275407,1,4,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",73,11.6716151117038,"NODE_10072_length_2120_cov_3.366586",2120,3.366586,"Caudoviricetes",1.65164364788261
"NODE_10075_length_2836_cov_4.536498||full",2832643,"L1EHE1100148",0.477588105726872,0.522411894273128,1,"D10","HFD",4836085,"HFD10","D10_HFD10","Temperate","Lytic",0.505694305694306,0.017376875049078,0.8,4,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",135,27.9151421035817,"NODE_10075_length_2836_cov_4.536498",2836,4.536498,"Caudoviricetes",2.95294168937747
"NODE_10077_length_1396_cov_5.151380||lt2gene",2832643,"L1EHE1100151",0.811878201654615,0.188121798345387,1,"D10","HFD",7766878,"HFD10","D10_HFD10","Lytic","Lytic",0.503296703296703,0.0141900346889628,1,1,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",73,9.39888588439267,"NODE_10077_length_1396_cov_5.151380",1396,5.15138,"Caudoviricetes",2.01981788346547
"NODE_10077_length_2942_cov_3.193973||full",38018,"L1HGH010559",0.985005930576337,0.014994069423663,1,"D0","CON",1732889,"CON0","D0_CON0","Lytic","Temperate",0.503196803196803,0.0183503730447652,1,4,"Viruses;unclassified_bacterial_viruses;Bacteriophage_sp.",116,66.9402367953169,"NODE_10077_length_2942_cov_3.193973",2942,3.193973,NA,6.8259928751173
"NODE_10079_length_3357_cov_5.302847||full",2832643,"L1HGH010573",0.88003125015028,0.11996874984972,1,"D18","CON",9970469,"CON18","D18_CON18","Lytic","Lytic",0.503096903096903,0.0236626203299347,0.5,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",237,23.770195765114,"NODE_10079_length_3357_cov_5.302847",3357,5.302847,"Caudoviricetes",2.12423554648025
"NODE_10088_length_1563_cov_3.374005||full",2832643,"L1HGH010563",0.811878201654615,0.188121798345387,1,"D10","CON",3065098,"CON10","D10_CON10","Lytic","Temperate",0.500599400599401,0.0200171981772186,0.666666666666667,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",53,17.2914536500954,"NODE_10088_length_1563_cov_3.374005",1563,3.374005,"Caudoviricetes",3.31889705376111
"NODE_10093_length_1992_cov_4.878162||full",2832643,"L1EHE1100152",0.876776782127036,0.123223217872964,1,"D10","HFD",5747820,"HFD10","D10_HFD10","Lytic","Lytic",0.501398601398601,0.0136936037228838,0.666666666666667,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",128,22.2693125393628,"NODE_10093_length_1992_cov_4.878162",1992,4.878162,"Caudoviricetes",3.3538121294221
"NODE_10095_length_1393_cov_3.691330||full",2832643,"L1EHE1100149",0.811878201654615,0.188121798345387,1,"D10","HFD",7600927,"HFD10","D10_HFD10","Lytic","Lytic",0.51018981018981,0.0156754048638748,1,1,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",66,8.68315141034771,"NODE_10095_length_1393_cov_3.691330",1393,3.69133,"Caudoviricetes",1.87002542936419
"NODE_10095_length_1809_cov_2.568985||full",2832643,"L1EGH020951",0.811878201654615,0.188121798345387,2,"D18","FUC",5400186,"FUC18","D18_FUC18","Lytic","Lytic",0.507592407592408,0.0114989311216609,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",51,9.44411914700716,"NODE_10095_length_1809_cov_2.568985",1809,2.568985,"Caudoviricetes",1.56618891326819
"NODE_10096_length_1794_cov_3.585969||full",2832643,"L1HGH010572",0.780197320146677,0.219802679853324,1,"D18","CON",2905693,"CON18","D18_CON18","Lytic","Lytic",0.502397602397602,0.0215444009759372,0.666666666666667,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",75,25.8113985200777,"NODE_10096_length_1794_cov_3.585969",1794,3.585969,"Caudoviricetes",4.31628737793941
"NODE_10097_length_2916_cov_4.221950||full",2832643,"L1HGH010574",0.936612188991837,0.0633878110081627,1,"D18","CON",2433274,"CON18","D18_CON18","Lytic","Temperate",0.500499500499501,0.0171059778565467,0.666666666666667,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",217,89.1802567240681,"NODE_10097_length_2916_cov_4.221950",2916,4.22195,"Caudoviricetes",9.17492353128272
"NODE_101_length_21038_cov_6.996855||full",2832643,"L1EHE1100158",0.984637435635163,0.0153625643648367,1,"D18","HFD",5825360,"HFD18","D18_HFD18","Lytic","Temperate",0.503796203796204,0.0247060440456706,0.7,14,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",1605,275.519452875015,"NODE_101_length_21038_cov_6.996855",21038,6.996855,"Caudoviricetes",3.92888277699898
"NODE_10107_length_1066_cov_3.210682||full",2832643,"L1EHE1100157",0.811878201654615,0.188121798345387,1,"D14","HFD",10753763,"HFD14","D14_HFD14","Lytic","Temperate",0.502097902097902,0.0165074146379499,1,1,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",34,3.16168396123292,"NODE_10107_length_1066_cov_3.210682",1066,3.210682,"Caudoviricetes",0.889779726425775
"NODE_10107_length_2305_cov_3.399111||full",2831613,"L1HGH010566",0.811878201654615,0.188121798345387,1,"D10","CON",14405965,"CON10","D10_CON10","Lytic","Lytic",0.502897102897103,0.0150063118726277,1,4,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Herelleviridae;unclassified_Herelleviridae;Herelleviridae_sp.",85,5.90033364651379,"NODE_10107_length_2305_cov_3.399111",2305,3.399111,"unclassified_Herelleviridae",0.767939303233899
"NODE_1011_length_8518_cov_4.097129||full",2832643,"L1HGH010570",0.879677897399093,0.120322102600908,1,"D14","CON",5615729,"CON14","D14_CON14","Lytic","Lytic",0.502097902097902,0.0193826790670464,0.666666666666667,8,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",629,112.006829389381,"NODE_1011_length_8518_cov_4.097129",8518,4.097129,"Caudoviricetes",3.94482845935834
"NODE_10113_length_1790_cov_4.278963||full",2832643,"L1HGH010572",0.811878201654615,0.188121798345387,1,"D18","CON",2905693,"CON18","D18_CON18","Lytic","Temperate",0.502397602397602,0.0125369650171334,0.666666666666667,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",79,27.1880064411485,"NODE_10113_length_1790_cov_4.278963",1790,4.278963,"Caudoviricetes",4.55664912421483
"NODE_10113_length_2154_cov_4.166270||full",2832643,"L1HGH010570",0.780197320146677,0.219802679853324,1,"D14","CON",5615729,"CON14","D14_CON14","Lytic","Temperate",0.502497502497502,0.0213982189578266,0.666666666666667,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",106,18.8755547142677,"NODE_10113_length_2154_cov_4.166270",2154,4.16627,"Caudoviricetes",2.62890734182002
"NODE_10114_length_1739_cov_2.523159||lt2gene",2731619,"L1HGH010557",0.811878201654615,0.188121798345387,1,"D0","CON",3289088,"CON0","D0_CON0","Lytic","Lytic",0.510789210789211,0.0218963608691207,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes",64,19.4582814445828,"NODE_10114_length_1739_cov_2.523159",1739,2.523159,NA,3.35680530958875
"NODE_10118_length_2040_cov_3.944584||full",2832643,"L1EGH020944",0.811878201654615,0.188121798345387,2,"D14","FUC",8504684,"FUC14","D14_FUC14","Lytic","Lytic",0.502497502497502,0.0243067433778151,0.666666666666667,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",85,9.99449244675052,"NODE_10118_length_2040_cov_3.944584",2040,3.944584,"Caudoviricetes",1.46977830099272
"NODE_10120_length_1560_cov_4.261794||full",2832643,"L1HGH010563",0.811878201654615,0.188121798345387,1,"D10","CON",3065098,"CON10","D10_CON10","Lytic","Temperate",0.511988011988012,0.022803715948687,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",51,16.6389459651861,"NODE_10120_length_1560_cov_4.261794",1560,4.261794,"Caudoviricetes",3.19979730099733
"NODE_10129_length_1245_cov_4.033613||full",2832643,"L1EGH020943",0.811878201654615,0.188121798345387,2,"D14","FUC",3632789,"FUC14","D14_FUC14","Lytic","Temperate",0.5,0.0231598080778508,0.666666666666667,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",51,14.0388004918535,"NODE_10129_length_1245_cov_4.033613",1245,4.033613,"Caudoviricetes",3.38284349201289
"NODE_10129_length_1738_cov_2.390969||full",2832643,"L1HGH010557",0.811878201654615,0.188121798345387,1,"D0","CON",3289088,"CON0","D0_CON0","Lytic","Lytic",0.507092907092907,0.0209609360230224,1,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",43,13.0735328455791,"NODE_10129_length_1738_cov_2.390969",1738,2.390969,"Caudoviricetes",2.25665123916785
"NODE_10137_length_1973_cov_3.940563||full",2832643,"L1EGH020933",0.855023864524424,0.144976135475577,2,"D0","FUC",11806630,"FUC0","D0_FUC0","Lytic","Lytic",0.51028971028971,0.0191735334147986,0.6,3,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",89,7.538137470218,"NODE_10137_length_1973_cov_3.940563",1973,3.940563,"Caudoviricetes",1.14619424281064
"NODE_1014_length_8512_cov_3.616649||full",2832643,"L1HGH010570",0.811878201654615,0.188121798345387,1,"D14","CON",5615729,"CON14","D14_CON14","Lytic","Lytic",0.504295704295704,0.0269018931040732,0.636363636363636,7,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",389,69.2697243759448,"NODE_1014_length_8512_cov_3.616649",8512,3.616649,"Caudoviricetes",2.44136716550557
"NODE_10143_length_1241_cov_3.397133||full",1211417,"L1EHE1100154",0.884869679502397,0.115130320497603,1,"D14","HFD",10257673,"HFD14","D14_HFD14","Lytic","Lytic",0.503296703296703,0.0161813493266745,0.666666666666667,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;unclassified_Crassvirales;uncultured_crAssphage",44,4.28947189094447,"NODE_10143_length_1241_cov_3.397133",1241,3.397133,"unclassified_Crassvirales",1.03693921618319
"NODE_10147_length_1400_cov_4.689963||full",2832643,"L1HGH010558",0.811878201654615,0.188121798345387,1,"D0","CON",2217375,"CON0","D0_CON0","Lytic","Temperate",0.500499500499501,0.0181147284022268,0.5,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",68,30.6668921585208,"NODE_10147_length_1400_cov_4.689963",1400,4.689963,"Caudoviricetes",6.57147689111159
"NODE_1015_length_8954_cov_6.144398||full",2832643,"L1EGH020937",0,1,2,"D10","FUC",5160896,"FUC10","D10_FUC10","Temperate","Temperate",0.503596403596404,0.0164604931088165,1,8,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",669,129.628653629137,"NODE_1015_length_8954_cov_6.144398",8954,6.144398,"Caudoviricetes",4.34315346088242
"NODE_10153_length_2266_cov_3.708277||full",2832643,"L1HGH010568",0.811878201654615,0.188121798345387,1,"D14","CON",4271223,"CON14","D14_CON14","Lytic","Lytic",0.504495504495505,0.00987950874331757,0.833333333333333,5,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",87,20.3688732711919,"NODE_10153_length_2266_cov_3.708277",2266,3.708277,"Caudoviricetes",2.69667342513573
"NODE_10159_length_2455_cov_4.273750||full",2832643,"L1EGH020942",0.811878201654615,0.188121798345387,2,"D14","FUC",6297602,"FUC14","D14_FUC14","Lytic","Temperate",0.502997002997003,0.02051846884796,1,3,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",116,18.4197095973991,"NODE_10159_length_2455_cov_4.273750",2455,4.27375,"Caudoviricetes",2.25088100986547
"NODE_10163_length_1503_cov_3.175414||lt2gene",38018,"L1EGH020948",0.985132158590308,0.0148678414096916,2,"D18","FUC",4518638,"FUC18","D18_FUC18","Lytic","Temperate",0.5000999000999,0.0257393533109897,1,2,"Viruses;unclassified_bacterial_viruses;Bacteriophage_sp.",57,12.6144205399946,"NODE_10163_length_1503_cov_3.175414",1503,3.175414,NA,2.51784841117656
"NODE_10178_length_1530_cov_4.816271||full",38018,"L1HGH010562",0.811878201654615,0.188121798345387,1,"D10","CON",3496439,"CON10","D10_CON10","Lytic","Lytic",0.514885114885115,0.019351760752472,1,1,"Viruses;unclassified_bacterial_viruses;Bacteriophage_sp.",76,21.7364009496519,"NODE_10178_length_1530_cov_4.816271",1530,4.816271,NA,4.26203940189253
"NODE_10179_length_1668_cov_4.788593||full",2832643,"L1EHE1100153",0.821790095927742,0.178209904072259,1,"D10","HFD",11193366,"HFD10","D10_HFD10","Lytic","Lytic",0.506993006993007,0.0173219398667961,0.666666666666667,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",90,8.04047683243807,"NODE_10179_length_1668_cov_4.788593",1668,4.788593,"Caudoviricetes",1.44612892669749
"NODE_10192_length_2183_cov_3.534774||full",2832643,"L1HGH010576",0.931779094256249,0.0682209057437508,1,"D18","CON",1348974,"CON18","D18_CON18","Lytic","Temperate",0.502597402597403,0.0190830111149227,0.666666666666667,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",118,87.4738875619545,"NODE_10192_length_2183_cov_3.534774",2183,3.534774,"Caudoviricetes",12.0211480845563
