"Diet1","Sample_id","Original_Part","Modified_Part","lineage _nt","species_annotation","annotation_pre","host_Taxids","host_Lineage","host_annotation","Lytic","Temperate","BioProject","Diet","Nutrition1","Nutrition","Antibiotic","Diease","Diease2","Country","Continent","Host","Age","Age2","Sex","Diet_Type","gene"
"Baseline","SRR7989951","NODE_1_length_38960_cov_10.530360_cutoff_5_type_circular","part_252_N1","k__Viruses;p__unclassified_Viruses_phylum;c__unclassified_Viruses_class;o__unclassified_Viruses_order;f__unclassified_Viruses_family;g__unclassified_Viruses_genus;s__Bacteriophage_sp.","Myoviridae","Clostridium",1485,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__unclassified_Clostridium_species","Bacillota","0.3125","0.6875","PRJNA491335.2","Baseline","","","","","","Denmark","Europe","human","Adult","Middle_age","female","Control","part_252_N1"
"Baseline","SRR7989984","NODE_2_length_37187_cov_14.964134_cutoff_5_type_circular","part_310_N2","k__Viruses;p__unclassified_Viruses_phylum;c__unclassified_Viruses_class;o__unclassified_Viruses_order;f__unclassified_Viruses_family;g__unclassified_Viruses_genus;s__Bacteriophage_sp.","Myoviridae","Clostridium",1485,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__unclassified_Clostridium_species","Bacillota","0.2375","0.7625","PRJNA491335.1","Baseline","","","","","","Denmark","Europe","human","Adult","Middle_age","female","Control","part_310_N2"
"WTP_diet","SRR1535349","NODE_1_length_40714_cov_10.244236_cutoff_5_type_circular","part_376_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","bacterium",1869227,"k__Bacteria;p__unclassified_Bacteria_phylum;c__unclassified_Bacteria_class;o__unclassified_Bacteria_order;f__unclassified_Bacteria_family;g__unclassified_Bacteria_genus;s__bacterium","unclassified_Bacteria_phylum","0.075","0.925","PRJNA256106","High_fiber_diet","","","","Obesity","Obesity","China","Asia","human","children","Teenagers","male","Fiber","part_376_N1"
"Baseline","SRR1535328","NODE_1_length_40745_cov_3.003787_cutoff_0_type_circular","part_373_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","bacterium",1869227,"k__Bacteria;p__unclassified_Bacteria_phylum;c__unclassified_Bacteria_class;o__unclassified_Bacteria_order;f__unclassified_Bacteria_family;g__unclassified_Bacteria_genus;s__bacterium","unclassified_Bacteria_phylum","0.0875","0.9125","PRJNA256106","Baseline","","","","Obesity","Obesity","China","Asia","human","children","children","male","Control","part_373_N1"
"","ERR3764859","NODE_1_length_41020_cov_2.753527_cutoff_0_type_circular","part_970_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Coprococcus",33042,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__unclassified_Coprococcus_species","Bacillota","0.05","0.95","PRJEB35769","","Proprobiotics","Probiotics","N","Healthy","Healthy","Germany","Europe","human","Adult","","","Control","part_970_N1"
"WTP_diet","SRR1535325","NODE_1_length_40637_cov_5.068023_cutoff_5_type_circular","part_398_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Myoviridae_sp._ctu6J18","Myoviridae","Coprococcus",33042,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__unclassified_Coprococcus_species","Bacillota","0.075","0.925","PRJNA256106","High_fiber_diet","","","","Obesity","Obesity","China","Asia","human","children","Teenagers","male","Fiber","part_398_N1"
"High_fermented_diet","SRR15032240","NODE_3_length_40848_cov_5.915013_cutoff_0_type_circular","part_745_N3","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Myoviridae_sp._ctu6J18","Myoviridae","Coprococcus",33042,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus;s__unclassified_Coprococcus_species","Bacillota","0.075","0.925","PRJNA743361.2","High_fermented_diet","","","N","Healthy","Healthy","United_States","North_America","human","Adult","Middle_age","","Fermented","part_745_N3"
"Vegatarian","SRR8146954","NODE_2_length_39036_cov_3.576011_cutoff_0_type_circular","part_700_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Lachnospiraceae",186803,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__unclassified_Lachnospiraceae_genus;s__unclassified_Lachnospiraceae_species","Bacillota","0.2125","0.7875","PRJNA421881","Vegatarian","","","","","","Italy","Europe","human","Adult","","","Special population diet","part_700_N2"
"Control","SRR16554789","NODE_2_length_38986_cov_2.897119_cutoff_5_type_circular","part_1341_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Lachnospiraceae",186803,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__unclassified_Lachnospiraceae_genus;s__unclassified_Lachnospiraceae_species","Bacillota","0.225","0.775","PRJNA770295","Control","","","N","Tumour","melanoma(Obesity)","United_States","North_America","human","Adult","Middle_age","female","Control","part_1341_N2"
"Omnivores","SRR8146975","NODE_1_length_39002_cov_5.723884_cutoff_0_type_circular","part_684_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Lachnospiraceae",186803,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__unclassified_Lachnospiraceae_genus;s__unclassified_Lachnospiraceae_species","Bacillota","0.225","0.775","PRJNA421881","Omnivores","","","","","","Italy","Europe","human","Adult","","","Control","part_684_N1"
"Whole_grain_diet","SRR5866496","NODE_1_length_38949_cov_3.642879_cutoff_0_type_circular","part_195_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Lachnospiraceae",186803,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__unclassified_Lachnospiraceae_genus;s__unclassified_Lachnospiraceae_species","Bacillota","0.2125","0.7875","PRJNA395744","High_fiber_diet","","","","Obesity","Obesity","Denmark","Europe","human","Adult","","","Fiber","part_195_N1"
"High_gluten_diet","SRR7989824","NODE_2_length_38979_cov_6.767184_cutoff_0_type_circular","part_348_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Lachnospiraceae",186803,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__unclassified_Lachnospiraceae_genus;s__unclassified_Lachnospiraceae_species","Bacillota","0.2","0.8","PRJNA491335.1","High_gluten_diet","","","","","","Denmark","Europe","human","Adult","Middle_age","female","Gluten","part_348_N2"
"Vegatarian","ERR6170168","NODE_1_length_39286_cov_6.775224_cutoff_5_type_circular","part_536_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Lachnospiraceae",186803,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__unclassified_Lachnospiraceae_genus;s__unclassified_Lachnospiraceae_species","Bacillota","0.2875","0.7125","PRJEB45944","Vegatarian","","","N","","","Netherlands","Europe","human","Adult","","","Special population diet","part_536_N1"
"Omnivores","ERR5654437","NODE_46_length_33969_cov_26.695621","part_1259_N46","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Acetoanaerobium",186831,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Acetoanaerobium;s__unclassified_Acetoanaerobium_species","Bacillota","0.0","1.0","PRJEB11419","Omnivores","High_alkohol","Alkohol","","","","United_States","North_America","human","Adult","Elderly_people","","Control","part_1259_N46"
"High_gluten_diet","SRR7989978","NODE_3_length_34749_cov_5.498327_cutoff_0_type_circular","part_357_N3","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Acetoanaerobium",186831,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Acetoanaerobium;s__unclassified_Acetoanaerobium_species","Bacillota","0.0","1.0","PRJNA491335.1","High_gluten_diet","","","","","","Denmark","Europe","human","Adult","Middle_age","female","Gluten","part_357_N3"
"Omnivores","ERR5947681","NODE_1_length_62664_cov_9.799719_cutoff_5_type_circular","part_1209_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Flavonifractor",946234,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Flavonifractor;s__unclassified_Flavonifractor_species","Bacillota","0.0375","0.9625","PRJEB11419","Omnivores","Low_alkohol","Control","","","","United_States","North_America","human","Adult","Middle_age","","Control","part_1209_N1"
"Vegatarian","SRR8146993","NODE_2_length_65388_cov_2.349903_cutoff_0_type_circular","part_653_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Flavonifractor",946234,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Flavonifractor;s__unclassified_Flavonifractor_species","Bacillota","0.0375","0.9625","PRJNA421881","Vegatarian","","","","","","Italy","Europe","human","Adult","","","Special population diet","part_653_N2"
"Omnivores","ERR5654437","NODE_4_length_61735_cov_19.997519","part_1258_N4","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Flavonifractor",946234,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Flavonifractor;s__unclassified_Flavonifractor_species","Bacillota","0.0625","0.9375","PRJEB11419","Omnivores","High_alkohol","Alkohol","","","","United_States","North_America","human","Adult","Elderly_people","","Control","part_1258_N4"
"Baseline","SRR5866275","NODE_2_length_63813_cov_4.236617_cutoff_5_type_circular","part_075_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Flavonifractor",946234,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Flavonifractor;s__unclassified_Flavonifractor_species","Bacillota","0.075","0.925","PRJNA395744","Baseline","","","","Obesity","Obesity","Denmark","Europe","human","Adult","","","Control","part_075_N2"
"HFHS_diet","ERR3957888","NODE_1_length_62854_cov_3.111378_cutoff_0_type_circular","part_1049_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Butyricicoccus",580596,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Butyricicoccus;s__unclassified_Butyricicoccus_species","Bacillota","0.05","0.95","PRJEB36943","HFHS_diet","Control","Control","","","","Canada","North_America","mouse","","","","Fat","part_1049_N1"
"Baseline","ERR1620320","NODE_168_length_15768_cov_108.120961_cutoff_5_type_linears","part_578_N168","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Podoviridae","Veillonella",29465,"k__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__unclassified_Veillonella_species","Bacillota","0.8118782016546146","0.1881217983453865","PRJEB15371","Baseline","","","","Crohn'sdisease","Crohn'sdisease","China","Asia","human","","","","Control","part_578_N168"
"Baseline","SRR7989975","NODE_2_length_54619_cov_7.733361_cutoff_5_type_circular","part_330_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Faecalibacterium",216851,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Faecalibacterium;s__unclassified_Faecalibacterium_species","Bacillota","0.0","1.0","PRJNA491335.2","Baseline","","","","","","Denmark","Europe","human","Adult","Middle_age","female","Control","part_330_N2"
"Baseline","SRR7989858","NODE_1_length_50740_cov_2.863727_cutoff_5_type_circular","part_289_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Anaerotruncus",244127,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus;s__unclassified_Anaerotruncus_species","Bacillota","0.0125","0.9875","PRJNA491335.1","Baseline","","","","","","Denmark","Europe","human","Adult","Youth","female","Control","part_289_N1"
"High_fermented_diet","SRR15032204","NODE_1_length_50740_cov_29.380041_cutoff_5_type_circular","part_786_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Anaerotruncus",244127,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus;s__unclassified_Anaerotruncus_species","Bacillota","0.0125","0.9875","PRJNA743361.2","High_fermented_diet","","","N","Healthy","Healthy","United_States","North_America","human","Adult","Middle_age","","Fermented","part_786_N1"
"Low_calorie_diet","ERR8958875","NODE_14_length_50946_cov_6.873652","part_847_N14","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Anaerotruncus",244127,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus;s__unclassified_Anaerotruncus_species","Bacillota","0.025","0.975","PRJEB35524","Low_calorie_diet","Soybean_protein_component","Protein","N","Obesity","Obesity","France","Europe","human","Adult","","","Fat","part_847_N14"
"Baseline","SRR5866427","NODE_2_length_50709_cov_22.890307_cutoff_0_type_circular","part_169_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Anaerotruncus",244127,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus;s__unclassified_Anaerotruncus_species","Bacillota","0.0","1.0","PRJNA395744","Baseline","","","","Obesity","Obesity","Denmark","Europe","human","Adult","","","Control","part_169_N2"
"Control","SRR16554757","NODE_1_length_50751_cov_1.666265_cutoff_0_type_circular","part_1329_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Anaerotruncus",244127,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus;s__unclassified_Anaerotruncus_species","Bacillota","0.0","1.0","PRJNA770295","Control","","","N","Tumour","melanoma(Obesity)","United_States","North_America","human","Adult","Elderly_people","female","Control","part_1329_N1"
"Omnivores","ERR5947747","NODE_1_length_50316_cov_5.650262_cutoff_5_type_circular","part_1205_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Anaerotruncus",244127,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus;s__unclassified_Anaerotruncus_species","Bacillota","0.0","1.0","PRJEB11419","Omnivores","Low_alkohol","Control","","","","United_States","North_America","human","Adult","Middle_age","","Control","part_1205_N1"
"Omnivores","ERR5947542","NODE_2_length_50316_cov_5.535297_cutoff_5_type_circular","part_1268_N2","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Anaerotruncus",244127,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus;s__unclassified_Anaerotruncus_species","Bacillota","0.0","1.0","PRJEB11419","Omnivores","Low_alkohol","Control","","","","United_States","North_America","human","Adult","Middle_age","","Control","part_1268_N2"
"High_gluten_diet","SRR7989974","NODE_1_length_50694_cov_3.043187_cutoff_5_type_circular","part_236_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Anaerotruncus",244127,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus;s__unclassified_Anaerotruncus_species","Bacillota","0.0","1.0","PRJNA491335.1","High_gluten_diet","","","","","","Denmark","Europe","human","Adult","Middle_age","female","Gluten","part_236_N1"
"Low_calorie_diet","ERR8958738","NODE_28_length_50975_cov_280.431127","part_892_N28","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Anaerotruncus",244127,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus;s__unclassified_Anaerotruncus_species","Bacillota","0.0","1.0","PRJEB35524","Low_calorie_diet","Soybean_protein_component","Protein","N","Obesity","Obesity","France","Europe","human","Adult","","","Fat","part_892_N28"
"Vegatarian","SRR8146993","NODE_4_length_50997_cov_2.246255_cutoff_0_type_circular","part_655_N4","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Anaerotruncus",244127,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus;s__unclassified_Anaerotruncus_species","Bacillota","0.025","0.975","PRJNA421881","Vegatarian","","","","","","Italy","Europe","human","Adult","","","Special population diet","part_655_N4"
"Omnivores","ERR5654412","NODE_9_length_50706_cov_35.216674","part_1173_N9","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Anaerotruncus",244127,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Anaerotruncus;s__unclassified_Anaerotruncus_species","Bacillota","0.0","1.0","PRJEB11419","Omnivores","Low_alkohol","Control","","","","United_States","North_America","human","Adult","Elderly_people","","Control","part_1173_N9"
