"Contig","HGT_contig_length"
"NODE_5764_length_4131_cov_8.651129||full_1 1018-4128/4128_3-(1203..2714)-K06400-spoIVCA; site-specific DNA recombinase",1512
"NODE_5764_length_4131_cov_8.651129||full_1 1018-4128/4128_4-(2707..3111)-K06400-spoIVCA; site-specific DNA recombinase",405
"NODE_3261_length_5793_cov_32.405542||full_4-(1547..3226)-K06400-spoIVCA; site-specific DNA recombinase",1680
"NODE_3261_length_5793_cov_32.405542||full_5-(3228..3713)-K06400-spoIVCA; site-specific DNA recombinase",486
"NODE_3261_length_5793_cov_32.405542||full_6-(3792..5414)-K06400-spoIVCA; site-specific DNA recombinase",1623
"NODE_321_length_18791_cov_36.813728||full_34-(17311..18522)-K14059-int; integrase",1212
"NODE_7767_length_3443_cov_10.473436||full_2-(68..964)-K04763-xerD; integrase/recombinase XerD",897
"NODE_8941_length_3145_cov_3.165372||full_6-(2122..3144)-K06400-spoIVCA; site-specific DNA recombinase",1023
"NODE_2247_length_7175_cov_51.879775||full_1-(1..516)-PF02920.15-DNA binding domain of tn916 integrase",516
"NODE_23672_length_1583_cov_3.293194||full_1-(1..519)-K06400-spoIVCA; site-specific DNA recombinase",519
"NODE_440_length_16121_cov_12.465268||full_1-(1..1446)-K06400-spoIVCA; site-specific DNA recombinase",1446
"NODE_3174_length_5892_cov_24.272572||full_6-(5104..5730)-K07482-K07482; transposase, IS30 family",627
"NODE_2007_length_7585_cov_6.216069||full_4-(3938..4303)-PF13022.6-Helix-turn-helix of insertion element transposase",366
"NODE_1762_length_8145_cov_7.224969||full_12-(7869..8141)-K07493-K07493; putative transposase",273
"NODE_8049_length_3367_cov_4.657307||full_4-(2611..3165)-K14059-int; integrase",555
"NODE_1790_length_8095_cov_7.618905||full_1-(1..969)-K04763-xerD; integrase/recombinase XerD",969
"NODE_1790_length_8095_cov_7.618905||full_2-(962..1987)-K04763-xerD; integrase/recombinase XerD",1026
"NODE_21217_length_1719_cov_3.272837||full_1-(1..357)-K21528-gin; serine recombinase [EC:3.1.22.- 6.5.1.-]",357
"NODE_14603_length_2242_cov_15.632830||full_5-(1432..2145)-K06400-spoIVCA; site-specific DNA recombinase",714
"NODE_10989_length_2734_cov_3.531168||full_3-(845..2245)-K06400-spoIVCA; site-specific DNA recombinase",1401
"NODE_6285_length_3930_cov_8.022968||full_2-(182..1498)-K06400-spoIVCA; site-specific DNA recombinase",1317
"NODE_6285_length_3930_cov_8.022968||full_3-(1536..3152)-K06400-spoIVCA; site-specific DNA recombinase",1617
"NODE_5291_length_4357_cov_3.208740||full_3-(419..1459)-K04763-xerD; integrase/recombinase XerD",1041
"NODE_7826_length_3427_cov_5.987248||full_2-(260..1246)-K07482-K07482; transposase, IS30 family",987
"NODE_160_length_23792_cov_17.616885||full_3-(1509..2354)-PF12784.7-PD-(D/E)XK nuclease family transposase",846
"NODE_5717_length_4151_cov_7.886963||full_5-(3670..4149)-K06400-spoIVCA; site-specific DNA recombinase",480
"NODE_6343_length_3907_cov_21.359294||full_3-(744..2273)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1530
"NODE_18301_length_1912_cov_3.204093||full_5-(1566..1910)-K07482-K07482; transposase, IS30 family",345
"NODE_7180_length_3619_cov_5.121773||full_3-(639..2138)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1500
"NODE_18267_length_1914_cov_4.942980||full_4-(1566..1763)-K07482-K07482; transposase, IS30 family",198
"NODE_7577_length_3502_cov_9.559907||full_4-(1675..3096)-K06400-spoIVCA; site-specific DNA recombinase",1422
"NODE_7577_length_3502_cov_9.559907||full_5-(3047..3499)-K06400-spoIVCA; site-specific DNA recombinase",453
"NODE_548_length_14619_cov_56.121052||full_18-(12598..14136)-K06400-spoIVCA; site-specific DNA recombinase",1539
"NODE_2717_length_6457_cov_37.435177||full_1-(1..1158)-VOG15133-REFSEQ integrase core domain protein",1158
"NODE_82_length_29959_cov_8.856608||full_1 1-28080/29500_26-(16312..17355)-K04763-xerD; integrase/recombinase XerD",1044
"NODE_1208_length_9924_cov_115.642010||full_1 3264-9922/9922_2-(1795..2928)-K04763-xerD; integrase/recombinase XerD",1134
"NODE_9903_length_2936_cov_8.179452||full_3-(1707..2576)-K03733-xerC; integrase/recombinase XerC",870
"NODE_17342_length_1987_cov_31.775362||full_1-(1..297)-K07483-K07483; transposase",297
"NODE_17342_length_1987_cov_31.775362||full_3-(791..1120)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",330
"NODE_12537_length_2494_cov_3.030750||full_6-(1862..2494)-K14059-int; integrase",633
"NODE_493_length_15342_cov_9.469353||full_25-(13343..14827)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1485
"NODE_6483_length_3857_cov_15.593635||full_1-(1..1818)-K06400-spoIVCA; site-specific DNA recombinase",1818
"NODE_9791_length_2960_cov_3.558003||full_5-(2672..2959)-K06400-spoIVCA; site-specific DNA recombinase",288
"NODE_2032_length_6833_cov_15.653438||full_12-(4669..5691)-K04763-xerD; integrase/recombinase XerD",1023
"NODE_141_length_27659_cov_7.589480||full_24-(17658..19202)-K06400-spoIVCA; site-specific DNA recombinase",1545
"NODE_1828_length_7399_cov_8.836057||full_2-(864..2084)-K03733-xerC; integrase/recombinase XerC",1221
"NODE_949_length_11419_cov_7.559926||full_11-(4811..6937)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",2127
"NODE_7787_length_2448_cov_3.928124||full_4-(1729..2448)-K06400-spoIVCA; site-specific DNA recombinase",720
"NODE_238_length_21934_cov_6.422140||full_17-(13341..14447)-K04763-xerD; integrase/recombinase XerD",1107
"NODE_3312_length_4925_cov_5.246407||full_1-(1..1653)-K06400-spoIVCA; site-specific DNA recombinase",1653
"NODE_5961_length_3040_cov_9.768509||full_1-(1..1056)-K07482-K07482; transposase, IS30 family",1056
"NODE_9170_length_2134_cov_4.963925||full_1 229-2130/2130_1-(126..443)-K07483-K07483; transposase",318
"NODE_9170_length_2134_cov_4.963925||full_1 229-2130/2130_2-(491..1312)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",822
"NODE_5735_length_3134_cov_3.829815||full_5-(2102..3055)-K14059-int; integrase",954
"NODE_4104_length_4159_cov_6.456140||full_1-(1..360)-K06400-spoIVCA; site-specific DNA recombinase",360
"NODE_4104_length_4159_cov_6.456140||full_2-(345..1856)-K06400-spoIVCA; site-specific DNA recombinase",1512
"NODE_18_length_51822_cov_6.952673||full_1 4256-42427/51819_1-(1..1476)-K06400-spoIVCA; site-specific DNA recombinase",1476
"NODE_6491_length_2838_cov_5.798778||full_7-(1898..2836)-K07482-K07482; transposase, IS30 family",939
"NODE_9068_length_2155_cov_3.392857||full_4-(969..2009)-K07482-K07482; transposase, IS30 family",1041
"NODE_6957_length_2689_cov_7.838648||full_3-(654..1721)-K07481-K07481; transposase, IS5 family",1068
"NODE_3823_length_4387_cov_99.332410||full_2-(503..1738)-K14059-int; integrase",1236
"NODE_3609_length_4609_cov_7.487923||full_2-(398..781)-K06400-spoIVCA; site-specific DNA recombinase",384
"NODE_3609_length_4609_cov_7.487923||full_3-(771..2381)-K06400-spoIVCA; site-specific DNA recombinase",1611
"NODE_3609_length_4609_cov_7.487923||full_4-(2378..4081)-K06400-spoIVCA; site-specific DNA recombinase",1704
"NODE_3938_length_4309_cov_4.719323||full_2-(510..2138)-K06400-spoIVCA; site-specific DNA recombinase",1629
"NODE_3938_length_4309_cov_4.719323||full_3-(2139..3833)-K06400-spoIVCA; site-specific DNA recombinase",1695
"NODE_3938_length_4309_cov_4.719323||full_4-(3823..4305)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",483
"NODE_4096_length_4163_cov_6.982717||full_1-(1..363)-PF09588.10-YqaJ-like viral recombinase domain",363
"NODE_9248_length_2118_cov_33.839554||full_4-(1309..1701)-K07482-K07482; transposase, IS30 family",393
"NODE_671_length_13668_cov_23.037905||full_fragment_1_8-(4137..5198)-K07482-K07482; transposase, IS30 family",1062
"NODE_18763_length_1237_cov_2.443316||full_4-(1025..1234)-K06400-spoIVCA; site-specific DNA recombinase",210
"NODE_4060_length_4195_cov_6.488164||full_1-(1..1209)-K03733-xerC; integrase/recombinase XerC",1209
"NODE_3743_length_4460_cov_42.609762||full_1-(1..1581)-K06400-spoIVCA; site-specific DNA recombinase",1581
"NODE_3949_length_4290_cov_6.829516||full_1-(1..618)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",618
"NODE_1856_length_7332_cov_5.732445||full_1-(1..1761)-K06400-spoIVCA; site-specific DNA recombinase",1761
"NODE_652_length_13975_cov_34.222414||full_1-(1..1659)-K06400-spoIVCA; site-specific DNA recombinase",1659
"NODE_5891_length_3066_cov_4.933577||full_1-(1..1029)-K07496-K07496; putative transposase",1029
"NODE_5531_length_3223_cov_10.994949||full_4-(2333..2797)-K07482-K07482; transposase, IS30 family",465
"NODE_16373_length_1367_cov_1.975610||full_4-(851..1366)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",516
"NODE_1319_length_9197_cov_5.036535||full_1-(1..1227)-K04763-xerD; integrase/recombinase XerD",1227
"NODE_2578_length_5856_cov_5.556628||full_6-(2158..3552)-VOG00022-sp|P54992|YSNA_STRPR Putative transposase in snaA-snaB intergenic region",1395
"NODE_2578_length_5856_cov_5.556628||full_8-(3732..4142)-VOG02220-sp|P59696|T200_SALTY Transposase for insertion sequence element IS200",411
"NODE_15225_length_1446_cov_2.030194||full_2-(168..560)-K06400-spoIVCA; site-specific DNA recombinase",393
"NODE_15225_length_1446_cov_2.030194||full_3-(566..1060)-K06400-spoIVCA; site-specific DNA recombinase",495
"NODE_1079_length_9131_cov_13.501212||full_9-(3442..4011)-K07482-K07482; transposase, IS30 family",570
"NODE_2659_length_5645_cov_5.561181||full_1-(1..1719)-K06400-spoIVCA; site-specific DNA recombinase",1719
"NODE_2659_length_5645_cov_5.561181||full_2-(1724..3418)-K06400-spoIVCA; site-specific DNA recombinase",1695
"NODE_2659_length_5645_cov_5.561181||full_3-(3391..5085)-K06400-spoIVCA; site-specific DNA recombinase",1695
"NODE_6860_length_3072_cov_3.163076||full_1-(1..1023)-K04763-xerD; integrase/recombinase XerD",1023
"NODE_2469_length_5893_cov_39.209661||full_1-(1..1317)-K06400-spoIVCA; site-specific DNA recombinase",1317
"NODE_2469_length_5893_cov_39.209661||full_2-(1407..1817)-K06400-spoIVCA; site-specific DNA recombinase",411
"NODE_2469_length_5893_cov_39.209661||full_3-(1810..3435)-K06400-spoIVCA; site-specific DNA recombinase",1626
"NODE_2469_length_5893_cov_39.209661||full_4-(3437..5140)-K06400-spoIVCA; site-specific DNA recombinase",1704
"NODE_2469_length_5893_cov_39.209661||full_5-(5155..5892)-K06400-spoIVCA; site-specific DNA recombinase",738
"NODE_579_length_12451_cov_5.196596||full_1-(1..1035)-K04763-xerD; integrase/recombinase XerD",1035
"NODE_11689_length_2088_cov_2.335465||full_5-(1495..2088)-K14059-int; integrase",594
"NODE_4641_length_4007_cov_4.437500||full_3-(517..2085)-K06400-spoIVCA; site-specific DNA recombinase",1569
"NODE_2087_length_6427_cov_13.544884||full_2-(484..2130)-K06400-spoIVCA; site-specific DNA recombinase",1647
"NODE_2087_length_6427_cov_13.544884||full_3-(2135..3817)-K06400-spoIVCA; site-specific DNA recombinase",1683
"NODE_2087_length_6427_cov_13.544884||full_4-(3810..5495)-K06400-spoIVCA; site-specific DNA recombinase",1686
"NODE_2836_length_5432_cov_13.175935||full_4-(1998..3509)-K06400-spoIVCA; site-specific DNA recombinase",1512
"NODE_2836_length_5432_cov_13.175935||full_5-(3494..5077)-K06400-spoIVCA; site-specific DNA recombinase",1584
"NODE_2821_length_5448_cov_5.248841||full_6-(2570..3703)-K04763-xerD; integrase/recombinase XerD",1134
"NODE_3527_length_4809_cov_3.460454||full_6-(3251..4741)-K06400-spoIVCA; site-specific DNA recombinase",1491
"NODE_1582_length_7517_cov_7.074913||full_4-(1752..3560)-VOG15133-REFSEQ integrase core domain protein",1809
"NODE_2295_length_6152_cov_6.090864||full_1-(1..1185)-K06400-spoIVCA; site-specific DNA recombinase",1185
"NODE_2295_length_6152_cov_6.090864||full_2-(1185..2003)-K06400-spoIVCA; site-specific DNA recombinase",819
"NODE_2295_length_6152_cov_6.090864||full_3-(2000..4285)-K06400-spoIVCA; site-specific DNA recombinase",2286
"NODE_4313_length_4222_cov_4.264939||full_3-(2306..3175)-K03733-xerC; integrase/recombinase XerC",870
"NODE_5251_length_3701_cov_9.385628||full_1-(1..1707)-K06400-spoIVCA; site-specific DNA recombinase",1707
"NODE_5251_length_3701_cov_9.385628||full_3-(2117..3319)-K06400-spoIVCA; site-specific DNA recombinase",1203
"NODE_970_length_9628_cov_7.114593||full_6-(3106..3759)-PF09588.10-YqaJ-like viral recombinase domain",654
"NODE_5169_length_3741_cov_13.062670||full_1-(1..1041)-K07482-K07482; transposase, IS30 family",1041
"NODE_90_length_25854_cov_11.374278||full_9-(3447..4961)-K06400-spoIVCA; site-specific DNA recombinase",1515
"NODE_8170_length_2711_cov_3.753012||full_3-(616..1611)-K03733-xerC; integrase/recombinase XerC",996
"NODE_3381_length_4920_cov_3.462487||full_4-(2406..4277)-K06400-spoIVCA; site-specific DNA recombinase",1872
"NODE_5691_length_3505_cov_3.729565||full_3-(1264..3180)-K06400-spoIVCA; site-specific DNA recombinase",1917
"NODE_478_length_13491_cov_15.882926||full_2-(963..2012)-K07482-K07482; transposase, IS30 family",1050
"NODE_6703_length_3127_cov_4.558268||full_3-(1207..2448)-K14059-int; integrase",1242
"NODE_4227_length_4279_cov_7.285748||full_2-(748..1980)-K04763-xerD; integrase/recombinase XerD",1233
"NODE_4227_length_4279_cov_7.285748||full_3-(1980..2930)-K04763-xerD; integrase/recombinase XerD",951
"NODE_4227_length_4279_cov_7.285748||full_4-(2917..3918)-K04763-xerD; integrase/recombinase XerD",1002
"NODE_974_length_9614_cov_14.870384||full_2-(1662..2486)-K04763-xerD; integrase/recombinase XerD",825
"NODE_12266_length_2011_cov_6.150307||full_2-(233..1189)-K04763-xerD; integrase/recombinase XerD",957
"NODE_1403_length_8074_cov_7.745479||full_4-(1872..2516)-K04763-xerD; integrase/recombinase XerD",645
"NODE_471_length_13588_cov_18.647085||full_12-(8393..9991)-K06400-spoIVCA; site-specific DNA recombinase",1599
"NODE_2402_length_6000_cov_5.356939||full_7-(2684..4372)-K06400-spoIVCA; site-specific DNA recombinase",1689
"NODE_11249_length_2153_cov_27.288847||full_4-(1405..1833)-VOG02220-sp|P59696|T200_SALTY Transposase for insertion sequence element IS200",429
"NODE_6738_length_3110_cov_9.401309||full_2-(338..1255)-K14059-int; integrase",918
"NODE_13344_length_1879_cov_79.432018||full_1-(1..810)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",810
"NODE_13344_length_1879_cov_79.432018||full_2-(879..1169)-K07483-K07483; transposase",291
"NODE_8_length_53134_cov_21.934155||full_3-(1181..2902)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1722
"NODE_8_length_53134_cov_21.934155||full_36-(21813..22412)-K04763-xerD; integrase/recombinase XerD",600
"NODE_3600_length_4751_cov_6.486797||full_10-(4147..4749)-K14059-int; integrase",603
"NODE_6431_length_3227_cov_3.703026||full_1-(1..711)-K06400-spoIVCA; site-specific DNA recombinase",711
"NODE_4339_length_4196_cov_5.787008||full_2-(62..1753)-K06400-spoIVCA; site-specific DNA recombinase",1692
"NODE_4339_length_4196_cov_5.787008||full_3-(1754..3418)-K06400-spoIVCA; site-specific DNA recombinase",1665
"NODE_6852_length_3074_cov_17.421000||full_5-(1529..3028)-K06400-spoIVCA; site-specific DNA recombinase",1500
"NODE_9763_length_2383_cov_4.030069||full_3-(395..1633)-K14059-int; integrase",1239
"NODE_398_length_14606_cov_5.682290||full_15-(7710..9683)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1974
"NODE_884_length_10073_cov_10.059193||full_8-(8180..9859)-K04763-xerD; integrase/recombinase XerD",1680
"NODE_5840_length_3446_cov_13.210852||full_4-(1209..2582)-K06400-spoIVCA; site-specific DNA recombinase",1374
"NODE_5229_length_3710_cov_6.267579||full_4-(1306..2325)-K04763-xerD; integrase/recombinase XerD",1020
"NODE_32_length_35677_cov_14.483016||full_56-(35200..35397)-K07482-K07482; transposase, IS30 family",198
"NODE_115_length_23699_cov_9.127474||full_3-(1509..2354)-PF12784.7-PD-(D/E)XK nuclease family transposase",846
"NODE_243_length_17812_cov_5.509489||full_26-(15332..15868)-K04763-xerD; integrase/recombinase XerD",537
"NODE_2512_length_5821_cov_4.727194||full_1-(1..519)-K06400-spoIVCA; site-specific DNA recombinase",519
"NODE_1841_length_6943_cov_14.173490||full_11-(5648..6682)-K07482-K07482; transposase, IS30 family",1035
"NODE_789_length_10671_cov_19.204691||full_10-(9616..10581)-K04763-xerD; integrase/recombinase XerD",966
"NODE_4258_length_4260_cov_11.990963||full_1-(1..1200)-K06400-spoIVCA; site-specific DNA recombinase",1200
"NODE_4258_length_4260_cov_11.990963||full_2-(1193..2203)-K06400-spoIVCA; site-specific DNA recombinase",1011
"NODE_4258_length_4260_cov_11.990963||full_3-(2188..3177)-K06400-spoIVCA; site-specific DNA recombinase",990
"NODE_3290_length_5002_cov_9.649485||full_1-(1..891)-K03733-xerC; integrase/recombinase XerC",891
"NODE_3290_length_5002_cov_9.649485||full_3-(2256..2912)-K03733-xerC; integrase/recombinase XerC",657
"NODE_1091_length_9247_cov_4.488686||full_10-(7645..8661)-K04763-xerD; integrase/recombinase XerD",1017
"NODE_1611_length_7500_cov_10.631162||full_1-(1..1041)-K04763-xerD; integrase/recombinase XerD",1041
"NODE_2452_length_5826_cov_5.039508||full_1-(1..699)-K06400-spoIVCA; site-specific DNA recombinase",699
"NODE_2452_length_5826_cov_5.039508||full_2-(802..1458)-K06400-spoIVCA; site-specific DNA recombinase",657
"NODE_8326_length_2555_cov_6.864400||full_2-(74..1537)-K07487-K07487; transposase",1464
"NODE_2496_length_5764_cov_7.395866||full_8-(3036..4055)-K04763-xerD; integrase/recombinase XerD",1020
"NODE_3209_length_4899_cov_3.947358||full_2-(366..2033)-K06400-spoIVCA; site-specific DNA recombinase",1668
"NODE_3209_length_4899_cov_3.947358||full_3-(2034..3740)-K06400-spoIVCA; site-specific DNA recombinase",1707
"NODE_3209_length_4899_cov_3.947358||full_4-(3730..4899)-K06400-spoIVCA; site-specific DNA recombinase",1170
"NODE_155_length_23647_cov_6.173915||full_30-(20597..22570)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1974
"NODE_1728_length_7250_cov_5.235024||full_8-(5435..7039)-K06400-spoIVCA; site-specific DNA recombinase",1605
"NODE_4874_length_3680_cov_2.910621||full_1-(1..1059)-K07486-K07486; transposase",1059
"NODE_5299_length_3485_cov_23.099708||full_1-(1..1671)-K06400-spoIVCA; site-specific DNA recombinase",1671
"NODE_2963_length_5122_cov_92.877640||full_1 1815-4831/4831_1-(211..957)-PF03050.14-Transposase IS66 family",747
"NODE_2963_length_5122_cov_92.877640||full_1 1815-4831/4831_2-(970..1851)-PF03050.14-Transposase IS66 family",882
"NODE_24938_length_1154_cov_3.550500||full_1-(1..276)-K06400-spoIVCA; site-specific DNA recombinase",276
"NODE_341_length_16064_cov_4.300331||full_2-(101..1600)-K06400-spoIVCA; site-specific DNA recombinase",1500
"NODE_23633_length_1202_cov_2.841325||full_1-(1..225)-K06400-spoIVCA; site-specific DNA recombinase",225
"NODE_53_length_37729_cov_93.096087||full_fragment_1_16-(13628..15277)-K06400-spoIVCA; site-specific DNA recombinase",1650
"NODE_53_length_37729_cov_93.096087||full_fragment_1_17-(15282..16973)-K06400-spoIVCA; site-specific DNA recombinase",1692
"NODE_53_length_37729_cov_93.096087||full_fragment_1_18-(16970..18607)-K06400-spoIVCA; site-specific DNA recombinase",1638
"NODE_6779_length_2961_cov_8.686855||full_1-(1..1047)-K07482-K07482; transposase, IS30 family",1047
"NODE_20589_length_1329_cov_6.156201||full_1-(1..258)-K04763-xerD; integrase/recombinase XerD",258
"NODE_132_length_26023_cov_23.490719||full_36-(19133..19732)-K04763-xerD; integrase/recombinase XerD",600
"NODE_7846_length_2669_cov_9.359220||full_1-(1..507)-K06400-spoIVCA; site-specific DNA recombinase",507
"NODE_1575_length_7610_cov_5.668696||full_13-(5956..7404)-K06400-spoIVCA; site-specific DNA recombinase",1449
"NODE_14484_length_1720_cov_4.282883||full_4-(994..1719)-K06400-spoIVCA; site-specific DNA recombinase",726
"NODE_2106_length_6398_cov_7.054706||full_7-(3362..5317)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1956
