SRR14826639.NODE_14302_length_2028_cov_3.341105||full	SRR14826639.NODE_14302_length_2028_cov_3.341105||full
SRR14826640.NODE_962_length_27572_cov_20.045281||full	mgm4539918.3_d.NODE_617_length_7350_cov_5.131049||full
SRR14826640.NODE_962_length_27572_cov_20.045281||full	mgm4539918.3_d.NODE_617_length_7350_cov_5.131049||full
SRR14826640.NODE_962_length_27572_cov_20.045281||full	SRR14826642.NODE_6769_length_3530_cov_8.389928||full
SRR14826640.NODE_962_length_27572_cov_20.045281||full	SRR8735348.NODE_53477_length_1552_cov_7.738811||full
SRR14826640.NODE_1864_length_14927_cov_10.876479||full	SRR14826640.NODE_1864_length_14927_cov_10.876479||full
SRR14826640.NODE_1864_length_14927_cov_10.876479||full	SRR14826641.NODE_1203_length_11214_cov_29.288287||full
SRR14826640.NODE_1864_length_14927_cov_10.876479||full	SRR14826645.NODE_2760_length_3087_cov_2.250989||full
SRR14826640.NODE_1864_length_14927_cov_10.876479||full	SRR14826648.NODE_2323_length_11210_cov_10.454774||full
SRR14826640.NODE_1864_length_14927_cov_10.876479||full	SRR14826639.NODE_1782_length_11259_cov_7.481167||full
SRR14826640.NODE_1864_length_14927_cov_10.876479||full	SRR14826638.NODE_1876_length_11214_cov_22.065866||full
SRR14826640.NODE_1864_length_14927_cov_10.876479||full	SRR14826644.NODE_1209_length_11213_cov_8.868166||full
SRR14826640.NODE_1864_length_14927_cov_10.876479||full	SRR14826649.NODE_4144_length_11214_cov_12.383547||full
SRR14826640.NODE_1864_length_14927_cov_10.876479||full	SRR14826646.NODE_3513_length_11214_cov_46.289811||full
SRR14826640.NODE_1864_length_14927_cov_10.876479||full	SRR14826645.NODE_10675_length_1639_cov_2.630682||full
SRR14826640.NODE_1864_length_14927_cov_10.876479||full	SRR14826645.NODE_8078_length_1860_cov_2.622715||full
SRR14826640.NODE_2395_length_11383_cov_4.612994||full	SRR14826640.NODE_2395_length_11383_cov_4.612994||full
SRR14826640.NODE_2395_length_11383_cov_4.612994||full	SRR14826638.NODE_21061_length_1796_cov_3.710511||full
SRR14826640.NODE_2395_length_11383_cov_4.612994||full	SRR14826649.NODE_46684_length_1595_cov_2.696753||full
SRR14826640.NODE_2395_length_11383_cov_4.612994||full	SRR14826638.NODE_3285_length_6815_cov_3.382249||full
SRR14826640.NODE_2395_length_11383_cov_4.612994||full	SRR14826649.NODE_23860_length_2522_cov_4.346575||full
SRR14826640.NODE_2395_length_11383_cov_4.612994||full	SRR14826646.NODE_19916_length_2699_cov_3.772315||full
SRR14826640.NODE_2395_length_11383_cov_4.612994||full	SRR14826649.NODE_13210_length_3959_cov_3.965420||full
SRR14826640.NODE_2395_length_11383_cov_4.612994||full	SRR14826646.NODE_7596_length_5956_cov_3.090832||full
SRR14826640.NODE_2821_length_9518_cov_11.254570||full	SRR14826640.NODE_2821_length_9518_cov_11.254570||full
SRR14826640.NODE_4842_length_5340_cov_10.908798||full	SRR14826640.NODE_4842_length_5340_cov_10.908798||full
SRR14826640.NODE_4842_length_5340_cov_10.908798||full	mgm4538914.3_d.NODE_1376_length_1973_cov_2.660063||full
SRR14826640.NODE_5223_length_4963_cov_4.128973||full	SRR14826640.NODE_5223_length_4963_cov_4.128973||full
SRR14826640.NODE_5223_length_4963_cov_4.128973||full	SRR14826641.NODE_6977_length_3145_cov_5.511003||full
SRR14826640.NODE_5223_length_4963_cov_4.128973||full	SRR14826644.NODE_4319_length_3644_cov_3.338256||full
SRR14826640.NODE_5223_length_4963_cov_4.128973||full	SRR14826646.NODE_18231_length_2899_cov_13.125879||full
SRR14826640.NODE_5657_length_4591_cov_4.651014||full	SRR14826640.NODE_5657_length_4591_cov_4.651014||full
SRR14826640.NODE_5943_length_4372_cov_4.274728||full	SRR14826640.NODE_5943_length_4372_cov_4.274728||full
SRR14826640.NODE_5943_length_4372_cov_4.274728||full	SRR14826646.NODE_29367_length_2000_cov_2.589717||full
SRR14826640.NODE_6155_length_4225_cov_4.102158||full	SRR14826640.NODE_6155_length_4225_cov_4.102158||full
SRR14826640.NODE_6460_length_4044_cov_3.897719||full	SRR14826640.NODE_6460_length_4044_cov_3.897719||full
SRR14826640.NODE_6801_length_3850_cov_3.522530||full	SRR14826640.NODE_6801_length_3850_cov_3.522530||full
SRR14826640.NODE_7114_length_3683_cov_8.252205||full	SRR14826640.NODE_7114_length_3683_cov_8.252205||full
SRR14826640.NODE_7114_length_3683_cov_8.252205||full	SRR14826649.NODE_17904_length_3115_cov_11.563399||full
SRR14826640.NODE_7408_length_3540_cov_3.499857||full	SRR14826640.NODE_7408_length_3540_cov_3.499857||full
SRR14826640.NODE_7408_length_3540_cov_3.499857||full	SRR14826648.NODE_15908_length_2470_cov_3.849689||full
SRR14826640.NODE_7408_length_3540_cov_3.499857||full	SRR14826649.NODE_23886_length_2520_cov_7.030426||full
SRR14826640.NODE_7408_length_3540_cov_3.499857||full	SRR14826641.NODE_6615_length_3267_cov_5.075654||full
SRR14826640.NODE_7408_length_3540_cov_3.499857||full	mgm4539802.3_d.NODE_3179_length_1689_cov_2.708078||full
SRR14826640.NODE_7408_length_3540_cov_3.499857||full	SRR14826644.NODE_11889_length_1722_cov_3.085183||full
SRR14826640.NODE_7408_length_3540_cov_3.499857||full	SRR13827508.NODE_18252_length_1666_cov_3.584730||full
SRR14826640.NODE_7408_length_3540_cov_3.499857||full	mgm4539802.3_d.NODE_3179_length_1689_cov_2.708078||full
SRR14826640.NODE_7408_length_3540_cov_3.499857||full	SRR13827503.NODE_7633_length_2739_cov_2.178092||full
SRR14826640.NODE_7696_length_3409_cov_3.305605||full	SRR14826640.NODE_7696_length_3409_cov_3.305605||full
SRR14826640.NODE_7994_length_3295_cov_4.020062||full	SRR14826640.NODE_7994_length_3295_cov_4.020062||full
SRR14826640.NODE_8299_length_3176_cov_6.258571||full	SRR14826640.NODE_8299_length_3176_cov_6.258571||full
SRR14826640.NODE_9624_length_2771_cov_5.886966||full	SRR14826640.NODE_9624_length_2771_cov_5.886966||full
SRR14826640.NODE_10219_length_2622_cov_2.581223||full	SRR14826640.NODE_10219_length_2622_cov_2.581223||full
SRR14826640.NODE_11123_length_2431_cov_4.414983||full	SRR14826640.NODE_11123_length_2431_cov_4.414983||full
mgm4539998.3_d.NODE_764_length_4523_cov_2.252686||full	mgm4539998.3_d.NODE_764_length_4523_cov_2.252686||full
mgm4539998.3_d.NODE_764_length_4523_cov_2.252686||full	mgm4539998.3_d.NODE_764_length_4523_cov_2.252686||full
mgm4539998.3_d.NODE_1040_length_3661_cov_4.191348||full	mgm4539998.3_d.NODE_1040_length_3661_cov_4.191348||full
mgm4539998.3_d.NODE_1040_length_3661_cov_4.191348||full	mgm4539802.3_d.NODE_1560_length_2504_cov_2.058800||full
mgm4539998.3_d.NODE_1040_length_3661_cov_4.191348||full	mgm4540052.3_d.NODE_2683_length_2500_cov_3.745194||full
mgm4539998.3_d.NODE_1040_length_3661_cov_4.191348||full	mgm4539996.3_d.NODE_4250_length_2049_cov_3.382648||full
mgm4539998.3_d.NODE_1040_length_3661_cov_4.191348||full	mgm4539802.3_d.NODE_1560_length_2504_cov_2.058800||full
mgm4539998.3_d.NODE_1040_length_3661_cov_4.191348||full	mgm4539996.3_d.NODE_4250_length_2049_cov_3.382648||full
mgm4539998.3_d.NODE_1040_length_3661_cov_4.191348||full	mgm4539998.3_d.NODE_1040_length_3661_cov_4.191348||full
mgm4539998.3_d.NODE_1040_length_3661_cov_4.191348||full	mgm4540052.3_d.NODE_2683_length_2500_cov_3.745194||full
mgm4539998.3_d.NODE_1040_length_3661_cov_4.191348||full	mgm4539529.3_d.NODE_3903_length_2659_cov_2.176267||full
mgm4539998.3_d.NODE_1040_length_3661_cov_4.191348||full	mgm4539529.3_d.NODE_3903_length_2659_cov_2.176267||full
mgm4539998.3_d.NODE_1040_length_3661_cov_4.191348||full	mgm4539918.3_d.NODE_4287_length_2020_cov_3.326718||full
mgm4539998.3_d.NODE_1040_length_3661_cov_4.191348||full	mgm4539918.3_d.NODE_4287_length_2020_cov_3.326718||full
mgm4539998.3_d.NODE_1040_length_3661_cov_4.191348||full	mgm4538804.3_d.NODE_6310_length_1638_cov_2.086545||full
mgm4539998.3_d.NODE_1040_length_3661_cov_4.191348||full	mgm4538804.3_d.NODE_6310_length_1638_cov_2.086545||full
mgm4539998.3_d.NODE_1314_length_3102_cov_2.900558||full	mgm4539998.3_d.NODE_1314_length_3102_cov_2.900558||full
mgm4539998.3_d.NODE_1314_length_3102_cov_2.900558||full	mgm4539998.3_d.NODE_1314_length_3102_cov_2.900558||full
mgm4539998.3_d.NODE_2731_length_1948_cov_1.949815||full	mgm4539998.3_d.NODE_2731_length_1948_cov_1.949815||full
mgm4539998.3_d.NODE_2731_length_1948_cov_1.949815||full	mgm4539998.3_d.NODE_2731_length_1948_cov_1.949815||full
mgm4539998.3_d.NODE_3382_length_1733_cov_1.910608||full	mgm4539998.3_d.NODE_3382_length_1733_cov_1.910608||full
mgm4539998.3_d.NODE_3382_length_1733_cov_1.910608||full	mgm4539998.3_d.NODE_3382_length_1733_cov_1.910608||full
mgm4539998.3_d.NODE_3803_length_1629_cov_1.841804||full	mgm4539998.3_d.NODE_3803_length_1629_cov_1.841804||full
mgm4539998.3_d.NODE_3803_length_1629_cov_1.841804||full	mgm4539998.3_d.NODE_3803_length_1629_cov_1.841804||full
mgm4539998.3_d.NODE_4179_length_1548_cov_1.450770||full	mgm4539998.3_d.NODE_4179_length_1548_cov_1.450770||full
mgm4539998.3_d.NODE_4179_length_1548_cov_1.450770||full	mgm4539998.3_d.NODE_4179_length_1548_cov_1.450770||full
mgm4540045.3_d.NODE_164_length_11829_cov_3.859096||full	mgm4540045.3_d.NODE_164_length_11829_cov_3.859096||full
mgm4540045.3_d.NODE_164_length_11829_cov_3.859096||full	mgm4540053.3_d.NODE_2413_length_2878_cov_2.231668||full
mgm4540045.3_d.NODE_164_length_11829_cov_3.859096||full	mgm4540053.3_d.NODE_2413_length_2878_cov_2.231668||full
mgm4540045.3_d.NODE_164_length_11829_cov_3.859096||full	SRR8735348.NODE_33533_length_2206_cov_2.334728||full
mgm4540045.3_d.NODE_164_length_11829_cov_3.859096||full	mgm4540045.3_d.NODE_164_length_11829_cov_3.859096||full
mgm4540045.3_d.NODE_164_length_11829_cov_3.859096||full	mgm4539684.3_d.NODE_2313_length_3717_cov_5.985800||full
mgm4540045.3_d.NODE_164_length_11829_cov_3.859096||full	mgm4541194.3_d.NODE_4183_length_2825_cov_2.993502||full
mgm4540045.3_d.NODE_164_length_11829_cov_3.859096||full	mgm4539684.3_d.NODE_2313_length_3717_cov_5.985800||full
mgm4540045.3_d.NODE_164_length_11829_cov_3.859096||full	mgm4541194.3_d.NODE_4183_length_2825_cov_2.993502||full
mgm4540045.3_d.NODE_485_length_6150_cov_3.495488||full	mgm4540045.3_d.NODE_485_length_6150_cov_3.495488||full
mgm4540045.3_d.NODE_485_length_6150_cov_3.495488||full	mgm4539473.3_d.NODE_1033_length_5091_cov_2.677720||full
mgm4540045.3_d.NODE_485_length_6150_cov_3.495488||full	mgm4539473.3_d.NODE_1033_length_5091_cov_2.677720||full
mgm4540045.3_d.NODE_485_length_6150_cov_3.495488||full	mgm4540045.3_d.NODE_485_length_6150_cov_3.495488||full
mgm4540045.3_d.NODE_745_length_4801_cov_3.553097||full	mgm4540045.3_d.NODE_745_length_4801_cov_3.553097||full
mgm4540045.3_d.NODE_745_length_4801_cov_3.553097||full	mgm4540045.3_d.NODE_745_length_4801_cov_3.553097||full
mgm4540045.3_d.NODE_745_length_4801_cov_3.553097||full	mgm4540053.3_d.NODE_4173_length_1811_cov_2.347380||full
mgm4540045.3_d.NODE_745_length_4801_cov_3.553097||full	mgm4540053.3_d.NODE_4173_length_1811_cov_2.347380||full
mgm4540045.3_d.NODE_983_length_3982_cov_2.609626||full	mgm4540045.3_d.NODE_983_length_3982_cov_2.609626||full
mgm4540045.3_d.NODE_983_length_3982_cov_2.609626||full	mgm4540045.3_d.NODE_983_length_3982_cov_2.609626||full
mgm4540045.3_d.NODE_1231_length_3443_cov_2.725207||full	mgm4540045.3_d.NODE_1231_length_3443_cov_2.725207||full
mgm4540045.3_d.NODE_1231_length_3443_cov_2.725207||full	mgm4538804.3_d.NODE_5110_length_1900_cov_1.505691||full
mgm4540045.3_d.NODE_1231_length_3443_cov_2.725207||full	mgm4538804.3_d.NODE_5110_length_1900_cov_1.505691||full
mgm4540045.3_d.NODE_1231_length_3443_cov_2.725207||full	mgm4540045.3_d.NODE_1231_length_3443_cov_2.725207||full
mgm4540045.3_d.NODE_2342_length_2244_cov_2.302878||full	mgm4540045.3_d.NODE_2342_length_2244_cov_2.302878||full
mgm4540045.3_d.NODE_2342_length_2244_cov_2.302878||full	mgm4540045.3_d.NODE_2342_length_2244_cov_2.302878||full
mgm4540045.3_d.NODE_2236_length_2319_cov_3.611307||full	mgm4540045.3_d.NODE_2236_length_2319_cov_3.611307||full
mgm4540045.3_d.NODE_2236_length_2319_cov_3.611307||full	mgm4540045.3_d.NODE_2236_length_2319_cov_3.611307||full
mgm4540046.3_d.NODE_1201_length_2883_cov_7.409477||full	mgm4540046.3_d.NODE_1201_length_2883_cov_7.409477||full
mgm4540046.3_d.NODE_1201_length_2883_cov_7.409477||full	mgm4539685.3_d.NODE_1817_length_2050_cov_10.117794||full
mgm4540046.3_d.NODE_1201_length_2883_cov_7.409477||full	mgm4539685.3_d.NODE_1817_length_2050_cov_10.117794||full
mgm4540046.3_d.NODE_1201_length_2883_cov_7.409477||full	mgm4540046.3_d.NODE_1201_length_2883_cov_7.409477||full
mgm4540046.3_d.NODE_1686_length_2148_cov_3.356426||full	mgm4540046.3_d.NODE_1686_length_2148_cov_3.356426||full
mgm4540046.3_d.NODE_1686_length_2148_cov_3.356426||full	mgm4540046.3_d.NODE_1686_length_2148_cov_3.356426||full
mgm4540052.3_d.NODE_1507_length_3881_cov_2.863304||full	mgm4540052.3_d.NODE_1507_length_3881_cov_2.863304||full
mgm4540052.3_d.NODE_1507_length_3881_cov_2.863304||full	SRR14826640.NODE_11789_length_2309_cov_3.598935||full
mgm4540052.3_d.NODE_1507_length_3881_cov_2.863304||full	mgm4540052.3_d.NODE_1507_length_3881_cov_2.863304||full
mgm4540052.3_d.NODE_1507_length_3881_cov_2.863304||full	mgm4540045.3_d.NODE_2978_length_1911_cov_1.942349||full
mgm4540052.3_d.NODE_1507_length_3881_cov_2.863304||full	mgm4540045.3_d.NODE_2978_length_1911_cov_1.942349||full
mgm4540052.3_d.NODE_1768_length_3382_cov_5.165915||full	mgm4540052.3_d.NODE_1768_length_3382_cov_5.165915||full
mgm4540052.3_d.NODE_1768_length_3382_cov_5.165915||full	mgm4540052.3_d.NODE_1768_length_3382_cov_5.165915||full
mgm4540052.3_d.NODE_1768_length_3382_cov_5.165915||full	SRR8735345.NODE_31777_length_1791_cov_11.853111||full
mgm4540052.3_d.NODE_2350_length_2757_cov_5.034419||full	mgm4540052.3_d.NODE_2350_length_2757_cov_5.034419||full
mgm4540052.3_d.NODE_2350_length_2757_cov_5.034419||full	mgm4539686.3_d.NODE_3736_length_2973_cov_4.606580||full
mgm4540052.3_d.NODE_2350_length_2757_cov_5.034419||full	mgm4539686.3_d.NODE_3736_length_2973_cov_4.606580||full
mgm4540052.3_d.NODE_2350_length_2757_cov_5.034419||full	mgm4540052.3_d.NODE_2350_length_2757_cov_5.034419||full
mgm4540052.3_d.NODE_2879_length_2390_cov_2.601285||full	mgm4540052.3_d.NODE_2879_length_2390_cov_2.601285||full
mgm4540052.3_d.NODE_2879_length_2390_cov_2.601285||full	mgm4540052.3_d.NODE_2879_length_2390_cov_2.601285||full
mgm4540052.3_d.NODE_3418_length_2090_cov_2.257985||full	mgm4540052.3_d.NODE_3418_length_2090_cov_2.257985||full
mgm4540052.3_d.NODE_3418_length_2090_cov_2.257985||full	mgm4540052.3_d.NODE_3418_length_2090_cov_2.257985||full
mgm4540052.3_d.NODE_3618_length_2008_cov_2.323093||full	mgm4540052.3_d.NODE_3618_length_2008_cov_2.323093||full
mgm4540052.3_d.NODE_3618_length_2008_cov_2.323093||full	SRR14826649.NODE_50535_length_1515_cov_2.900000||full
mgm4540052.3_d.NODE_3618_length_2008_cov_2.323093||full	mgm4540052.3_d.NODE_3618_length_2008_cov_2.323093||full
mgm4540052.3_d.NODE_3618_length_2008_cov_2.323093||full	SRR14826644.NODE_10496_length_1863_cov_3.000553||full
mgm4539998.3_d.NODE_1043_length_3640_cov_8.256346||full	mgm4539998.3_d.NODE_1043_length_3640_cov_8.256346||full
mgm4539998.3_d.NODE_1043_length_3640_cov_8.256346||full	mgm4539998.3_d.NODE_1043_length_3640_cov_8.256346||full
mgm4539998.3_d.NODE_1316_length_3100_cov_2.197701||full	mgm4539998.3_d.NODE_1316_length_3100_cov_2.197701||full
mgm4539998.3_d.NODE_1316_length_3100_cov_2.197701||full	mgm4539686.3_d.NODE_8518_length_1613_cov_3.435815||full
mgm4539998.3_d.NODE_1316_length_3100_cov_2.197701||full	mgm4539686.3_d.NODE_8518_length_1613_cov_3.435815||full
mgm4539998.3_d.NODE_1316_length_3100_cov_2.197701||full	mgm4539998.3_d.NODE_1316_length_3100_cov_2.197701||full
mgm4539998.3_d.NODE_1843_length_2479_cov_2.014851||full	mgm4539998.3_d.NODE_1843_length_2479_cov_2.014851||full
mgm4539998.3_d.NODE_1843_length_2479_cov_2.014851||full	mgm4539799.3_d.NODE_2217_length_1853_cov_3.895996||full
mgm4539998.3_d.NODE_1843_length_2479_cov_2.014851||full	mgm4539799.3_d.NODE_2217_length_1853_cov_3.895996||full
mgm4539998.3_d.NODE_1843_length_2479_cov_2.014851||full	mgm4539998.3_d.NODE_1843_length_2479_cov_2.014851||full
mgm4539998.3_d.NODE_2170_length_2236_cov_2.825309||full	mgm4539998.3_d.NODE_2170_length_2236_cov_2.825309||full
mgm4539998.3_d.NODE_2170_length_2236_cov_2.825309||full	mgm4539998.3_d.NODE_2170_length_2236_cov_2.825309||full
mgm4539998.3_d.NODE_2170_length_2236_cov_2.825309||full	SRR14826639.NODE_19036_length_1645_cov_2.038365||full
mgm4539998.3_d.NODE_2734_length_1947_cov_1.440803||full	mgm4539998.3_d.NODE_2734_length_1947_cov_1.440803||full
mgm4539998.3_d.NODE_2734_length_1947_cov_1.440803||full	mgm4539998.3_d.NODE_2734_length_1947_cov_1.440803||full
mgm4539998.3_d.NODE_3022_length_1846_cov_2.838079||full	mgm4539998.3_d.NODE_3022_length_1846_cov_2.838079||full
mgm4539998.3_d.NODE_3022_length_1846_cov_2.838079||full	mgm4539998.3_d.NODE_3022_length_1846_cov_2.838079||full
mgm4539998.3_d.NODE_3830_length_1624_cov_2.261950||full	mgm4539998.3_d.NODE_3830_length_1624_cov_2.261950||full
mgm4539998.3_d.NODE_3830_length_1624_cov_2.261950||full	mgm4539998.3_d.NODE_3830_length_1624_cov_2.261950||full
mgm4539998.3_d.NODE_4190_length_1545_cov_2.114765||full	mgm4539998.3_d.NODE_4190_length_1545_cov_2.114765||full
mgm4539998.3_d.NODE_4190_length_1545_cov_2.114765||full	mgm4539998.3_d.NODE_4190_length_1545_cov_2.114765||full
mgm4540046.3_d.NODE_1454_length_2439_cov_2.123742||full	mgm4540046.3_d.NODE_1454_length_2439_cov_2.123742||full
mgm4540046.3_d.NODE_1454_length_2439_cov_2.123742||full	mgm4540046.3_d.NODE_1454_length_2439_cov_2.123742||full
mgm4540046.3_d.NODE_2131_length_1813_cov_1.378840||lt2gene	mgm4540046.3_d.NODE_2131_length_1813_cov_1.378840||lt2gene
mgm4540046.3_d.NODE_2131_length_1813_cov_1.378840||lt2gene	mgm4540046.3_d.NODE_2131_length_1813_cov_1.378840||lt2gene
SRR13827512.NODE_9294_length_2632_cov_4.894839||full	SRR13827512.NODE_9294_length_2632_cov_4.894839||full
SRR13827512.NODE_9294_length_2632_cov_4.894839||full	SRR13827504.NODE_13364_length_1631_cov_3.191624||full
SRR13827512.NODE_9294_length_2632_cov_4.894839||full	SRR8735345.NODE_33016_length_1740_cov_3.152522||full
SRR13827512.NODE_9294_length_2632_cov_4.894839||full	SRR14826640.NODE_15652_length_1812_cov_3.825839||full
SRR13827512.NODE_9294_length_2632_cov_4.894839||full	SRR13827511.NODE_9745_length_2693_cov_5.332828||full
SRR13827512.NODE_9294_length_2632_cov_4.894839||full	SRR14826648.NODE_16274_length_2429_cov_6.801601||full
SRR13827512.NODE_9754_length_2531_cov_8.648223||full	SRR13827512.NODE_9754_length_2531_cov_8.648223||full
SRR13827512.NODE_9754_length_2531_cov_8.648223||full	SRR13827515.NODE_11277_length_2069_cov_7.697120||full
SRR13827512.NODE_9754_length_2531_cov_8.648223||full	SRR13827513.NODE_11797_length_2070_cov_7.883871||full
SRR13827512.NODE_10373_length_2408_cov_3.702932||full	SRR13827512.NODE_10373_length_2408_cov_3.702932||full
SRR13827512.NODE_12609_length_2069_cov_2.807845||full	SRR13827512.NODE_12609_length_2069_cov_2.807845||full
SRR13827512.NODE_12609_length_2069_cov_2.807845||full	SRR13827522.NODE_11366_length_2038_cov_2.795260||full
SRR13827512.NODE_15538_length_1763_cov_3.039813||full	SRR13827512.NODE_15538_length_1763_cov_3.039813||full
SRR13827512.NODE_17694_length_1595_cov_4.165584||full	SRR13827512.NODE_17694_length_1595_cov_4.165584||full
SRR13827512.NODE_18692_length_1533_cov_6.089310||full	SRR13827512.NODE_18692_length_1533_cov_6.089310||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827513.NODE_116_length_64846_cov_9.900943||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827520.NODE_701_length_26913_cov_6.724961||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827505.NODE_9487_length_2613_cov_3.244722||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827526.NODE_218_length_51285_cov_12.280714||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR14826643.NODE_16788_length_1746_cov_2.951508||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827504.NODE_2803_length_7151_cov_11.231398||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR14826648.NODE_8841_length_3799_cov_3.397970||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827505.NODE_9213_length_2678_cov_3.595501||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR14826643.NODE_4523_length_4452_cov_3.992267||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827523.NODE_3919_length_4974_cov_3.430169||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR14826639.NODE_1548_length_12795_cov_6.766876||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827503.NODE_6964_length_2974_cov_4.555670||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827511.NODE_16940_length_1749_cov_4.706021||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827518.NODE_5299_length_3959_cov_4.580686||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827503.NODE_3136_length_6184_cov_5.189917||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827505.NODE_18276_length_1527_cov_4.102582||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827506.NODE_3250_length_7567_cov_23.228568||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR14826641.NODE_13016_length_2075_cov_2.660396||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR14826638.NODE_14494_length_2290_cov_5.279642||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR14826648.NODE_4150_length_6862_cov_5.308947||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR14826644.NODE_5299_length_3058_cov_4.597736||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827515.NODE_3723_length_4985_cov_4.221298||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827515.NODE_4970_length_3898_cov_4.239396||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR14826641.NODE_7636_length_2961_cov_3.530970||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827503.NODE_5191_length_3841_cov_4.198891||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827507.NODE_3481_length_6033_cov_9.087487||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR14826638.NODE_1831_length_11467_cov_4.546179||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827503.NODE_4964_length_3980_cov_5.962038||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827518.NODE_4223_length_4935_cov_4.722336||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR14826644.NODE_6823_length_2521_cov_3.658151||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827515.NODE_14993_length_1681_cov_3.206027||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827515.NODE_9839_length_2287_cov_4.455197||full
SRR13827513.NODE_116_length_64846_cov_9.900943||full	SRR13827511.NODE_3490_length_6462_cov_6.902607||full
