"Contig","AMG_contig_length"
"NODE_6487_length_3857_cov_5.272488||full_3---328---1020----1---ID=120_3;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.483",693
"NODE_6487_length_3857_cov_5.272488||full_6---1507---2238----1---ID=120_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.485",732
"NODE_316_length_18824_cov_12.625553||full_5---6458---8293----1---ID=129_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.533",1836
"NODE_130_length_25866_cov_6.069234||full_1---1---723---1---ID=144_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.537",723
"NODE_4141_length_5034_cov_12.039164||full_1---1---597---1---ID=165_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.653",597
"NODE_1383_length_9333_cov_17.163182||full_1---1---183----1---ID=183_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.585",183
"NODE_8986_length_3134_cov_2.951608||full_2---254---1039----1---ID=23_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.511",786
"NODE_40449_length_1031_cov_2.075820||full_2---243---437----1---ID=41_2;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=12bp;gc_cont=0.451",195
"NODE_6205_length_3958_cov_12.478862||full_2---396---1268---1---ID=96_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.412",873
"NODE_129_length_25962_cov_26.851623||full_11---4170---4853---1---ID=102_11;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.529",684
"NODE_1281_length_9634_cov_4.178202||full_12---8378---9376----1---ID=127_12;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.590",999
"NODE_6722_length_3772_cov_7.690342||full_1---1---513---1---ID=131_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.575",513
"NODE_3089_length_5999_cov_24.378701||full_9---4678---5598----1---ID=172_9;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.586",921
"NODE_6973_length_3688_cov_3.261767||full_4---2712---3674----1---ID=180_4;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.467",963
"NODE_11579_length_2636_cov_2.988764||full_3---297---1082---1---ID=187_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.461",786
"NODE_4403_length_4850_cov_16.142857||full_1---1---666---1---ID=2_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.443",666
"NODE_4403_length_4850_cov_16.142857||full_2---663---2045---1---ID=2_2;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.489",1383
"NODE_902_length_11494_cov_14.954104||full_21---10277---10939----1---ID=36_21;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.541",663
"NODE_695_length_13079_cov_4.941800||full_10---10643---11425---1---ID=104_10;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.531",783
"NODE_1426_length_9180_cov_8.963726||full_5---4144---6465---1---ID=122_5;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.422",2322
"NODE_1466_length_9055_cov_4.973556||full_7---4045---4836---1---ID=134_7;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.437",792
"NODE_33_length_43677_cov_17.553390||full_47---33632---35071----1---ID=139_47;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.559",1440
"NODE_33_length_43677_cov_17.553390||full_57---40509---41840----1---ID=139_57;partial=00;start_type=GTG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.541",1332
"NODE_6210_length_3957_cov_11.270887||full_2---309---1139---1---ID=22_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.588",831
"NODE_50_length_38352_cov_12.143902||full_46---34041---35192---1---ID=89_46;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.551",1152
"NODE_9372_length_3049_cov_4.741483||full_6---1754---3046---1---ID=125_6;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.524",1293
"NODE_6278_length_3933_cov_4.108303||full_7---2149---3144----1---ID=172_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.448",996
"NODE_2622_length_6584_cov_10.135090||full_6---1418---2542----1---ID=36_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.428",1125
"NODE_5008_length_4510_cov_5.547250||full_1---1---1257---1---ID=55_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.530",1257
"NODE_1324_length_9521_cov_6.177372||full_7---4130---5068---1---ID=63_7;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.443",939
"NODE_49_length_38384_cov_19.167654||full_53---35851---37080----1---ID=66_53;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.469",1230
"NODE_13386_length_2381_cov_3.671969||full_5---1962---2378----1---ID=73_5;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.544",417
"NODE_4712_length_4662_cov_4.664858||full_5---3313---4254----1---ID=164_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.468",942
"NODE_4712_length_4662_cov_4.664858||full_6---4269---4661----1---ID=164_6;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.476",393
"NODE_7800_length_3435_cov_4.577515||full_2---159---1049---1---ID=11_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.466",891
"NODE_8131_length_3340_cov_17.446880||full_2---503---1825---1---ID=74_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.451",1323
"NODE_7678_length_3468_cov_9.192206||full_3---803---1996---1---ID=183_3;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.546",1194
"NODE_7678_length_3468_cov_9.192206||full_5---2469---2714---1---ID=183_5;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.524",246
"NODE_349_length_17865_cov_8.891241||full_1---1---1113----1---ID=11_1;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.555",1113
"NODE_349_length_17865_cov_8.891241||full_5---1899---3362----1---ID=11_5;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.565",1464
"NODE_25636_length_1489_cov_11.771967||full_4---1159---1485----1---ID=49_4;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.477",327
"NODE_321_length_18791_cov_36.813728||full_8---4084---5457----1---ID=57_8;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.699",1374
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_1---452---709---1---ID=70_1;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.461",258
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_2---755---964---1---ID=70_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.471",210
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_3---977---1204----1---ID=70_3;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.526",228
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_4---1197---1670----1---ID=70_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.542",474
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_5---1673---2080----1---ID=70_5;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.534",408
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_6---2309---2512----1---ID=70_6;partial=00;start_type=TTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.397",204
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_7---2530---2880----1---ID=70_7;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.499",351
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_8---2938---3252----1---ID=70_8;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.556",315
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_9---3257---3517----1---ID=70_9;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.571",261
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_10---3600---4397----1---ID=70_10;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.580",798
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_11---4416---6794----1---ID=70_11;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.518",2379
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_12---6794---7183----1---ID=70_12;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.582",390
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_13---7195---7743----1---ID=70_13;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.452",549
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_14---7782---8723----1---ID=70_14;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.498",942
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_15---8720---9916----1---ID=70_15;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.583",1197
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_16---9916---10812----1---ID=70_16;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.544",897
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_17---10827---14222----1---ID=70_17;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.508",3396
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_18---14538---14891----1---ID=70_18;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.514",354
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_19---14888---15505----1---ID=70_19;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.547",618
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_20---15607---15978----1---ID=70_20;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.556",372
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_21---15975---16322----1---ID=70_21;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.549",348
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_22---16327---16629----1---ID=70_22;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.455",303
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_23---16626---17057----1---ID=70_23;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.569",432
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_24---17069---18019----1---ID=70_24;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.566",951
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_25---18032---18649----1---ID=70_25;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.566",618
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_26---18874---19005----1---ID=70_26;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.364",132
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_27---18996---19139----1---ID=70_27;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.528",144
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_28---19132---19626----1---ID=70_28;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.505",495
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_29---19628---19822----1---ID=70_29;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.467",195
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_30---19819---21360----1---ID=70_30;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.527",1542
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_31---21350---21685----1---ID=70_31;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.423",336
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_32---21739---21942----1---ID=70_32;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.446",204
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_33---21935---23329----1---ID=70_33;partial=00;start_type=TTG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.496",1395
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_34---23907---25268----1---ID=70_34;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.545",1362
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_35---25422---25814----1---ID=70_35;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.504",393
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_36---25840---26118----1---ID=70_36;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.498",279
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_37---26094---26288----1---ID=70_37;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.410",195
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_38---26296---26943----1---ID=70_38;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.557",648
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_39---27540---27962----1---ID=70_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.485",423
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_40---27972---28130----1---ID=70_40;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=3-4bp;gc_cont=0.522",159
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_41---28277---28618----1---ID=70_41;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.465",342
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_42---28981---29229----1---ID=70_42;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.530",249
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_43---29238---29345----1---ID=70_43;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.481",108
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_44---29507---29722----1---ID=70_44;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.560",216
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_45---29704---30282----1---ID=70_45;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.532",579
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_46---30375---30932----1---ID=70_46;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.493",558
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_47---30913---31680----1---ID=70_47;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.622",768
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_48---31638---31850----1---ID=70_48;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.577",213
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_49---31840---32715----1---ID=70_49;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.564",876
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_50---32699---32935----1---ID=70_50;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.544",237
"NODE_30_length_44998_cov_10.364439||full_1-10141-44998/44998_51---33038---34858----1---ID=70_51;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.570",1821
"NODE_311_length_18947_cov_10.178594||full_23---14828---16237---1---ID=82_23;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.545",1410
"NODE_311_length_18947_cov_10.178594||full_24---16239---16916---1---ID=82_24;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.555",678
"NODE_1887_length_7856_cov_9.392770||full_5---3201---7853---1---ID=92_5;partial=01;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.615",4653
"NODE_63_length_34295_cov_15.360514||full_18---16442---17791----1---ID=145_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.526",1350
"NODE_27_length_45943_cov_15.966157||full_25---20534---21325----1---ID=152_25;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.463",792
"NODE_14478_length_2257_cov_2.846957||full_4---909---2255---1---ID=187_4;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.473",1347
"NODE_13148_length_2411_cov_4.870119||full_1---1---390---1---ID=28_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.472",390
"NODE_1790_length_8095_cov_7.618905||full_3---2055---2330----1---ID=47_3;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.500",276
"NODE_1155_length_10106_cov_6.090638||full_6---1682---2593---1---ID=91_6;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.386",912
"NODE_2707_length_6477_cov_4.353317||full_1---1---807---1---ID=159_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.648",807
"NODE_3556_length_5511_cov_4.320015||full_11---4570---5271----1---ID=178_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.433",702
"NODE_1050_length_10638_cov_9.780875||full_4---721---1728----1---ID=6_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.326",1008
"NODE_5859_length_4088_cov_3.542276||full_1---1---1623----1---ID=22_1;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.542",1623
"NODE_491_length_15355_cov_54.343791||full_1-1-4276/14522_1---1---1281----1---ID=23_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.465",1281
"NODE_491_length_15355_cov_54.343791||full_1-1-4276/14522_2---1227---2348----1---ID=23_2;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=3bp;gc_cont=0.508",1122
"NODE_491_length_15355_cov_54.343791||full_1-1-4276/14522_3---2348---2668----1---ID=23_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.464",321
"NODE_491_length_15355_cov_54.343791||full_1-1-4276/14522_4---2689---3483----1---ID=23_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.486",795
"NODE_491_length_15355_cov_54.343791||full_1-1-4276/14522_5---3521---4276----1---ID=23_5;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.434",756
"NODE_10049_length_2908_cov_2.698563||full_5---1731---2906---1---ID=97_5;partial=01;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.571",1176
"NODE_13983_length_2310_cov_3.729933||full_4---934---1845----1---ID=124_4;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.456",912
"NODE_541_length_14712_cov_15.176980||full_16---11459---13165----1---ID=174_16;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.299",1707
"NODE_9903_length_2936_cov_8.179452||full_1---1---774----1---ID=84_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.456",774
"NODE_11894_length_2590_cov_11.801578||full_1---1---1230----1---ID=96_1;partial=10;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.448",1230
"NODE_11894_length_2590_cov_11.801578||full_3---1602---2093----1---ID=96_3;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400",492
"NODE_185_length_22570_cov_9.526804||0_partial_1---1---288---1---ID=97_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.590",288
"NODE_2655_length_6534_cov_5.112672||full_4---2927---4141----1---ID=102_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.303",1215
"NODE_2655_length_6534_cov_5.112672||full_5---4184---5263----1---ID=102_5;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.317",1080
"NODE_493_length_15342_cov_9.469353||full_2---435---1145----1---ID=112_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.617",711
"NODE_404_length_16690_cov_15.497445||full_24---12175---13503----1---ID=135_24;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.640",1329
"NODE_10796_length_2767_cov_3.254425||full_3---563---1579----1---ID=137_3;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.370",1017
"NODE_1365_length_9402_cov_16.505082||full_4---3290---4351----1---ID=149_4;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=15bp;gc_cont=0.363",1062
"NODE_249_length_20316_cov_29.148364||full_5---2431---3141----1---ID=152_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.644",711
"NODE_3097_length_5164_cov_5.116265||full_2---372---1733----1---ID=8_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.433",1362
"NODE_11968_length_1740_cov_3.502671||full_4---754---1662----1---ID=66_4;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.567",909
"NODE_5345_length_3310_cov_5.625499||full_4---1209---2531----1---ID=70_4;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.451",1323
"NODE_7636_length_2488_cov_5.602548||full_3---597---992---1---ID=77_3;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=9bp;gc_cont=0.470",396
"NODE_1036_length_10754_cov_13.608001||full_19---8728---9735---1---ID=108_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.326",1008
"NODE_1828_length_7399_cov_8.836057||full_1---1---477---1---ID=112_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.535",477
"NODE_11298_length_1813_cov_5.133675||full_2---1013---1333---1---ID=118_2;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.564",321
