"Contig_number","Sample_id","IMG_name","Source","Viruse_type","Bacteria_Host","Virulent","Temperate","Phacts_result","Probability","Standard_deviation","GD","Diet","Group","num_seqs","bac_result","Mapped.Reads.Number","Contig_Abundance","Bacteria_Host_G","Contig_number2","Contig_name2"
"NODE_10010_length_1548_cov_5.220362||full","L1HGH010562","IMGVR_UViG_3300010163_000154|3300010163|Ga0136175_10006554","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;",NA,NA,"Lytic",0.506293706293706,0.0146876930665248,"D10","CON","CON_D10",3496439,NA,90,25.7404748087983,"Ligilactobacillus","NODE_10010_length_1548_cov_5.2","NODE_10010_length_1548_cov_5.2"
"NODE_10030_length_1827_cov_6.009029||full","L1EHE1100158","IMGVR_UViG_3300006146_000205|3300006146|Ga0080709_1000196|131-33479","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;",NA,NA,"Temperate",0.502297702297702,0.0254688442471072,"D18","HFD","HFD_D18",5825360,NA,113,19.3979427880852,"Bacteroides","NODE_10030_length_1827_cov_6.0","NODE_10030_length_1827_cov_6.0"
"NODE_10032_length_2847_cov_5.877149||full","L1EHE1100148","IMGVR_UViG_2657244987_000003|2657244987|2657254159|128774-152217",";;;","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C sp000765665",NA,NA,"Lytic",0.505794205794206,0.0254933232637177,"D10","HFD","HFD_D10",4836085,NA,171,35.3591799978702,"Helicobacter_C","NODE_10032_length_2847_cov_5.8","NODE_10032_length_2847_cov_5.8"
"NODE_10060_length_1990_cov_5.322481||full","L1EGH020933","IMGVR_UViG_3300019370_000023|3300019370|Ga0196862_111906","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;",0.888055613490727,0.111944386509273,"Lytic",0.502797202797203,0.0169067453427852,"D0","FUC","FUC_D0",11806630,"Lytic",115,9.74028998960753,"Muribaculum","NODE_10060_length_1990_cov_5.3","NODE_10060_length_1990_cov_5.3"
"NODE_10067_length_1151_cov_3.934307||full","L1HGH010567","IMGVR_UViG_2517572003_000001|2517572003|2517572443|7594-53773","Host-associated;Mammals;Digestive system;Unclassified","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus",NA,NA,"Temperate",0.503696303696304,0.0168993649980344,"D14","CON","CON_D14",9815966,NA,45,4.58436795726473,"Ligilactobacillus","NODE_10067_length_1151_cov_3.9","NODE_10067_length_1151_cov_3.9"
"NODE_1007_length_6206_cov_8.604129||full","L1EGH020943","IMGVR_UViG_2547132079_000009|2547132079|2547141796|33499-67107","Host-associated;Human;Unclassified;Unclassified","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides zhangwenhongi",NA,NA,"Temperate",0.506293706293706,0.00994796346413954,"D14","FUC","FUC_D14",3632789,NA,558,153.60099361675,"Bacteroides","NODE_1007_length_6206_cov_8.60","NODE_1007_length_6206_cov_8.60"
"NODE_10070_length_1064_cov_3.745292||lt2gene","L1EHE1100159","IMGVR_UViG_3300019370_000023|3300019370|Ga0196862_111906","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;",NA,NA,"Lytic",0.513486513486513,0.0154893486060454,"D18","HFD","HFD_D18",7183523,NA,55,7.65641037134565,"Muribaculum","NODE_10070_length_1064_cov_3.7","NODE_10070_length_1064_cov_3.7"
"NODE_10072_length_2120_cov_3.366586||full","L1EGH020947","IMGVR_UViG_3300029058_000021|3300029058|Ga0169611_100655","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",NA,NA,"Lytic",0.5004995004995,0.0163238108275407,"D18","FUC","FUC_D18",6254490,NA,73,11.6716151117038,"Parabacteroides","NODE_10072_length_2120_cov_3.3","NODE_10072_length_2120_cov_3.3"
"NODE_10130_length_1646_cov_2.494657||full","L1HGH010564","IMGVR_UViG_2895274309_000007|2895274309|2895274455|41243-54702","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella freteri",NA,NA,"Temperate",0.5003996003996,0.0185634171016697,"D10","CON","CON_D10",13862529,NA,42,3.02975019926018,"Duncaniella","NODE_10130_length_1646_cov_2.4","NODE_10130_length_1646_cov_2.4"
"NODE_10143_length_1241_cov_3.397133||full","L1EHE1100154","IMGVR_UViG_3300045988_029775|3300045988|Ga0495776_012039","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",NA,NA,"Lytic",0.503296703296703,0.0161813493266745,"D14","HFD","HFD_D14",10257673,NA,44,4.28947189094447,"Parabacteroides","NODE_10143_length_1241_cov_3.3","NODE_10143_length_1241_cov_3.3"
"NODE_10155_length_2066_cov_27.546494||full","L1EHE1100160","IMGVR_UViG_3300019370_000023|3300019370|Ga0196862_111906","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;",NA,NA,"Lytic",0.5004995004995,0.0120129610513945,"D18","HFD","HFD_D18",5476939,NA,626,114.297420511713,"Muribaculum","NODE_10155_length_2066_cov_27.","NODE_10155_length_2066_cov_27."
"NODE_10163_length_2065_cov_5.874129||full","L1EHE1100160","IMGVR_UViG_2895274309_000007|2895274309|2895274455|41243-54702","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella freteri",NA,NA,"Lytic",0.506993006993007,0.0180830219167327,"D18","HFD","HFD_D18",5476939,NA,128,23.3707185710851,"Duncaniella","NODE_10163_length_2065_cov_5.8","NODE_10163_length_2065_cov_5.8"
"NODE_10164_length_3219_cov_10.437105||full","L1HGH010561","IMGVR_UViG_2899584989_000006|2899584989|2899585037|2-64449","Host-associated;Mammals;Unclassified;Unclassified","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis",NA,NA,"Lytic",0.505694305694306,0.0112741146690636,"D0","CON","CON_D0",5555870,NA,340,61.1965362760468,"Parabacteroides","NODE_10164_length_3219_cov_10.","NODE_10164_length_3219_cov_10."
"NODE_1021_length_8385_cov_11.425450||full","L1EGH020938","IMGVR_UViG_2547132079_000009|2547132079|2547141796|33499-67107","Host-associated;Human;Unclassified;Unclassified","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides zhangwenhongi",0.811878201654615,0.188121798345387,"Temperate",0.504895104895105,0.0180937807770924,"D10","FUC","FUC_D10",3904971,"Lytic",1013,259.412938021819,"Bacteroides","NODE_1021_length_8385_cov_11.4","NODE_1021_length_8385_cov_11.4"
"NODE_10252_length_1434_cov_2.715011||lt2gene","L1HGH010569","IMGVR_UViG_3300045988_005380|3300045988|Ga0495776_116368","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;",NA,NA,"Lytic",0.508091908091908,0.0151123461317488,"D14","CON","CON_D14",7575629,NA,39,5.1480873733389,"Prevotella","NODE_10252_length_1434_cov_2.7","NODE_10252_length_1434_cov_2.7"
"NODE_10261_length_2052_cov_5.344016||full","L1EHE1100160","IMGVR_UViG_2895274309_000011|2895274309|2895274499|12190-30966","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella freteri",NA,NA,"Lytic",0.502197802197802,0.0194179172910136,"D18","HFD","HFD_D18",5476939,NA,118,21.544881182719,"Duncaniella","NODE_10261_length_2052_cov_5.3","NODE_10261_length_2052_cov_5.3"
"NODE_10275_length_2793_cov_5.481738||full","L1EHE1100148","IMGVR_UViG_2791355303_000001|2791355303|2791389248","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C japonicus",NA,NA,"Lytic",0.501498501498502,0.0194792386679023,"D10","HFD","HFD_D10",4836085,NA,184,38.0473047930299,"Helicobacter_C","NODE_10275_length_2793_cov_5.4","NODE_10275_length_2793_cov_5.4"
"NODE_10277_length_1072_cov_4.213373||full","L1HGH010560","IMGVR_UViG_2517572003_000001|2517572003|2517572443|7594-53773","Host-associated;Mammals;Digestive system;Unclassified","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus",NA,NA,"Lytic",0.504095904095904,0.00780500498886097,"D0","CON","CON_D0",5077775,NA,44,8.66521261773119,"Ligilactobacillus","NODE_10277_length_1072_cov_4.2","NODE_10277_length_1072_cov_4.2"
"NODE_10326_length_2264_cov_21.991399||full","L1HGH010566","IMGVR_UViG_3300035327_000060|3300035327|Ga0247207_000589","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;",NA,NA,"Temperate",0.503096903096903,0.0223347670129584,"D10","CON","CON_D10",14405965,NA,540,37.4844725778523,"Muribaculum","NODE_10326_length_2264_cov_21.","NODE_10326_length_2264_cov_21."
"NODE_10333_length_2230_cov_284.262989||full","L1HGH010568","IMGVR_UViG_2744054991_000001|2744054991|2744110511|1356136-1400944","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum;s__Faecalibaculum rodentium",NA,NA,"Lytic",0.504095904095904,0.0180108548886904,"D14","CON","CON_D14",4271223,NA,6495,1520.64174593553,"Faecalibaculum","NODE_10333_length_2230_cov_284","NODE_10333_length_2230_cov_284"
"NODE_10337_length_2288_cov_2.751455||lt2gene","L1EGH020934","IMGVR_UViG_2657244987_000003|2657244987|2657254159|128774-152217",";;;","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_C;s__Helicobacter_C sp000765665",0.811878201654615,0.188121798345387,"Lytic",0.508891108891109,0.0174593824375253,"D0","FUC","FUC_D0",9033759,"Lytic",70,7.74871235772396,"Helicobacter_C","NODE_10337_length_2288_cov_2.7","NODE_10337_length_2288_cov_2.7"
"NODE_10354_length_1066_cov_3.851632||full","L1HGH010560","IMGVR_UViG_2517572003_000001|2517572003|2517572443|7594-53773","Host-associated;Mammals;Digestive system;Unclassified","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus",NA,NA,"Temperate",0.505394605394605,0.0188037890185625,"D0","CON","CON_D0",5077775,NA,33,6.49890946329839,"Ligilactobacillus","NODE_10354_length_1066_cov_3.8","NODE_10354_length_1066_cov_3.8"
"NODE_10357_length_1223_cov_2.206336||full","L1HGH010571","IMGVR_UViG_2895274309_000008|2895274309|2895274456|65928-123515","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella freteri",NA,NA,"Lytic",0.508991008991009,0.0206687005503475,"D14","CON","CON_D14",2848358,NA,31,10.8834633848695,"Duncaniella","NODE_10357_length_1223_cov_2.2","NODE_10357_length_1223_cov_2.2"
"NODE_10360_length_1908_cov_5.784674||full","L1EGH020938","IMGVR_UViG_3300006204_000023|3300006204|Ga0081182_1000087","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;",0.811878201654615,0.188121798345387,"Temperate",0.503596403596404,0.0297744199157813,"D10","FUC","FUC_D10",3904971,"Lytic",112,28.6813909757588,"Muribaculum","NODE_10360_length_1908_cov_5.7","NODE_10360_length_1908_cov_5.7"
"NODE_10394_length_1278_cov_4.584628||full","L1EHE1100155","IMGVR_UViG_3300005461_000336|3300005461|Ga0073906_1014774","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;",NA,NA,"Lytic",0.502897102897103,0.0275485280601712,"D14","HFD","HFD_D14",8300758,NA,57,6.86684276303441,"Bacteroides","NODE_10394_length_1278_cov_4.5","NODE_10394_length_1278_cov_4.5"
"NODE_10398_length_3086_cov_3.484329||full","L1EHE1100147","IMGVR_UViG_3300045988_031372|3300045988|Ga0495776_118390","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",NA,NA,"Temperate",0.501898101898102,0.0185136206331435,"D0","HFD","HFD_D0",8310904,NA,121,14.5591863412211,"Parabacteroides","NODE_10398_length_3086_cov_3.4","NODE_10398_length_3086_cov_3.4"
"NODE_10400_length_2153_cov_4.000953||full","L1HGH010576","IMGVR_UViG_2895274309_000007|2895274309|2895274455|41243-54702","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella freteri",NA,NA,"Temperate",0.508491508491508,0.0238424517725096,"D18","CON","CON_D18",1348974,NA,83,61.5282429461205,"Duncaniella","NODE_10400_length_2153_cov_4.0","NODE_10400_length_2153_cov_4.0"
"NODE_10403_length_1277_cov_4.989362||full","L1EHE1100155","IMGVR_UViG_3300035327_000060|3300035327|Ga0247207_000589","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;",NA,NA,"Temperate",0.504995004995005,0.0181491291480183,"D14","HFD","HFD_D14",8300758,NA,63,7.58966831703803,"Muribaculum","NODE_10403_length_1277_cov_4.9","NODE_10403_length_1277_cov_4.9"
"NODE_10406_length_1777_cov_4.327526||full","L1EHE1100158","IMGVR_UViG_2899584989_000005|2899584989|2899585014|130930-163187","Host-associated;Mammals;Unclassified;Unclassified","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis",NA,NA,"Temperate",0.502497502497502,0.0150779667889917,"D18","HFD","HFD_D18",5825360,NA,79,13.5613936306082,"Parabacteroides","NODE_10406_length_1777_cov_4.3","NODE_10406_length_1777_cov_4.3"
"NODE_1043_length_13642_cov_8.293663||full","L1EHE1100148","IMGVR_UViG_3300045988_156927|3300045988|Ga0495776_040651","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;",NA,NA,"Temperate",0.504095904095904,0.0305544092167221,"D10","HFD","HFD_D10",4836085,NA,1183,244.619356359535,"Romboutsia","NODE_1043_length_13642_cov_8.2","NODE_1043_length_13642_cov_8.2"
"NODE_10441_length_1926_cov_3.377338||full","L1EGH020933","IMGVR_UViG_2895274309_000007|2895274309|2895274455|41243-54702","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella freteri",0.811878201654615,0.188121798345387,"Lytic",0.504995004995005,0.0235020160441389,"D0","FUC","FUC_D0",11806630,"Lytic",66,5.5900794722965,"Duncaniella","NODE_10441_length_1926_cov_3.3","NODE_10441_length_1926_cov_3.3"
"NODE_10443_length_1896_cov_3.853341||full","L1EGH020938","IMGVR_UViG_3300045988_061860|3300045988|Ga0495776_080960","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",0.811878201654615,0.188121798345387,"Lytic",0.501498501498502,0.0186146888293341,"D10","FUC","FUC_D10",3904971,"Lytic",78,19.9745401438321,"Parabacteroides","NODE_10443_length_1896_cov_3.8","NODE_10443_length_1896_cov_3.8"
"NODE_10450_length_1644_cov_2.899937||full","L1EHE1100153","IMGVR_UViG_3300045988_087342|3300045988|Ga0495776_069611","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;",NA,NA,"Temperate",0.507792207792208,0.0142899052835413,"D10","HFD","HFD_D10",11193366,NA,48,4.28825431063364,"Ligilactobacillus","NODE_10450_length_1644_cov_2.8","NODE_10450_length_1644_cov_2.8"
"NODE_10453_length_1806_cov_5.294118||full","L1HGH010565","IMGVR_UViG_2837262407_000002|2837262407|2837262407|2064302-2149693","Host-associated;Mammals;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella muris",NA,NA,"Lytic",0.502197802197802,0.0216902879728858,"D10","CON","CON_D10",12598477,NA,144,11.429953001462,"Duncaniella","NODE_10453_length_1806_cov_5.2","NODE_10453_length_1806_cov_5.2"
