"AMG.KO","metabolism","Sample_id","protein","scaffold","AMG.KO.name","Pfam","Pfam.name","scaffold2","GD","Diet","Group","num_seqs"
"K00059","Metabolism of cofactors and vitamins","L1EHE1100150","NODE_10736_length_1857_cov_6.669811||full_3","NODE_10736_length_1857_cov_6.669811||full","fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]","","","NODE_10736_length_1857_cov_6.6","D10","HFD","HFD_D10",2197362
"K00059","Metabolism of cofactors and vitamins","L1EHE1100158","NODE_1_length_78193_cov_8.019082||full_80","NODE_1_length_78193_cov_8.019082||full","fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]","PF13561.6","Enoyl-(Acyl carrier protein) reductase","NODE_1_length_78193_cov_8.0190","D18","HFD","HFD_D18",5825360
"K00059","Biosynthesis of other secondary metabolites","L1HGH010570","NODE_26_length_44794_cov_10.668768||full_58","NODE_26_length_44794_cov_10.668768||full","fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]","PF13561.6","Enoyl-(Acyl carrier protein) reductase","NODE_26_length_44794_cov_10.66","D14","CON","CON_D14",5615729
"K00059","Biosynthesis of other secondary metabolites","L1EGH020933","NODE_11298_length_1813_cov_5.133675||full_2","NODE_11298_length_1813_cov_5.133675||full","fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]","","","NODE_11298_length_1813_cov_5.1","D0","FUC","FUC_D0",11806630
"K00059","Biosynthesis of other secondary metabolites","L1EHE1100150","NODE_10736_length_1857_cov_6.669811||full_3","NODE_10736_length_1857_cov_6.669811||full","fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]","","","NODE_10736_length_1857_cov_6.6","D10","HFD","HFD_D10",2197362
"K00059","Biosynthesis of other secondary metabolites","L1EHE1100158","NODE_1_length_78193_cov_8.019082||full_80","NODE_1_length_78193_cov_8.019082||full","fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]","PF13561.6","Enoyl-(Acyl carrier protein) reductase","NODE_1_length_78193_cov_8.0190","D18","HFD","HFD_D18",5825360
"K00059","Lipid metabolism","L1HGH010570","NODE_26_length_44794_cov_10.668768||full_58","NODE_26_length_44794_cov_10.668768||full","fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]","PF13561.6","Enoyl-(Acyl carrier protein) reductase","NODE_26_length_44794_cov_10.66","D14","CON","CON_D14",5615729
"K00059","Lipid metabolism","L1EGH020933","NODE_11298_length_1813_cov_5.133675||full_2","NODE_11298_length_1813_cov_5.133675||full","fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]","","","NODE_11298_length_1813_cov_5.1","D0","FUC","FUC_D0",11806630
"K00059","Lipid metabolism","L1EHE1100150","NODE_10736_length_1857_cov_6.669811||full_3","NODE_10736_length_1857_cov_6.669811||full","fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]","","","NODE_10736_length_1857_cov_6.6","D10","HFD","HFD_D10",2197362
"K00059","Lipid metabolism","L1EHE1100158","NODE_1_length_78193_cov_8.019082||full_80","NODE_1_length_78193_cov_8.019082||full","fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]","PF13561.6","Enoyl-(Acyl carrier protein) reductase","NODE_1_length_78193_cov_8.0190","D18","HFD","HFD_D18",5825360
"K00067","Biosynthesis of other secondary metabolites","L1EGH020935","NODE_1511_length_7814_cov_4.039309||full_6","NODE_1511_length_7814_cov_4.039309||full","rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]","PF04321.17","RmlD substrate binding domain","NODE_1511_length_7814_cov_4.03","D0","FUC","FUC_D0",6954542
"K00067","Biosynthesis of other secondary metabolites","L1EGH020944","NODE_658_length_16388_cov_18.600441||full_2","NODE_658_length_16388_cov_18.600441||full","rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]","PF04321.17","RmlD substrate binding domain","NODE_658_length_16388_cov_18.6","D14","FUC","FUC_D14",8504684
"K00067","Biosynthesis of other secondary metabolites","L1HGH010576","NODE_12884_length_1834_cov_7.086003||full_2","NODE_12884_length_1834_cov_7.086003||full","rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]","PF04321.17","RmlD substrate binding domain","NODE_12884_length_1834_cov_7.0","D18","CON","CON_D18",1348974
"K00067","Metabolism of terpenoids and polyketides","L1EGH020935","NODE_1511_length_7814_cov_4.039309||full_6","NODE_1511_length_7814_cov_4.039309||full","rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]","PF04321.17","RmlD substrate binding domain","NODE_1511_length_7814_cov_4.03","D0","FUC","FUC_D0",6954542
"K00067","Metabolism of terpenoids and polyketides","L1EGH020944","NODE_658_length_16388_cov_18.600441||full_2","NODE_658_length_16388_cov_18.600441||full","rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]","PF04321.17","RmlD substrate binding domain","NODE_658_length_16388_cov_18.6","D14","FUC","FUC_D14",8504684
"K00067","Metabolism of terpenoids and polyketides","L1HGH010576","NODE_12884_length_1834_cov_7.086003||full_2","NODE_12884_length_1834_cov_7.086003||full","rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]","PF04321.17","RmlD substrate binding domain","NODE_12884_length_1834_cov_7.0","D18","CON","CON_D18",1348974
"K00145","Amino acid metabolism","L1EHE1100156","NODE_7944_length_2670_cov_7.694455||full_5","NODE_7944_length_2670_cov_7.694455||full","argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]","","","NODE_7944_length_2670_cov_7.69","D14","HFD","HFD_D14",3688255
"K00145","Amino acid metabolism","L1HGH010570","NODE_7863_length_2524_cov_3.330498||full_1","NODE_7863_length_2524_cov_3.330498||full","argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]","","","NODE_7863_length_2524_cov_3.33","D14","CON","CON_D14",5615729
"K00176","Energy metabolism","L1EGH020944","NODE_6526_length_3034_cov_7.215173||full_5","NODE_6526_length_3034_cov_7.215173||full","korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]","","","NODE_6526_length_3034_cov_7.21","D14","FUC","FUC_D14",8504684
"K00176","Carbohydrate metabolism","L1EGH020944","NODE_6526_length_3034_cov_7.215173||full_5","NODE_6526_length_3034_cov_7.215173||full","korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]","","","NODE_6526_length_3034_cov_7.21","D14","FUC","FUC_D14",8504684
"K00262","Amino acid metabolism","L1EHE1100145","NODE_12738_length_1279_cov_3.215686||full_1","NODE_12738_length_1279_cov_3.215686||full","E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]","","","NODE_12738_length_1279_cov_3.2","D0","HFD","HFD_D0",12059949
"K00262","Amino acid metabolism","L1HGH010565","NODE_7345_length_2362_cov_2.388817||full_1","NODE_7345_length_2362_cov_2.388817||full","E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]","","","NODE_7345_length_2362_cov_2.38","D10","CON","CON_D10",12598477
"K00262","Energy metabolism","L1EHE1100145","NODE_12738_length_1279_cov_3.215686||full_1","NODE_12738_length_1279_cov_3.215686||full","E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]","","","NODE_12738_length_1279_cov_3.2","D0","HFD","HFD_D0",12059949
"K00262","Energy metabolism","L1HGH010565","NODE_7345_length_2362_cov_2.388817||full_1","NODE_7345_length_2362_cov_2.388817||full","E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]","","","NODE_7345_length_2362_cov_2.38","D10","CON","CON_D10",12598477
"K00286","Amino acid metabolism","L1EGH020945","NODE_3979_length_2972_cov_4.086047||full_4","NODE_3979_length_2972_cov_4.086047||full","proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]","PF14748.6","Pyrroline-5-carboxylate reductase dimerisation","NODE_3979_length_2972_cov_4.08","D14","FUC","FUC_D14",8434433
"K00287","Metabolism of cofactors and vitamins","L1EGH020932","NODE_11894_length_2590_cov_11.801578||full_3","NODE_11894_length_2590_cov_11.801578||full","DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]","PF00186.19","Dihydrofolate reductase","NODE_11894_length_2590_cov_11.","D0","FUC","FUC_D0",5671704
"K00287","Metabolism of cofactors and vitamins","L1EHE1100145","NODE_10162_length_1451_cov_2.181948||full_1","NODE_10162_length_1451_cov_2.181948||full","DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]","PF00186.19","Dihydrofolate reductase","NODE_10162_length_1451_cov_2.1","D0","HFD","HFD_D0",12059949
"K00287","Metabolism of cofactors and vitamins","L1EHE1100144","NODE_610_length_11070_cov_6.317930||full_17","NODE_610_length_11070_cov_6.317930||full","DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]","PF00186.19","Dihydrofolate reductase","NODE_610_length_11070_cov_6.31","D0","HFD","HFD_D0",7682661
"K00287","Metabolism of cofactors and vitamins","L1EGH020941","NODE_11739_length_2673_cov_4.872422||full_2","NODE_11739_length_2673_cov_4.872422||full","DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]","PF00186.19","Dihydrofolate reductase","NODE_11739_length_2673_cov_4.8","D10","FUC","FUC_D10",6503397
"K00390","Energy metabolism","L1EHE1100153","NODE_311_length_11872_cov_7.835491||full_8","NODE_311_length_11872_cov_7.835491||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_311_length_11872_cov_7.83","D10","HFD","HFD_D10",11193366
"K00390","Energy metabolism","L1EGH020943","NODE_4520_length_2169_cov_2.175024||full_2","NODE_4520_length_2169_cov_2.175024||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_4520_length_2169_cov_2.17","D14","FUC","FUC_D14",3632789
"K00390","Energy metabolism","L1EGH020941","NODE_3646_length_6190_cov_23.187449||full_2","NODE_3646_length_6190_cov_23.187449||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_3646_length_6190_cov_23.1","D10","FUC","FUC_D10",6503397
"K00390","Energy metabolism","L1EGH020932","NODE_6205_length_3958_cov_12.478862||full_2","NODE_6205_length_3958_cov_12.478862||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_6205_length_3958_cov_12.4","D0","FUC","FUC_D0",5671704
"K00390","Energy metabolism","L1EGH020935","NODE_3185_length_4912_cov_15.332304||full_1","NODE_3185_length_4912_cov_15.332304||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_3185_length_4912_cov_15.3","D0","FUC","FUC_D0",6954542
"K00390","Energy metabolism","L1EGH020935","NODE_3625_length_4490_cov_7.573168||full_12","NODE_3625_length_4490_cov_7.573168||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","","","NODE_3625_length_4490_cov_7.57","D0","FUC","FUC_D0",6954542
"K00390","Energy metabolism","L1EGH020946","NODE_9_length_57869_cov_8.415245||full_36","NODE_9_length_57869_cov_8.415245||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","","","NODE_9_length_57869_cov_8.4152","D14","FUC","FUC_D14",7525830
"K00390","Energy metabolism","L1EHE1100148","NODE_8206_length_3337_cov_6.662706||full_1","NODE_8206_length_3337_cov_6.662706||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","","","NODE_8206_length_3337_cov_6.66","D10","HFD","HFD_D10",4836085
"K00390","Energy metabolism","L1EHE1100148","NODE_13993_length_2195_cov_3.267290||full_6","NODE_13993_length_2195_cov_3.267290||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_13993_length_2195_cov_3.2","D10","HFD","HFD_D10",4836085
"K00390","Energy metabolism","L1EGH020938","NODE_9_length_43689_cov_15.906403||full_37","NODE_9_length_43689_cov_15.906403||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_9_length_43689_cov_15.906","D10","FUC","FUC_D10",3904971
"K00390","Energy metabolism","L1EGH020933","NODE_15601_length_1418_cov_1.725605||full_2","NODE_15601_length_1418_cov_1.725605||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_15601_length_1418_cov_1.7","D0","FUC","FUC_D0",11806630
"K00390","Energy metabolism","L1EGH020941","NODE_11782_length_2667_cov_14.590735||full_3","NODE_11782_length_2667_cov_14.590735||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","","","NODE_11782_length_2667_cov_14.","D10","FUC","FUC_D10",6503397
"K00390","Energy metabolism","L1EGH020934","NODE_6_length_57844_cov_9.178287||full_41","NODE_6_length_57844_cov_9.178287||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","","","NODE_6_length_57844_cov_9.1782","D0","FUC","FUC_D0",9033759
"K00390","Energy metabolism","L1HGH010566","NODE_2476_length_6068_cov_9.137535||full_9","NODE_2476_length_6068_cov_9.137535||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_2476_length_6068_cov_9.13","D10","CON","CON_D10",14405965
"K00390","Energy metabolism","L1EHE1100148","NODE_3330_length_6732_cov_7.046728||full_3","NODE_3330_length_6732_cov_7.046728||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_3330_length_6732_cov_7.04","D10","HFD","HFD_D10",4836085
"K00390","Energy metabolism","L1EGH020944","NODE_363_length_21146_cov_9.986819||full_24","NODE_363_length_21146_cov_9.986819||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_363_length_21146_cov_9.98","D14","FUC","FUC_D14",8504684
"K00390","Energy metabolism","L1EGH020935","NODE_1408_length_8093_cov_3.855063||full_6","NODE_1408_length_8093_cov_3.855063||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_1408_length_8093_cov_3.85","D0","FUC","FUC_D0",6954542
"K00390","Energy metabolism","L1HGH010565","NODE_13895_length_1458_cov_3.393443||full_1","NODE_13895_length_1458_cov_3.393443||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","","","NODE_13895_length_1458_cov_3.3","D10","CON","CON_D10",12598477
"K00390","Energy metabolism","L1HGH010572","NODE_8839_length_1961_cov_2.894019||full_2","NODE_8839_length_1961_cov_2.894019||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_8839_length_1961_cov_2.89","D18","CON","CON_D18",2905693
"K00390","Energy metabolism","L1HGH010566","NODE_244_length_19472_cov_16.863573||full_11","NODE_244_length_19472_cov_16.863573||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_244_length_19472_cov_16.8","D10","CON","CON_D10",14405965
"K00390","Energy metabolism","L1EHE1100144","NODE_2597_length_4848_cov_4.850407||full_4","NODE_2597_length_4848_cov_4.850407||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_2597_length_4848_cov_4.85","D0","HFD","HFD_D0",7682661
"K00390","Energy metabolism","L1EHE1100144","NODE_13217_length_1864_cov_4.113322||full_4","NODE_13217_length_1864_cov_4.113322||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_13217_length_1864_cov_4.1","D0","HFD","HFD_D0",7682661
"K00390","Energy metabolism","L1EGH020946","NODE_7238_length_2806_cov_2.353326||full_1","NODE_7238_length_2806_cov_2.353326||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","","","NODE_7238_length_2806_cov_2.35","D14","FUC","FUC_D14",7525830
"K00390","Energy metabolism","L1EGH020942","NODE_1901_length_7516_cov_10.026538||full_7","NODE_1901_length_7516_cov_10.026538||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_1901_length_7516_cov_10.0","D14","FUC","FUC_D14",6297602
"K00390","Energy metabolism","L1EGH020941","NODE_306_length_22155_cov_19.038326||full_2","NODE_306_length_22155_cov_19.038326||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_306_length_22155_cov_19.0","D10","FUC","FUC_D10",6503397
"K00390","Energy metabolism","L1EGH020941","NODE_19462_length_1807_cov_8.410388||full_3","NODE_19462_length_1807_cov_8.410388||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_19462_length_1807_cov_8.4","D10","FUC","FUC_D10",6503397
"K00390","Energy metabolism","L1EHE1100147","NODE_21182_length_1724_cov_2.816657||full_2","NODE_21182_length_1724_cov_2.816657||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_21182_length_1724_cov_2.8","D0","HFD","HFD_D0",8310904
"K00390","Energy metabolism","L1EGH020936","NODE_4824_length_2318_cov_3.423774||full_4","NODE_4824_length_2318_cov_3.423774||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_4824_length_2318_cov_3.42","D0","FUC","FUC_D0",8561108
"K00390","Energy metabolism","L1EGH020941","NODE_147_length_29496_cov_7.126049||full_6","NODE_147_length_29496_cov_7.126049||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","","","NODE_147_length_29496_cov_7.12","D10","FUC","FUC_D10",6503397
"K00390","Energy metabolism","L1HGH010559","NODE_8313_length_3349_cov_10.688828||full_2","NODE_8313_length_3349_cov_10.688828||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","","","NODE_8313_length_3349_cov_10.6","D0","CON","CON_D0",1732889
"K00390","Energy metabolism","L1EGH020935","NODE_8949_length_2435_cov_3.126891||full_2","NODE_8949_length_2435_cov_3.126891||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_8949_length_2435_cov_3.12","D0","FUC","FUC_D0",6954542
"K00390","Energy metabolism","L1EHE1100153","NODE_845_length_6439_cov_7.190476||full_8","NODE_845_length_6439_cov_7.190476||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","","","NODE_845_length_6439_cov_7.190","D10","HFD","HFD_D10",11193366
"K00390","Energy metabolism","L1EGH020947","NODE_79_length_28381_cov_51.472605||full_31","NODE_79_length_28381_cov_51.472605||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_79_length_28381_cov_51.47","D18","FUC","FUC_D18",6254490
"K00390","Energy metabolism","L1EGH020933","NODE_6500_length_2834_cov_3.369557||full_1","NODE_6500_length_2834_cov_3.369557||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","","","NODE_6500_length_2834_cov_3.36","D0","FUC","FUC_D0",11806630
"K00390","Energy metabolism","L1EGH020942","NODE_11502_length_2256_cov_6.361199||full_5","NODE_11502_length_2256_cov_6.361199||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_11502_length_2256_cov_6.3","D14","FUC","FUC_D14",6297602
"K00390","Energy metabolism","L1EHE1100147","NODE_5274_length_5102_cov_14.351892||full_1","NODE_5274_length_5102_cov_14.351892||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_5274_length_5102_cov_14.3","D0","HFD","HFD_D0",8310904
"K00390","Energy metabolism","L1EHE1100147","NODE_9811_length_3215_cov_4.957911||full_4","NODE_9811_length_3215_cov_4.957911||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_9811_length_3215_cov_4.95","D0","HFD","HFD_D0",8310904
"K00390","Energy metabolism","L1EGH020932","NODE_8131_length_3340_cov_17.446880||full_2","NODE_8131_length_3340_cov_17.446880||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","","","NODE_8131_length_3340_cov_17.4","D0","FUC","FUC_D0",5671704
"K00390","Energy metabolism","L1EGH020942","NODE_4312_length_4420_cov_3.154181||full_9","NODE_4312_length_4420_cov_3.154181||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_4312_length_4420_cov_3.15","D14","FUC","FUC_D14",6297602
"K00390","Energy metabolism","L1EGH020950","NODE_998_length_3800_cov_4.193858||full_5","NODE_998_length_3800_cov_4.193858||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_998_length_3800_cov_4.193","D18","FUC","FUC_D18",10324923
"K00390","Energy metabolism","L1EGH020939","NODE_691_length_16007_cov_36.685118||full_fragment_1_9","NODE_691_length_16007_cov_36.685118||full_fragment_1","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_691_length_16007_cov_36.6","D10","FUC","FUC_D10",3309510
"K00390","Energy metabolism","L1HGH010576","NODE_2405_length_6380_cov_6.548775||full_6","NODE_2405_length_6380_cov_6.548775||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_2405_length_6380_cov_6.54","D18","CON","CON_D18",1348974
"K00390","Energy metabolism","L1EGH020932","NODE_129_length_25962_cov_26.851623||full_11","NODE_129_length_25962_cov_26.851623||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","PF01507.19","Phosphoadenosine phosphosulfate reductase family","NODE_129_length_25962_cov_26.8","D0","FUC","FUC_D0",5671704
"K00390","Energy metabolism","L1EHE1100148","NODE_1832_length_9717_cov_11.441730||full_7","NODE_1832_length_9717_cov_11.441730||full","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]","","","NODE_1832_length_9717_cov_11.4","D10","HFD","HFD_D10",4836085
