"KEGG.Entry","Metabolism","Pathway","Total.AMGs","Present.AMG.KOs","Sample_id"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",3,"K06167","L1EGH020932"
"map00460","Metabolism of other amino acids","Cyanoamino acid metabolism",1,"K01914","L1EGH020932"
"map00513","Glycan biosynthesis and metabolism","Various types of N-glycan biosynthesis",1,"K12373","L1EGH020932"
"map00531","Glycan biosynthesis and metabolism","Glycosaminoglycan degradation",1,"K12373","L1EGH020932"
"map00603","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series",1,"K12373","L1EGH020932"
"map00604","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - ganglio series",1,"K12373","L1EGH020932"
"map00540","Glycan biosynthesis and metabolism","Lipopolysaccharide biosynthesis",1,"K03272","L1EGH020932"
"map00511","Glycan biosynthesis and metabolism","Other glycan degradation",1,"K12373","L1EGH020932"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",2,"K04487","L1EGH020932"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",1,"K13522","L1EGH020932"
"map00770","Metabolism of cofactors and vitamins","Pantothenate and CoA biosynthesis",1,"K01652","L1EGH020932"
"map00780","Metabolism of cofactors and vitamins","Biotin metabolism",1,"K03524","L1EGH020932"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",2,"K00287,K06920","L1EGH020932"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",1,"K00287","L1EGH020932"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",3,"K09882,K22227","L1EGH020932"
"map00523","Metabolism of terpenoids and polyketides","Polyketide sugar unit biosynthesis",1,"K00973","L1EGH020932"
"map00521","Biosynthesis of other secondary metabolites","Streptomycin biosynthesis",1,"K00973","L1EGH020932"
"map00525","Biosynthesis of other secondary metabolites","Acarbose and validamycin biosynthesis",1,"K00973","L1EGH020932"
"map00625","Xenobiotics biodegradation and metabolism","Chloroalkane and chloroalkene degradation",1,"K04072","L1EGH020932"
"map00626","Xenobiotics biodegradation and metabolism","Naphthalene degradation",1,"K04072","L1EGH020932"
"map00983","Xenobiotics biodegradation and metabolism","Drug metabolism - other enzymes",2,"K01951","L1EGH020932"
"map04122","Folding, sorting and degradation","Sulfur relay system",3,"K04487,K21029","L1EGH020932"
"map00010","Carbohydrate metabolism","Glycolysis / Gluconeogenesis",2,"K01835,K15633","L1EGH020933"
"map00030","Carbohydrate metabolism","Pentose phosphate pathway",1,"K01835","L1EGH020933"
"map00040","Carbohydrate metabolism","Pentose and glucuronate interconversions",1,"K01195","L1EGH020933"
"map00052","Carbohydrate metabolism","Galactose metabolism",2,"K01784,K01835","L1EGH020933"
"map00500","Carbohydrate metabolism","Starch and sucrose metabolism",1,"K01835","L1EGH020933"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",3,"K01784,K01835,K12373","L1EGH020933"
"map00680","Energy metabolism","Methane metabolism",1,"K15633","L1EGH020933"
"map00920","Energy metabolism","Sulfur metabolism",16,"K00390,K00640","L1EGH020933"
"map00061","Lipid metabolism","Fatty acid biosynthesis",1,"K00059","L1EGH020933"
"map00230","Nucleotide metabolism","Purine metabolism",1,"K01835","L1EGH020933"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01953","L1EGH020933"
"map00260","Amino acid metabolism","Glycine, serine and threonine metabolism",1,"K15633","L1EGH020933"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",22,"K00558,K00640,K00789,K17398","L1EGH020933"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",1,"K06167","L1EGH020933"
"map00513","Glycan biosynthesis and metabolism","Various types of N-glycan biosynthesis",1,"K12373","L1EGH020933"
"map00531","Glycan biosynthesis and metabolism","Glycosaminoglycan degradation",2,"K01195,K12373","L1EGH020933"
"map00603","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series",1,"K12373","L1EGH020933"
"map00604","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - ganglio series",1,"K12373","L1EGH020933"
"map00540","Glycan biosynthesis and metabolism","Lipopolysaccharide biosynthesis",1,"K03272","L1EGH020933"
"map00511","Glycan biosynthesis and metabolism","Other glycan degradation",1,"K12373","L1EGH020933"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",1,"K04487","L1EGH020933"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",1,"K00952","L1EGH020933"
"map00780","Metabolism of cofactors and vitamins","Biotin metabolism",1,"K00059","L1EGH020933"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",3,"K01495,K03639","L1EGH020933"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",1,"K01195","L1EGH020933"
"map00944","Biosynthesis of other secondary metabolites","Flavone and flavonol biosynthesis",1,"K01195","L1EGH020933"
"map00521","Biosynthesis of other secondary metabolites","Streptomycin biosynthesis",1,"K01835","L1EGH020933"
"map00333","Biosynthesis of other secondary metabolites","Prodigiosin biosynthesis",1,"K00059","L1EGH020933"
"map00983","Xenobiotics biodegradation and metabolism","Drug metabolism - other enzymes",1,"K01195","L1EGH020933"
"map04122","Folding, sorting and degradation","Sulfur relay system",4,"K03639,K04487,K21029","L1EGH020933"
"map00010","Carbohydrate metabolism","Glycolysis / Gluconeogenesis",1,"K15633","L1EGH020934"
"map00500","Carbohydrate metabolism","Starch and sucrose metabolism",1,"K01208","L1EGH020934"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",2,"K00992,K12373","L1EGH020934"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",1,"K01491","L1EGH020934"
"map00680","Energy metabolism","Methane metabolism",1,"K15633","L1EGH020934"
"map00920","Energy metabolism","Sulfur metabolism",14,"K00390","L1EGH020934"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01953","L1EGH020934"
"map00260","Amino acid metabolism","Glycine, serine and threonine metabolism",1,"K15633","L1EGH020934"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",19,"K00558,K00789,K17398","L1EGH020934"
"map00513","Glycan biosynthesis and metabolism","Various types of N-glycan biosynthesis",1,"K12373","L1EGH020934"
"map00531","Glycan biosynthesis and metabolism","Glycosaminoglycan degradation",1,"K12373","L1EGH020934"
"map00603","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series",1,"K12373","L1EGH020934"
"map00604","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - ganglio series",1,"K12373","L1EGH020934"
"map00540","Glycan biosynthesis and metabolism","Lipopolysaccharide biosynthesis",1,"K06041","L1EGH020934"
"map00511","Glycan biosynthesis and metabolism","Other glycan degradation",1,"K12373","L1EGH020934"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",1,"K04487","L1EGH020934"
"map00740","Metabolism of cofactors and vitamins","Riboflavin metabolism",1,"K14654","L1EGH020934"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",2,"K01916,K08281","L1EGH020934"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",1,"K01491","L1EGH020934"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",1,"K22227","L1EGH020934"
"map00523","Metabolism of terpenoids and polyketides","Polyketide sugar unit biosynthesis",2,"K00973,K23144","L1EGH020934"
"map00521","Biosynthesis of other secondary metabolites","Streptomycin biosynthesis",2,"K00973,K23144","L1EGH020934"
"map00525","Biosynthesis of other secondary metabolites","Acarbose and validamycin biosynthesis",2,"K00973,K23144","L1EGH020934"
"map04122","Folding, sorting and degradation","Sulfur relay system",1,"K04487","L1EGH020934"
"map00010","Carbohydrate metabolism","Glycolysis / Gluconeogenesis",1,"K15633","L1EGH020935"
"map00052","Carbohydrate metabolism","Galactose metabolism",1,"K01854","L1EGH020935"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",3,"K00992,K01854,K12373","L1EGH020935"
"map00680","Energy metabolism","Methane metabolism",1,"K15633","L1EGH020935"
"map00920","Energy metabolism","Sulfur metabolism",17,"K00390","L1EGH020935"
"map00061","Lipid metabolism","Fatty acid biosynthesis",1,"K01897","L1EGH020935"
"map00071","Lipid metabolism","Fatty acid degradation",1,"K01897","L1EGH020935"
"map00230","Nucleotide metabolism","Purine metabolism",1,"K01939","L1EGH020935"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01939","L1EGH020935"
"map00260","Amino acid metabolism","Glycine, serine and threonine metabolism",1,"K15633","L1EGH020935"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",20,"K00558,K05396,K17398","L1EGH020935"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",1,"K06167","L1EGH020935"
"map00513","Glycan biosynthesis and metabolism","Various types of N-glycan biosynthesis",1,"K12373","L1EGH020935"
"map00531","Glycan biosynthesis and metabolism","Glycosaminoglycan degradation",1,"K12373","L1EGH020935"
"map00603","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series",1,"K12373","L1EGH020935"
"map00604","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - ganglio series",1,"K12373","L1EGH020935"
"map00540","Glycan biosynthesis and metabolism","Lipopolysaccharide biosynthesis",1,"K06041","L1EGH020935"
"map00511","Glycan biosynthesis and metabolism","Other glycan degradation",1,"K12373","L1EGH020935"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",1,"K04487","L1EGH020935"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",1,"K03639","L1EGH020935"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",1,"K09883","L1EGH020935"
"map00523","Metabolism of terpenoids and polyketides","Polyketide sugar unit biosynthesis",1,"K00067","L1EGH020935"
"map00521","Biosynthesis of other secondary metabolites","Streptomycin biosynthesis",1,"K00067","L1EGH020935"
"map04122","Folding, sorting and degradation","Sulfur relay system",2,"K03639,K04487","L1EGH020935"
"map00051","Carbohydrate metabolism","Fructose and mannose metabolism",1,"K01711","L1EGH020936"
"map00052","Carbohydrate metabolism","Galactose metabolism",1,"K01784","L1EGH020936"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",3,"K01711,K01784,K12373","L1EGH020936"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",1,"K01491","L1EGH020936"
"map00920","Energy metabolism","Sulfur metabolism",4,"K00390","L1EGH020936"
"map00564","Lipid metabolism","Glycerophospholipid metabolism",1,"K06132","L1EGH020936"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01953","L1EGH020936"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",8,"K00558,K17398","L1EGH020936"
"map00310","Amino acid metabolism","Lysine degradation",1,"K01582","L1EGH020936"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",1,"K06167","L1EGH020936"
"map00513","Glycan biosynthesis and metabolism","Various types of N-glycan biosynthesis",1,"K12373","L1EGH020936"
"map00531","Glycan biosynthesis and metabolism","Glycosaminoglycan degradation",1,"K12373","L1EGH020936"
"map00603","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series",1,"K12373","L1EGH020936"
"map00604","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - ganglio series",1,"K12373","L1EGH020936"
"map00511","Glycan biosynthesis and metabolism","Other glycan degradation",1,"K12373","L1EGH020936"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",2,"K04487","L1EGH020936"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",1,"K01491","L1EGH020936"
"map00523","Metabolism of terpenoids and polyketides","Polyketide sugar unit biosynthesis",1,"K00973","L1EGH020936"
"map00960","Biosynthesis of other secondary metabolites","Tropane, piperidine and pyridine alkaloid biosynthesis",1,"K01582","L1EGH020936"
"map00521","Biosynthesis of other secondary metabolites","Streptomycin biosynthesis",1,"K00973","L1EGH020936"
"map00525","Biosynthesis of other secondary metabolites","Acarbose and validamycin biosynthesis",1,"K00973","L1EGH020936"
"map04122","Folding, sorting and degradation","Sulfur relay system",2,"K04487","L1EGH020936"
"map00052","Carbohydrate metabolism","Galactose metabolism",1,"K01784","L1EGH020937"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",1,"K01784","L1EGH020937"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",2,"K01491","L1EGH020937"
"map00920","Energy metabolism","Sulfur metabolism",6,"K00390","L1EGH020937"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01953","L1EGH020937"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",12,"K00558,K00789,K17398","L1EGH020937"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",2,"K06167","L1EGH020937"
"map00572","Glycan biosynthesis and metabolism","Arabinogalactan biosynthesis - Mycobacterium",1,"K16870","L1EGH020937"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",2,"K04487","L1EGH020937"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",1,"K00952","L1EGH020937"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",4,"K01737,K03639,K09457,K10026","L1EGH020937"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",2,"K01491","L1EGH020937"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",1,"K09882","L1EGH020937"
"map04122","Folding, sorting and degradation","Sulfur relay system",5,"K03639,K04487,K21029","L1EGH020937"
"map00040","Carbohydrate metabolism","Pentose and glucuronate interconversions",1,"K01195","L1EGH020938"
"map00920","Energy metabolism","Sulfur metabolism",15,"K00390,K00640","L1EGH020938"
"map00230","Nucleotide metabolism","Purine metabolism",1,"K01939","L1EGH020938"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",2,"K01939,K01953","L1EGH020938"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",15,"K00558,K00640,K00789,K17398","L1EGH020938"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",2,"K06167","L1EGH020938"
"map00471","Metabolism of other amino acids","D-Glutamine and D-glutamate metabolism",1,"K01924","L1EGH020938"
"map00531","Glycan biosynthesis and metabolism","Glycosaminoglycan degradation",1,"K01195","L1EGH020938"
"map00550","Glycan biosynthesis and metabolism","Peptidoglycan biosynthesis",1,"K01924","L1EGH020938"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",1,"K04487","L1EGH020938"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",1,"K00952","L1EGH020938"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",8,"K01495,K01737,K03639,K06920,K09457,K10026","L1EGH020938"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",1,"K01195","L1EGH020938"
"map00944","Biosynthesis of other secondary metabolites","Flavone and flavonol biosynthesis",1,"K01195","L1EGH020938"
"map00998","Biosynthesis of other secondary metabolites","Biosynthesis of secondary metabolites - other antibiotics",1,"K02078","L1EGH020938"
"map00983","Xenobiotics biodegradation and metabolism","Drug metabolism - other enzymes",1,"K01195","L1EGH020938"
"map04122","Folding, sorting and degradation","Sulfur relay system",3,"K03639,K04487,K21029","L1EGH020938"
"map00052","Carbohydrate metabolism","Galactose metabolism",1,"K01854","L1EGH020939"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",2,"K01854,K12373","L1EGH020939"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",1,"K01491","L1EGH020939"
"map00920","Energy metabolism","Sulfur metabolism",28,"K00390","L1EGH020939"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",2,"K01953","L1EGH020939"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",39,"K00558,K05396,K17398","L1EGH020939"
"map00330","Amino acid metabolism","Arginine and proline metabolism",1,"K00931","L1EGH020939"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",2,"K06167","L1EGH020939"
"map00513","Glycan biosynthesis and metabolism","Various types of N-glycan biosynthesis",1,"K12373","L1EGH020939"
"map00531","Glycan biosynthesis and metabolism","Glycosaminoglycan degradation",1,"K12373","L1EGH020939"
"map00603","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series",1,"K12373","L1EGH020939"
"map00604","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - ganglio series",1,"K12373","L1EGH020939"
"map00540","Glycan biosynthesis and metabolism","Lipopolysaccharide biosynthesis",1,"K06041","L1EGH020939"
"map00511","Glycan biosynthesis and metabolism","Other glycan degradation",1,"K12373","L1EGH020939"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",2,"K04487","L1EGH020939"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",3,"K01916,K03462,K08281","L1EGH020939"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",4,"K01737,K06920,K10026","L1EGH020939"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",1,"K01491","L1EGH020939"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",3,"K09882,K22227","L1EGH020939"
"map00523","Metabolism of terpenoids and polyketides","Polyketide sugar unit biosynthesis",2,"K00973,K01710","L1EGH020939"
"map01055","Metabolism of terpenoids and polyketides","Biosynthesis of vancomycin group antibiotics",1,"K01710","L1EGH020939"
"map00332","Biosynthesis of other secondary metabolites","Carbapenem biosynthesis",1,"K00931","L1EGH020939"
"map00521","Biosynthesis of other secondary metabolites","Streptomycin biosynthesis",2,"K00973,K01710","L1EGH020939"
"map00525","Biosynthesis of other secondary metabolites","Acarbose and validamycin biosynthesis",2,"K00973,K01710","L1EGH020939"
"map04122","Folding, sorting and degradation","Sulfur relay system",2,"K04487","L1EGH020939"
"map00010","Carbohydrate metabolism","Glycolysis / Gluconeogenesis",1,"K15633","L1EGH020941"
"map00040","Carbohydrate metabolism","Pentose and glucuronate interconversions",1,"K01195","L1EGH020941"
"map00052","Carbohydrate metabolism","Galactose metabolism",2,"K01784","L1EGH020941"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",3,"K01784,K12373","L1EGH020941"
"map00630","Carbohydrate metabolism","Glyoxylate and dicarboxylate metabolism",1,"K03780","L1EGH020941"
"map00650","Carbohydrate metabolism","Butanoate metabolism",1,"K01652","L1EGH020941"
"map00660","Carbohydrate metabolism","C5-Branched dibasic acid metabolism",1,"K01652","L1EGH020941"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",2,"K01491","L1EGH020941"
"map00680","Energy metabolism","Methane metabolism",1,"K15633","L1EGH020941"
"map00920","Energy metabolism","Sulfur metabolism",27,"K00390","L1EGH020941"
"map00230","Nucleotide metabolism","Purine metabolism",2,"K01939,K01951","L1EGH020941"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",2,"K01939,K01953","L1EGH020941"
"map00260","Amino acid metabolism","Glycine, serine and threonine metabolism",1,"K15633","L1EGH020941"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",36,"K00558,K00789,K12960,K17398","L1EGH020941"
"map00290","Amino acid metabolism","Valine, leucine and isoleucine biosynthesis",1,"K01652","L1EGH020941"
"map00310","Amino acid metabolism","Lysine degradation",1,"K01582","L1EGH020941"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",2,"K06167","L1EGH020941"
"map00513","Glycan biosynthesis and metabolism","Various types of N-glycan biosynthesis",1,"K12373","L1EGH020941"
"map00531","Glycan biosynthesis and metabolism","Glycosaminoglycan degradation",2,"K01195,K12373","L1EGH020941"
"map00603","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - globo and isoglobo series",1,"K12373","L1EGH020941"
"map00604","Glycan biosynthesis and metabolism","Glycosphingolipid biosynthesis - ganglio series",1,"K12373","L1EGH020941"
"map00511","Glycan biosynthesis and metabolism","Other glycan degradation",1,"K12373","L1EGH020941"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",3,"K04487","L1EGH020941"
"map00770","Metabolism of cofactors and vitamins","Pantothenate and CoA biosynthesis",1,"K01652","L1EGH020941"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",2,"K00287,K03639","L1EGH020941"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",3,"K00287,K01491","L1EGH020941"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",4,"K01195,K09882,K22227","L1EGH020941"
"map00944","Biosynthesis of other secondary metabolites","Flavone and flavonol biosynthesis",1,"K01195","L1EGH020941"
"map00960","Biosynthesis of other secondary metabolites","Tropane, piperidine and pyridine alkaloid biosynthesis",1,"K01582","L1EGH020941"
"map00998","Biosynthesis of other secondary metabolites","Biosynthesis of secondary metabolites - other antibiotics",1,"K02078","L1EGH020941"
"map00362","Xenobiotics biodegradation and metabolism","Benzoate degradation",1,"K01055","L1EGH020941"
"map00983","Xenobiotics biodegradation and metabolism","Drug metabolism - other enzymes",2,"K01195,K01951","L1EGH020941"
"map04122","Folding, sorting and degradation","Sulfur relay system",4,"K03639,K04487","L1EGH020941"
"map00010","Carbohydrate metabolism","Glycolysis / Gluconeogenesis",1,"K01610","L1EGH020942"
"map00020","Carbohydrate metabolism","Citrate cycle (TCA cycle)",1,"K01610","L1EGH020942"
"map00620","Carbohydrate metabolism","Pyruvate metabolism",1,"K01610","L1EGH020942"
"map00630","Carbohydrate metabolism","Glyoxylate and dicarboxylate metabolism",1,"K00600","L1EGH020942"
"map00710","Energy metabolism","Carbon fixation in photosynthetic organisms",1,"K01610","L1EGH020942"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",1,"K01491","L1EGH020942"
"map00680","Energy metabolism","Methane metabolism",1,"K00600","L1EGH020942"
"map00920","Energy metabolism","Sulfur metabolism",22,"K00390,K00640","L1EGH020942"
"map00230","Nucleotide metabolism","Purine metabolism",1,"K01951","L1EGH020942"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",1,"K01953","L1EGH020942"
"map00260","Amino acid metabolism","Glycine, serine and threonine metabolism",1,"K00600","L1EGH020942"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",39,"K00558,K00640,K00789,K17398","L1EGH020942"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",2,"K06167","L1EGH020942"
"map00460","Metabolism of other amino acids","Cyanoamino acid metabolism",1,"K00600","L1EGH020942"
"map00510","Glycan biosynthesis and metabolism","N-Glycan biosynthesis",1,"K00737","L1EGH020942"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",3,"K04487","L1EGH020942"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",1,"K03639","L1EGH020942"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate",2,"K00600,K01491","L1EGH020942"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism",2,"K09882,K22227","L1EGH020942"
"map00900","Metabolism of terpenoids and polyketides","Terpenoid backbone biosynthesis",1,"K01770","L1EGH020942"
"map00998","Biosynthesis of other secondary metabolites","Biosynthesis of secondary metabolites - other antibiotics",1,"K02078","L1EGH020942"
"map00983","Xenobiotics biodegradation and metabolism","Drug metabolism - other enzymes",1,"K01951","L1EGH020942"
"map04122","Folding, sorting and degradation","Sulfur relay system",4,"K03639,K04487","L1EGH020942"
"map00920","Energy metabolism","Sulfur metabolism",8,"K00390","L1EGH020943"
"map00230","Nucleotide metabolism","Purine metabolism",1,"K01939","L1EGH020943"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",2,"K01939,K01953","L1EGH020943"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",11,"K00558,K00789","L1EGH020943"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism",3,"K06167","L1EGH020943"
"map00730","Metabolism of cofactors and vitamins","Thiamine metabolism",1,"K04487","L1EGH020943"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism",2,"K00952,K20170","L1EGH020943"
"map00790","Metabolism of cofactors and vitamins","Folate biosynthesis",1,"K03639","L1EGH020943"
"map04122","Folding, sorting and degradation","Sulfur relay system",3,"K03639,K04487,K21029","L1EGH020943"
"map00010","Carbohydrate metabolism","Glycolysis / Gluconeogenesis",1,"K15633","L1EGH020944"
"map00020","Carbohydrate metabolism","Citrate cycle (TCA cycle)",1,"K00176","L1EGH020944"
"map00030","Carbohydrate metabolism","Pentose phosphate pathway",1,"K00615","L1EGH020944"
"map00500","Carbohydrate metabolism","Starch and sucrose metabolism",2,"K01208,K01214","L1EGH020944"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",1,"K12373","L1EGH020944"
"map00710","Energy metabolism","Carbon fixation in photosynthetic organisms",1,"K00615","L1EGH020944"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",2,"K00176,K01491","L1EGH020944"
"map00680","Energy metabolism","Methane metabolism",1,"K15633","L1EGH020944"
"map00920","Energy metabolism","Sulfur metabolism",22,"K00390,K01738","L1EGH020944"
"map00564","Lipid metabolism","Glycerophospholipid metabolism",2,"K01613,K17103","L1EGH020944"
"map00230","Nucleotide metabolism","Purine metabolism",1,"K01951","L1EGH020944"
